NAME,HHL
PAGEIND,3
BALKRISIND,2
BERGEPAINT,2
CONCOR,2
BAJAJFINSV,1
BAJAJ-AUTO,1
JUBLFOOD,1
HDFC,1
HDFCBANK,1
LT,1
