month,advances,declines,ratio
10-Jan-2018,722,1071,0.67
09-Jan-2018,761,1053,0.72
08-Jan-2018,1107,729,1.52
05-Jan-2018,1053,757,1.39
04-Jan-2018,1158,641,1.81
03-Jan-2018,1182,605,1.95
02-Jan-2018,67,1164,0.06
01-Jan-2018,988,835,1.18
29-Dec-2017,1021,784,1.3
28-Dec-2017,911,856,1.06
27-Dec-2017,710,1080,0.66
26-Dec-2017,1045,750,1.39
22-Dec-2017,1032,735,1.4
21-Dec-2017,1118,645,1.73
20-Dec-2017,1064,687,1.55
19-Dec-2017,1338,421,3.18
18-Dec-2017,924,827,1.12
15-Dec-2017,1170,576,2.03
14-Dec-2017,647,1106,0.58
13-Dec-2017,516,1242,0.42
12-Dec-2017,558,1206,0.46
11-Dec-2017,923,847,1.09
08-Dec-2017,1069,692,1.54
07-Dec-2017,1273,473,2.69
06-Dec-2017,560,1190,0.47
05-Dec-2017,682,1072,0.64
04-Dec-2017,684,1079,0.63
01-Dec-2017,606,1151,0.53
30-Nov-2017,696,1032,0.67
29-Nov-2017,807,939,0.86
28-Nov-2017,857,895,0.96
27-Nov-2017,1021,727,1.4
24-Nov-2017,1034,731,1.41
23-Nov-2017,924,805,1.15
22-Nov-2017,805,947,0.85
21-Nov-2017,970,767,1.26
20-Nov-2017,1103,650,1.7
17-Nov-2017,1109,632,1.75
16-Nov-2017,1147,581,1.97
15-Nov-2017,375,1394,0.27
14-Nov-2017,702,1035,0.68
13-Nov-2017,646,1094,0.59
10-Nov-2017,711,998,0.71
09-Nov-2017,976,748,1.3
08-Nov-2017,567,1167,0.49
07-Nov-2017,452,1288,0.35
06-Nov-2017,854,886,0.96
03-Nov-2017,910,821,1.11
02-Nov-2017,855,888,0.96
01-Nov-2017,964,794,1.21
31-Oct-2017,883,851,1.04
30-Oct-2017,1150,603,1.91
27-Oct-2017,906,835,1.09
26-Oct-2017,922,801,1.15
25-Oct-2017,720,1000,0.72
24-Oct-2017,969,762,1.27
23-Oct-2017,830,923,0.9
19-Oct-2017,902,724,1.25
18-Oct-2017,762,952,0.8
17-Oct-2017,844,840,1.0
16-Oct-2017,814,920,0.88
13-Oct-2017,787,930,0.85
12-Oct-2017,1142,567,2.01
11-Oct-2017,521,1188,0.44
10-Oct-2017,1025,703,1.46
09-Oct-2017,987,757,1.3
06-Oct-2017,1175,528,2.23
05-Oct-2017,935,736,1.27
04-Oct-2017,965,731,1.32
03-Oct-2017,896,801,1.12
29-Sep-2017,1088,599,1.82
28-Sep-2017,1019,648,1.57
27-Sep-2017,264,1434,0.18
26-Sep-2017,1077,602,1.79
25-Sep-2017,314,1423,0.22
22-Sep-2017,216,1494,0.14
21-Sep-2017,586,1107,0.53
20-Sep-2017,798,879,0.91
19-Sep-2017,844,847,1.0
18-Sep-2017,1042,666,1.56
15-Sep-2017,690,991,0.7
14-Sep-2017,861,817,1.05
13-Sep-2017,603,1081,0.56
12-Sep-2017,1010,688,1.47
11-Sep-2017,923,779,1.18
08-Sep-2017,692,1002,0.69
07-Sep-2017,951,750,1.27
06-Sep-2017,854,835,1.02
05-Sep-2017,1149,529,2.17
04-Sep-2017,581,1126,0.52
01-Sep-2017,1106,566,1.95
31-Aug-2017,1004,679,1.48
30-Aug-2017,1261,399,3.16
29-Aug-2017,479,1215,0.39
28-Aug-2017,1133,547,2.07
24-Aug-2017,963,728,1.32
23-Aug-2017,1125,556,2.02
22-Aug-2017,542,1132,0.48
21-Aug-2017,518,1197,0.43
18-Aug-2017,589,1102,0.53
17-Aug-2017,923,726,1.27
16-Aug-2017,1148,538,2.13
14-Aug-2017,1379,338,4.08
11-Aug-2017,631,1090,0.58
10-Aug-2017,187,1532,0.12
09-Aug-2017,328,1363,0.24
08-Aug-2017,344,1355,0.25
07-Aug-2017,1041,655,1.59
04-Aug-2017,831,850,0.98
03-Aug-2017,435,1246,0.35
02-Aug-2017,658,1045,0.63
01-Aug-2017,644,1044,0.62
31-Jul-2017,809,891,0.91
28-Jul-2017,779,891,0.87
27-Jul-2017,468,1227,0.38
26-Jul-2017,848,842,1.01
25-Jul-2017,748,952,0.79
24-Jul-2017,819,875,0.94
21-Jul-2017,750,920,0.82
20-Jul-2017,782,903,0.87
19-Jul-2017,1121,544,2.06
18-Jul-2017,601,1106,0.54
17-Jul-2017,829,874,0.95
14-Jul-2017,592,1111,0.53
13-Jul-2017,846,846,1.0
12-Jul-2017,980,705,1.39
11-Jul-2017,650,1041,0.62
10-Jul-2017,949,674,1.41
07-Jul-2017,857,827,1.04
06-Jul-2017,976,722,1.35
05-Jul-2017,1122,576,1.95
04-Jul-2017,800,867,0.92
03-Jul-2017,1193,482,2.48
30-Jun-2017,831,827,1.0
29-Jun-2017,1103,555,1.99
28-Jun-2017,842,813,1.04
27-Jun-2017,386,1309,0.29
23-Jun-2017,348,1340,0.26
22-Jun-2017,623,1051,0.59
21-Jun-2017,832,847,0.98
20-Jun-2017,729,954,0.76
19-Jun-2017,736,953,0.77
16-Jun-2017,889,805,1.1
15-Jun-2017,835,844,0.99
14-Jun-2017,783,885,0.88
13-Jun-2017,849,834,1.02
12-Jun-2017,572,1111,0.51
09-Jun-2017,865,802,1.08
08-Jun-2017,836,825,1.01
07-Jun-2017,962,691,1.39
06-Jun-2017,501,1161,0.43
05-Jun-2017,934,748,1.25
02-Jun-2017,997,689,1.45
01-Jun-2017,935,736,1.27
31-May-2017,953,718,1.33
30-May-2017,768,894,0.86
29-May-2017,462,1224,0.38
26-May-2017,1251,426,2.94
25-May-2017,1241,429,2.89
24-May-2017,339,1355,0.25
23-May-2017,286,1198,0.24
22-May-2017,497,1194,0.42
19-May-2017,545,1144,0.48
18-May-2017,317,1376,0.23
17-May-2017,703,961,0.73
16-May-2017,878,806,1.09
15-May-2017,973,693,1.4
12-May-2017,525,1162,0.45
11-May-2017,678,991,0.68
10-May-2017,1025,634,1.62
09-May-2017,918,747,1.23
08-May-2017,1020,650,1.57
05-May-2017,412,1277,0.32
04-May-2017,863,825,1.05
03-May-2017,751,944,0.8
02-May-2017,769,932,0.83
28-Apr-2017,794,852,0.93
27-Apr-2017,727,937,0.78
26-Apr-2017,496,1203,0.41
25-Apr-2017,897,787,1.14
24-Apr-2017,988,697,1.42
21-Apr-2017,832,859,0.97
20-Apr-2017,1130,543,2.08
19-Apr-2017,944,734,1.29
18-Apr-2017,580,1121,0.52
17-Apr-2017,842,864,0.97
13-Apr-2017,798,879,0.91
12-Apr-2017,591,1096,0.54
11-Apr-2017,1032,647,1.6
10-Apr-2017,998,690,1.45
07-Apr-2017,652,1048,0.62
06-Apr-2017,791,895,0.88
05-Apr-2017,1215,494,2.46
03-Apr-2017,1273,421,3.02
31-Mar-2017,947,702,1.35
30-Mar-2017,1076,556,1.94
29-Mar-2017,704,971,0.73
28-Mar-2017,909,737,1.23
27-Mar-2017,683,1001,0.68
24-Mar-2017,798,838,0.95
23-Mar-2017,1087,567,1.92
22-Mar-2017,477,1192,0.4
21-Mar-2017,588,1072,0.55
20-Mar-2017,795,863,0.92
17-Mar-2017,711,961,0.74
16-Mar-2017,1157,501,2.31
15-Mar-2017,890,768,1.16
14-Mar-2017,1047,616,1.7
10-Mar-2017,654,973,0.67
09-Mar-2017,670,975,0.69
08-Mar-2017,523,1132,0.46
07-Mar-2017,679,970,0.7
06-Mar-2017,906,767,1.18
03-Mar-2017,739,914,0.81
02-Mar-2017,396,1266,0.31
01-Mar-2017,1001,652,1.54
28-Feb-2017,912,732,1.25
27-Feb-2017,707,965,0.73
23-Feb-2017,666,984,0.68
22-Feb-2017,546,1107,0.49
21-Feb-2017,923,700,1.32
20-Feb-2017,1054,589,1.79
17-Feb-2017,873,761,1.15
16-Feb-2017,1163,483,2.41
15-Feb-2017,302,1364,0.22
14-Feb-2017,563,1081,0.52
10-Feb-2017,754,907,0.83
09-Feb-2017,801,849,0.94
08-Feb-2017,865,779,1.11
07-Feb-2017,705,953,0.74
03-Feb-2017,1000,636,1.57
02-Feb-2017,912,735,1.24
30-Jan-2017,651,989,0.66
27-Jan-2017,820,836,0.98
25-Jan-2017,966,651,1.48
23-Jan-2017,991,637,1.56
19-Jan-2017,840,780,1.08
18-Jan-2017,915,706,1.3
17-Jan-2017,794,836,0.95
16-Jan-2017,943,674,1.4
13-Jan-2017,696,916,0.76
10-Jan-2017,976,636,1.53
09-Jan-2017,875,752,1.16
04-Jan-2017,944,659,1.43
30-Dec-2016,1154,444,2.6
29-Dec-2016,1080,510,2.12
28-Dec-2016,1007,577,1.75
27-Dec-2016,1175,423,2.78
26-Dec-2016,245,1388,0.18
23-Dec-2016,738,867,0.85
22-Dec-2016,291,1329,0.22
21-Dec-2016,693,904,0.77
20-Dec-2016,432,1186,0.36
19-Dec-2016,601,1020,0.59
16-Dec-2016,597,992,0.6
15-Dec-2016,781,805,0.97
14-Dec-2016,470,1131,0.42
13-Dec-2016,786,824,0.95
12-Dec-2016,526,1061,0.5
09-Dec-2016,853,766,1.11
08-Dec-2016,1265,348,3.64
07-Dec-2016,567,1041,0.54
06-Dec-2016,936,683,1.37
05-Dec-2016,915,696,1.31
02-Dec-2016,351,1262,0.28
01-Dec-2016,583,1034,0.56
30-Nov-2016,1134,446,2.54
29-Nov-2016,1030,594,1.73
28-Nov-2016,1053,571,1.84
25-Nov-2016,1382,262,5.27
24-Nov-2016,846,745,1.14
23-Nov-2016,1259,358,3.52
22-Nov-2016,990,629,1.57
21-Nov-2016,206,1462,0.14
18-Nov-2016,840,759,1.11
17-Nov-2016,538,1089,0.49
16-Nov-2016,682,942,0.72
15-Nov-2016,169,1518,0.11
11-Nov-2016,171,1470,0.12
10-Nov-2016,1307,343,3.81
09-Nov-2016,243,1401,0.17
08-Nov-2016,690,927,0.74
07-Nov-2016,1196,452,2.65
04-Nov-2016,223,1436,0.16
03-Nov-2016,466,1170,0.4
02-Nov-2016,316,1336,0.24
01-Nov-2016,671,973,0.69
30-Oct-2016,1243,341,3.65
28-Oct-2016,969,651,1.49
27-Oct-2016,545,1086,0.5
26-Oct-2016,542,1099,0.49
25-Oct-2016,679,952,0.71
24-Oct-2016,936,701,1.34
21-Oct-2016,840,804,1.04
20-Oct-2016,961,682,1.41
19-Oct-2016,942,701,1.34
18-Oct-2016,1216,432,2.81
17-Oct-2016,675,973,0.69
14-Oct-2016,1037,575,1.8
13-Oct-2016,352,1293,0.27
10-Oct-2016,952,685,1.39
07-Oct-2016,781,841,0.93
06-Oct-2016,625,1013,0.62
05-Oct-2016,963,668,1.44
04-Oct-2016,941,675,1.39
03-Oct-2016,1447,203,7.13
30-Sep-2016,1341,292,4.59
29-Sep-2016,126,1532,0.08
28-Sep-2016,1037,583,1.78
27-Sep-2016,687,928,0.74
26-Sep-2016,524,1100,0.48
23-Sep-2016,619,998,0.62
22-Sep-2016,1079,536,2.01
21-Sep-2016,832,799,1.04
20-Sep-2016,614,996,0.62
19-Sep-2016,856,755,1.13
16-Sep-2016,747,875,0.85
15-Sep-2016,854,741,1.15
14-Sep-2016,1092,531,2.06
09-Sep-2016,560,1056,0.53
08-Sep-2016,1004,616,1.63
07-Sep-2016,806,816,0.99
06-Sep-2016,1033,595,1.74
02-Sep-2016,892,688,1.3
01-Sep-2016,555,1071,0.52
31-Aug-2016,757,855,0.89
30-Aug-2016,1009,578,1.75
29-Aug-2016,711,889,0.8
26-Aug-2016,577,1019,0.57
25-Aug-2016,640,942,0.68
24-Aug-2016,948,651,1.46
23-Aug-2016,735,866,0.85
22-Aug-2016,699,902,0.77
19-Aug-2016,898,698,1.29
18-Aug-2016,1077,521,2.07
17-Aug-2016,883,703,1.26
16-Aug-2016,610,994,0.61
12-Aug-2016,771,816,0.94
11-Aug-2016,624,967,0.65
10-Aug-2016,399,1220,0.33
09-Aug-2016,611,987,0.62
08-Aug-2016,904,726,1.25
05-Aug-2016,1212,397,3.05
04-Aug-2016,856,752,1.14
03-Aug-2016,407,1213,0.34
02-Aug-2016,484,1137,0.43
01-Aug-2016,609,1009,0.6
29-Jul-2016,716,911,0.79
28-Jul-2016,893,704,1.27
27-Jul-2016,796,807,0.99
26-Jul-2016,538,1075,0.5
25-Jul-2016,1078,528,2.04
22-Jul-2016,945,647,1.46
21-Jul-2016,585,1018,0.57
20-Jul-2016,1074,519,2.07
19-Jul-2016,695,906,0.77
18-Jul-2016,613,1020,0.6
15-Jul-2016,532,1072,0.5
14-Jul-2016,1000,617,1.62
13-Jul-2016,507,1110,0.46
12-Jul-2016,735,882,0.83
11-Jul-2016,1094,540,2.03
08-Jul-2016,617,988,0.62
07-Jul-2016,871,745,1.17
05-Jul-2016,707,890,0.79
04-Jul-2016,1071,521,2.06
01-Jul-2016,890,703,1.27
30-Jun-2016,1040,528,1.97
29-Jun-2016,1177,396,2.97
28-Jun-2016,1043,530,1.97
27-Jun-2016,1221,339,3.6
24-Jun-2016,337,1241,0.27
23-Jun-2016,618,954,0.65
22-Jun-2016,513,1057,0.49
21-Jun-2016,751,813,0.92
20-Jun-2016,875,677,1.29
17-Jun-2016,749,800,0.94
16-Jun-2016,542,1036,0.52
15-Jun-2016,1056,494,2.14
14-Jun-2016,974,589,1.65
13-Jun-2016,590,984,0.6
10-Jun-2016,720,856,0.84
09-Jun-2016,714,828,0.86
08-Jun-2016,1028,541,1.9
07-Jun-2016,933,616,1.51
06-Jun-2016,726,843,0.86
03-Jun-2016,670,891,0.75
02-Jun-2016,767,785,0.98
01-Jun-2016,873,684,1.28
31-May-2016,590,970,0.61
30-May-2016,775,790,0.98
27-May-2016,919,630,1.46
26-May-2016,916,627,1.46
25-May-2016,1073,471,2.28
24-May-2016,492,1075,0.46
23-May-2016,587,982,0.6
20-May-2016,455,1107,0.41
19-May-2016,436,1105,0.39
18-May-2016,734,779,0.94
17-May-2016,774,773,1.0
16-May-2016,761,787,0.97
13-May-2016,564,992,0.57
12-May-2016,996,543,1.83
11-May-2016,601,939,0.64
10-May-2016,757,778,0.97
09-May-2016,1094,466,2.35
06-May-2016,675,857,0.79
05-May-2016,737,804,0.92
04-May-2016,367,1193,0.31
03-May-2016,667,892,0.75
02-May-2016,763,813,0.94
29-Apr-2016,693,837,0.83
28-Apr-2016,408,1129,0.36
27-Apr-2016,748,793,0.94
26-Apr-2016,1005,543,1.85
25-Apr-2016,564,1007,0.56
22-Apr-2016,754,781,0.97
21-Apr-2016,631,945,0.67
20-Apr-2016,902,674,1.34
18-Apr-2016,886,684,1.3
13-Apr-2016,1029,524,1.96
12-Apr-2016,960,604,1.59
11-Apr-2016,930,624,1.49
08-Apr-2016,954,590,1.62
07-Apr-2016,617,922,0.67
06-Apr-2016,1077,472,2.28
05-Apr-2016,435,1122,0.39
04-Apr-2016,990,572,1.73
01-Apr-2016,1086,468,2.32
31-Mar-2016,784,769,1.02
30-Mar-2016,1235,337,3.66
29-Mar-2016,623,942,0.66
28-Mar-2016,347,1254,0.28
23-Mar-2016,759,783,0.97
22-Mar-2016,843,717,1.18
21-Mar-2016,989,595,1.66
18-Mar-2016,814,753,1.08
17-Mar-2016,823,714,1.15
16-Mar-2016,668,873,0.77
15-Mar-2016,506,1037,0.49
14-Mar-2016,822,735,1.12
11-Mar-2016,650,903,0.72
10-Mar-2016,659,881,0.75
09-Mar-2016,853,687,1.24
08-Mar-2016,776,797,0.97
04-Mar-2016,959,597,1.61
03-Mar-2016,1089,453,2.4
02-Mar-2016,1257,323,3.89
01-Mar-2016,1343,210,6.4
29-Feb-2016,640,872,0.73
26-Feb-2016,586,926,0.63
25-Feb-2016,523,994,0.53
24-Feb-2016,415,1124,0.37
23-Feb-2016,349,1206,0.29
22-Feb-2016,877,661,1.33
19-Feb-2016,834,702,1.19
18-Feb-2016,929,603,1.54
17-Feb-2016,696,857,0.81
16-Feb-2016,273,1290,0.21
15-Feb-2016,1331,237,5.62
12-Feb-2016,493,1076,0.46
11-Feb-2016,121,1478,0.08
10-Feb-2016,297,1277,0.23
09-Feb-2016,365,1189,0.31
08-Feb-2016,727,824,0.88
05-Feb-2016,1060,492,2.15
04-Feb-2016,585,968,0.6
03-Feb-2016,211,1359,0.16
02-Feb-2016,385,1175,0.33
01-Feb-2016,853,698,1.22
29-Jan-2016,1021,541,1.89
28-Jan-2016,730,805,0.91
27-Jan-2016,842,697,1.21
25-Jan-2016,1059,517,2.05
22-Jan-2016,1313,266,4.94
21-Jan-2016,839,719,1.17
20-Jan-2016,224,1352,0.17
19-Jan-2016,1149,428,2.68
18-Jan-2016,158,1451,0.11
15-Jan-2016,143,1450,0.1
14-Jan-2016,382,1190,0.32
13-Jan-2016,298,1293,0.23
12-Jan-2016,436,1135,0.38
11-Jan-2016,578,994,0.58
08-Jan-2016,1231,343,3.59
07-Jan-2016,194,1409,0.14
06-Jan-2016,622,957,0.65
05-Jan-2016,1099,478,2.3
04-Jan-2016,533,1063,0.5
01-Jan-2016,1113,452,2.46
31-Dec-2015,880,660,1.33
30-Dec-2015,732,810,0.9
29-Dec-2015,650,916,0.71
28-Dec-2015,875,677,1.29
24-Dec-2015,875,655,1.34
23-Dec-2015,931,614,1.52
22-Dec-2015,737,821,0.9
21-Dec-2015,1113,454,2.45
18-Dec-2015,699,858,0.81
17-Dec-2015,1239,322,3.85
16-Dec-2015,832,702,1.19
15-Dec-2015,968,545,1.78
14-Dec-2015,871,663,1.31
11-Dec-2015,456,1082,0.42
10-Dec-2015,1117,418,2.67
09-Dec-2015,188,1375,0.14
08-Dec-2015,362,1189,0.3
07-Dec-2015,745,798,0.93
04-Dec-2015,532,996,0.53
03-Dec-2015,570,969,0.59
02-Dec-2015,761,774,0.98
01-Dec-2015,882,656,1.34
30-Nov-2015,915,623,1.47
27-Nov-2015,795,733,1.08
26-Nov-2015,928,597,1.55
24-Nov-2015,847,678,1.25
23-Nov-2015,831,705,1.18
20-Nov-2015,893,635,1.41
19-Nov-2015,1078,433,2.49
18-Nov-2015,516,1012,0.51
17-Nov-2015,821,702,1.17
16-Nov-2015,828,707,1.17
13-Nov-2015,454,1076,0.42
11-Nov-2015,1259,179,7.03
10-Nov-2015,493,1009,0.49
09-Nov-2015,852,637,1.34
06-Nov-2015,510,988,0.52
05-Nov-2015,346,1165,0.3
04-Nov-2015,640,860,0.74
03-Nov-2015,848,652,1.3
02-Nov-2015,581,921,0.63
30-Oct-2015,485,1034,0.47
29-Oct-2015,612,873,0.7
28-Oct-2015,618,874,0.71
27-Oct-2015,659,837,0.79
26-Oct-2015,504,1026,0.49
23-Oct-2015,659,856,0.77
21-Oct-2015,674,843,0.8
20-Oct-2015,827,708,1.17
19-Oct-2015,858,658,1.3
16-Oct-2015,768,744,1.03
15-Oct-2015,866,655,1.32
14-Oct-2015,792,691,1.15
13-Oct-2015,843,674,1.25
12-Oct-2015,697,819,0.85
09-Oct-2015,822,698,1.18
08-Oct-2015,656,871,0.75
07-Oct-2015,955,562,1.7
06-Oct-2015,916,596,1.54
05-Oct-2015,1207,316,3.82
01-Oct-2015,764,742,1.03
30-Sep-2015,1019,482,2.11
29-Sep-2015,672,807,0.83
28-Sep-2015,574,931,0.62
24-Sep-2015,809,690,1.17
23-Sep-2015,848,632,1.34
22-Sep-2015,430,1075,0.4
21-Sep-2015,961,538,1.79
18-Sep-2015,1040,454,2.29
16-Sep-2015,717,779,0.92
15-Sep-2015,534,969,0.55
14-Sep-2015,1076,444,2.42
11-Sep-2015,898,594,1.51
10-Sep-2015,554,940,0.59
09-Sep-2015,1245,284,4.38
08-Sep-2015,912,584,1.56
07-Sep-2015,295,1234,0.24
04-Sep-2015,215,1323,0.16
03-Sep-2015,1099,406,2.71
02-Sep-2015,687,821,0.84
01-Sep-2015,234,1289,0.18
31-Aug-2015,668,837,0.8
28-Aug-2015,768,737,1.04
27-Aug-2015,1266,254,4.98
26-Aug-2015,751,743,1.01
25-Aug-2015,754,765,0.99
24-Aug-2015,65,1508,0.04
21-Aug-2015,472,1046,0.45
20-Aug-2015,302,1226,0.25
19-Aug-2015,743,758,0.98
18-Aug-2015,884,631,1.4
17-Aug-2015,772,750,1.03
14-Aug-2015,1082,420,2.58
13-Aug-2015,450,1059,0.42
12-Aug-2015,230,1296,0.18
11-Aug-2015,389,1133,0.34
10-Aug-2015,682,842,0.81
07-Aug-2015,655,862,0.76
06-Aug-2015,664,856,0.78
05-Aug-2015,1002,535,1.87
04-Aug-2015,826,677,1.22
03-Aug-2015,980,549,1.79
31-Jul-2015,892,615,1.45
30-Jul-2015,970,533,1.82
29-Jul-2015,910,597,1.52
28-Jul-2015,685,795,0.86
27-Jul-2015,441,1085,0.41
24-Jul-2015,573,947,0.61
23-Jul-2015,768,736,1.04
22-Jul-2015,1027,485,2.12
21-Jul-2015,356,1172,0.3
20-Jul-2015,797,718,1.11
17-Jul-2015,749,764,0.98
16-Jul-2015,851,652,1.31
15-Jul-2015,845,654,1.29
14-Jul-2015,832,655,1.27
13-Jul-2015,1020,482,2.12
10-Jul-2015,787,693,1.14
09-Jul-2015,827,673,1.23
08-Jul-2015,418,1100,0.38
07-Jul-2015,926,601,1.54
06-Jul-2015,1036,468,2.21
03-Jul-2015,783,711,1.1
02-Jul-2015,850,661,1.29
01-Jul-2015,1136,369,3.08
30-Jun-2015,1054,440,2.4
29-Jun-2015,345,1158,0.3
26-Jun-2015,580,901,0.64
25-Jun-2015,723,747,0.97
24-Jun-2015,624,859,0.73
23-Jun-2015,858,619,1.39
22-Jun-2015,1063,456,2.33
19-Jun-2015,818,675,1.21
18-Jun-2015,987,476,2.07
17-Jun-2015,1033,451,2.29
16-Jun-2015,756,714,1.06
15-Jun-2015,824,646,1.28
12-Jun-2015,601,871,0.69
11-Jun-2015,289,1200,0.24
10-Jun-2015,1031,425,2.43
09-Jun-2015,554,925,0.6
08-Jun-2015,347,1133,0.31
05-Jun-2015,794,692,1.15
04-Jun-2015,702,768,0.91
03-Jun-2015,227,1306,0.17
02-Jun-2015,292,1206,0.24
01-Jun-2015,672,844,0.8
29-May-2015,861,622,1.38
28-May-2015,641,825,0.78
27-May-2015,656,825,0.8
26-May-2015,580,892,0.65
25-May-2015,568,915,0.62
22-May-2015,637,845,0.75
21-May-2015,609,882,0.69
20-May-2015,763,727,1.05
19-May-2015,781,711,1.1
18-May-2015,990,485,2.04
15-May-2015,821,660,1.24
14-May-2015,874,603,1.45
13-May-2015,980,509,1.93
12-May-2015,295,1213,0.24
11-May-2015,1055,442,2.39
08-May-2015,1159,350,3.31
07-May-2015,296,1207,0.25
06-May-2015,178,1337,0.13
05-May-2015,700,802,0.87
04-May-2015,1204,324,3.72
30-Apr-2015,661,823,0.8
29-Apr-2015,849,636,1.33
28-Apr-2015,998,499,2.0
27-Apr-2015,246,1277,0.19
24-Apr-2015,235,1287,0.18
23-Apr-2015,700,809,0.87
22-Apr-2015,711,789,0.9
21-Apr-2015,642,854,0.75
20-Apr-2015,304,1219,0.25
17-Apr-2015,482,1046,0.46
16-Apr-2015,490,1029,0.48
15-Apr-2015,646,884,0.73
13-Apr-2015,916,621,1.48
10-Apr-2015,955,578,1.65
09-Apr-2015,805,722,1.11
08-Apr-2015,975,551,1.77
07-Apr-2015,926,606,1.53
06-Apr-2015,1071,453,2.36
01-Apr-2015,1211,298,4.06
31-Mar-2015,868,617,1.41
30-Mar-2015,1235,272,4.54
27-Mar-2015,585,927,0.63
26-Mar-2015,454,1057,0.43
25-Mar-2015,508,993,0.51
24-Mar-2015,558,937,0.6
23-Mar-2015,414,1108,0.37
20-Mar-2015,314,1222,0.26
19-Mar-2015,502,987,0.51
18-Mar-2015,667,848,0.79
17-Mar-2015,795,716,1.11
16-Mar-2015,451,1078,0.42
13-Mar-2015,362,1167,0.31
12-Mar-2015,923,569,1.62
11-Mar-2015,545,959,0.57
10-Mar-2015,610,912,0.67
09-Mar-2015,446,1067,0.42
05-Mar-2015,729,760,0.96
04-Mar-2015,420,1082,0.39
03-Mar-2015,946,550,1.72
02-Mar-2015,834,668,1.25
28-Feb-2015,598,863,0.69
27-Feb-2015,1078,420,2.57
26-Feb-2015,440,1037,0.42
25-Feb-2015,610,897,0.68
24-Feb-2015,551,941,0.59
23-Feb-2015,537,976,0.55
20-Feb-2015,759,754,1.01
19-Feb-2015,705,788,0.89
18-Feb-2015,905,590,1.53
16-Feb-2015,649,864,0.75
13-Feb-2015,818,672,1.22
12-Feb-2015,931,549,1.7
11-Feb-2015,1020,478,2.13
10-Feb-2015,728,753,0.97
09-Feb-2015,361,1140,0.32
06-Feb-2015,347,1158,0.3
05-Feb-2015,448,1058,0.42
04-Feb-2015,645,848,0.76
03-Feb-2015,659,838,0.79
02-Feb-2015,879,630,1.4
30-Jan-2015,579,917,0.63
29-Jan-2015,726,791,0.92
28-Jan-2015,551,985,0.56
27-Jan-2015,728,812,0.9
23-Jan-2015,524,1021,0.51
22-Jan-2015,705,818,0.86
21-Jan-2015,627,917,0.68
20-Jan-2015,859,683,1.26
19-Jan-2015,929,597,1.56
16-Jan-2015,690,831,0.83
15-Jan-2015,986,561,1.76
14-Jan-2015,597,938,0.64
13-Jan-2015,674,859,0.78
12-Jan-2015,909,636,1.43
09-Jan-2015,662,862,0.77
08-Jan-2015,1249,298,4.19
07-Jan-2015,646,892,0.72
06-Jan-2015,216,1348,0.16
05-Jan-2015,768,762,1.01
02-Jan-2015,1051,488,2.15
01-Jan-2015,1022,497,2.06
31-Dec-2014,1004,503,2.0
30-Dec-2014,775,738,1.05
29-Dec-2014,945,580,1.63
26-Dec-2014,775,746,1.04
24-Dec-2014,715,784,0.91
23-Dec-2014,488,1030,0.47
22-Dec-2014,885,625,1.42
19-Dec-2014,815,709,1.15
18-Dec-2014,1323,216,6.13
17-Dec-2014,523,1019,0.51
16-Dec-2014,184,1371,0.13
15-Dec-2014,519,1005,0.52
12-Dec-2014,357,1173,0.3
11-Dec-2014,493,1029,0.48
10-Dec-2014,963,559,1.72
09-Dec-2014,327,1230,0.27
08-Dec-2014,471,1081,0.44
05-Dec-2014,691,853,0.81
04-Dec-2014,802,718,1.12
03-Dec-2014,1115,422,2.64
02-Dec-2014,821,705,1.16
01-Dec-2014,549,988,0.56
28-Nov-2014,746,793,0.94
27-Nov-2014,824,703,1.17
26-Nov-2014,928,574,1.62
25-Nov-2014,298,1263,0.24
24-Nov-2014,708,841,0.84
21-Nov-2014,652,889,0.73
20-Nov-2014,564,970,0.58
19-Nov-2014,537,1019,0.53
18-Nov-2014,845,714,1.18
17-Nov-2014,857,700,1.22
14-Nov-2014,829,717,1.16
13-Nov-2014,590,956,0.62
12-Nov-2014,776,781,0.99
11-Nov-2014,802,746,1.08
10-Nov-2014,747,796,0.94
07-Nov-2014,682,875,0.78
05-Nov-2014,840,694,1.21
03-Nov-2014,1018,508,2.0
31-Oct-2014,1008,528,1.91
30-Oct-2014,833,691,1.21
29-Oct-2014,866,656,1.32
28-Oct-2014,825,686,1.2
27-Oct-2014,621,940,0.66
23-Oct-2014,1193,255,4.68
22-Oct-2014,1003,501,2.0
21-Oct-2014,813,695,1.17
20-Oct-2014,936,599,1.56
17-Oct-2014,711,826,0.86
16-Oct-2014,258,1302,0.2
14-Oct-2014,653,890,0.73
13-Oct-2014,804,732,1.1
10-Oct-2014,397,1137,0.35
09-Oct-2014,1192,350,3.41
08-Oct-2014,672,862,0.78
07-Oct-2014,483,1075,0.45
01-Oct-2014,592,932,0.64
30-Sep-2014,713,812,0.88
29-Sep-2014,1005,536,1.88
26-Sep-2014,867,693,1.25
25-Sep-2014,222,1355,0.16
24-Sep-2014,381,1169,0.33
23-Sep-2014,315,1256,0.25
22-Sep-2014,818,743,1.1
19-Sep-2014,706,846,0.83
18-Sep-2014,1246,308,4.05
17-Sep-2014,754,800,0.94
16-Sep-2014,226,1351,0.17
15-Sep-2014,852,731,1.17
12-Sep-2014,863,710,1.22
