month,advances,declines,ratio
17-Jun-2020,1027,838,1.23
16-Jun-2020,847,1036,0.82
15-Jun-2020,923,973,0.95
12-Jun-2020,952,910,1.05
11-Jun-2020,662,1199,0.55
10-Jun-2020,1155,740,1.56
09-Jun-2020,773,1135,0.68
08-Jun-2020,1301,607,2.14
05-Jun-2020,1588,312,5.09
04-Jun-2020,943,889,1.06
03-Jun-2020,1279,586,2.18
02-Jun-2020,1382,459,3.01
01-Jun-2020,1506,349,4.32
29-May-2020,1163,632,1.84
28-May-2020,1264,537,2.35
27-May-2020,1064,715,1.49
26-May-2020,904,892,1.01
22-May-2020,667,1103,0.6
21-May-2020,1049,721,1.45
20-May-2020,1056,707,1.49
19-May-2020,788,982,0.8
18-May-2020,390,1462,0.27
15-May-2020,837,945,0.89
14-May-2020,703,1086,0.65
13-May-2020,1331,472,2.82
12-May-2020,684,1103,0.62
11-May-2020,859,968,0.89
08-May-2020,724,1084,0.67
07-May-2020,794,995,0.8
06-May-2020,821,981,0.84
05-May-2020,597,1217,0.49
04-May-2020,412,1439,0.29
30-Apr-2020,1095,732,1.5
29-Apr-2020,1144,696,1.64
28-Apr-2020,986,830,1.19
27-Apr-2020,1085,762,1.42
24-Apr-2020,541,1328,0.41
23-Apr-2020,1193,650,1.84
22-Apr-2020,960,868,1.11
21-Apr-2020,503,1345,0.37
20-Apr-2020,1157,723,1.6
17-Apr-2020,1398,446,3.13
16-Apr-2020,1341,488,2.75
15-Apr-2020,1213,650,1.87
13-Apr-2020,928,917,1.01
09-Apr-2020,1522,322,4.73
08-Apr-2020,1217,627,1.94
07-Apr-2020,1555,337,4.61
03-Apr-2020,944,877,1.08
01-Apr-2020,938,864,1.09
31-Mar-2020,1341,497,2.7
30-Mar-2020,667,1171,0.57
27-Mar-2020,1028,811,1.27
26-Mar-2020,1268,548,2.31
25-Mar-2020,1070,718,1.49
24-Mar-2020,783,1053,0.74
23-Mar-2020,107,1777,0.06
20-Mar-2020,1156,725,1.59
19-Mar-2020,401,1515,0.26
18-Mar-2020,248,1674,0.15
17-Mar-2020,583,1314,0.44
16-Mar-2020,309,1640,0.19
13-Mar-2020,952,932,1.02
12-Mar-2020,141,1835,0.08
11-Mar-2020,785,1097,0.72
09-Mar-2020,260,1690,0.15
06-Mar-2020,378,1535,0.25
05-Mar-2020,968,872,1.11
04-Mar-2020,511,1384,0.37
03-Mar-2020,1007,829,1.21
02-Mar-2020,671,1178,0.57
28-Feb-2020,233,1654,0.14
27-Feb-2020,589,1240,0.48
26-Feb-2020,557,1289,0.43
25-Feb-2020,683,1153,0.59
24-Feb-2020,478,1382,0.35
20-Feb-2020,929,906,1.03
19-Feb-2020,1188,634,1.87
18-Feb-2020,631,1236,0.51
17-Feb-2020,548,1324,0.41
14-Feb-2020,639,1204,0.53
13-Feb-2020,805,1018,0.79
