Symbol,Close,200-EMA,Condition,,
CDSL,798.00,536.20,Higher,,
CENTURYPLY,340.85,248.37,Higher,,
CENTURYTEX,469.50,431.06,Higher,,
CERA,3838.50,3315.37,Higher,,
CHALET,149.10,167.46,Lower,,
CHAMBLFERT,230.60,203.85,Higher,,
CHENNPETRO,118.45,99.08,Higher,,
CHOLAHLDNG,564.65,512.33,Higher,,
CHOLAFIN,550.95,414.05,Higher,,
CIPLA,890.90,781.21,Higher,,
CUB,166.15,165.01,Higher,,
COALINDIA,155.70,137.64,Higher,,
COCHINSHIP,368.00,353.13,Higher,,
COFORGE,3418.40,2470.80,Higher,,
COLPAL,1528.60,1511.01,Higher,,
CONCOR,612.50,486.16,Higher,,
COROMANDEL,759.05,742.45,Higher,,
CREDITACC,594.90,664.74,Lower,,
CROMPTON,371.15,343.07,Higher,,
CUMMINSIND,829.55,671.78,Higher,,
CYIENT,768.70,546.48,Higher,,
DBCORP,85.25,88.03,Lower,,
DCBBANK,98.75,105.26,Lower,,
DCMSHRIRAM,703.65,458.88,Higher,,
DLF,265.50,234.63,Higher,,
DABUR,525.45,516.59,Higher,,
DALBHARAT,1722.30,1186.56,Higher,,
DEEPAKNTR,1797.45,1123.69,Higher,,
DELTACORP,148.35,143.79,Higher,,
DHANI,180.85,240.06,Lower,,
DHANUKA,855.65,714.31,Higher,,
DBL,540.40,466.34,Higher,,
DISHTV,13.35,11.29,Higher,,
DCAL,190.40,138.66,Higher,,
DIVISLAB,4073.60,3355.57,Higher,,
DIXON,3963.40,2823.97,Higher,,
LALPATHLAB,2833.15,2308.91,Higher,,
DRREDDY,5295.95,4625.82,Higher,,
EIDPARRY,435.90,310.10,Higher,,
EIHOTEL,91.55,92.84,Lower,,
EPL,236.45,227.57,Higher,,
ESABINDIA,1798.00,1652.33,Higher,,
EDELWEISS,62.85,69.42,Lower,,
EICHERMOT,2471.20,2403.36,Higher,,
ELGIEQUIP,213.10,157.60,Higher,,
EMAMILTD,483.95,421.88,Higher,,
ENDURANCE,1327.05,1230.15,Higher,,
ENGINERSIN,82.00,75.18,Higher,,
EQUITAS,81.60,74.39,Higher,,
ERIS,661.30,557.46,Higher,,
ESCORTS,1175.95,1204.39,Lower,,
EXIDEIND,186.60,182.50,Higher,,
FDC,335.05,299.44,Higher,,
FEDERALBNK,81.80,70.91,Higher,,
FINEORG,3290.55,2419.95,Higher,,
FINCABLES,359.45,345.68,Higher,,
FINPIPE,155.55,122.65,Higher,,
FSL,123.15,88.54,Higher,,
FORTIS,236.20,166.94,Higher,,
FCONSUMER,6.75,9.27,Lower,,
FRETAIL,45.85,90.21,Lower,,
GAIL,161.90,123.27,Higher,,
GEPIL,259.85,339.05,Lower,,
GHCL,265.15,200.44,Higher,,
GMMPFAUDLR,4474.15,3924.07,Higher,,
GMRINFRA,25.55,24.12,Higher,,
GALAXYSURF,2878.30,2115.87,Higher,,
GRSE,177.40,188.51,Lower,,
GARFIBRES,2695.90,2185.09,Higher,,
GICRE,202.05,169.31,Higher,,
GILLETTE,,5605.04,Lower,,
GLAXO,1475.75,1477.14,Lower,,
GLENMARK,624.75,484.04,Higher,,
GODFRYPHLP,864.35,925.09,Lower,,
GODREJAGRO,531.50,498.13,Higher,,
GODREJCP,716.20,701.86,Higher,,
GODREJIND,509.65,448.10,Higher,,
GODREJPROP,1259.05,1217.62,Higher,,
GRANULES,359.90,320.71,Higher,,
GRAPHITE,773.65,396.30,Higher,,
GRASIM,1450.15,1060.62,Higher,,
GESHIP,391.45,277.90,Higher,,
GREAVESCOT,133.30,106.54,Higher,,
GRINDWELL,1237.00,743.76,Higher,,
GUJALKALI,442.80,355.25,Higher,,
GAEL,175.95,120.46,Higher,,
FLUOROCHEM,848.80,584.42,Higher,,
GUJGASLTD,523.00,408.50,Higher,,
GMDCLTD,79.20,53.85,Higher,,
GNFC,401.55,249.04,Higher,,
GPPL,93.20,90.80,Higher,,
GSFC,116.55,77.99,Higher,,
GSPL,271.35,231.47,Higher,,
GULFOILLUB,689.25,708.16,Lower,,
HEG,2248.15,1287.64,Higher,,
HCLTECH,907.30,865.49,Higher,,
HDFCAMC,2796.10,2762.00,Higher,,
HDFCBANK,1403.55,1360.21,Higher,,
HDFCLIFE,671.25,648.84,Higher,,
HFCL,37.05,23.55,Higher,,
HATHWAY,23.35,28.73,Lower,,
HATSUN,838.85,679.79,Higher,,
HAVELLS,1029.65,908.85,Higher,,
HEIDELBERG,246.60,213.78,Higher,,
HERITGFOOD,358.45,312.63,Higher,,
HEROMOTOCO,2838.35,2996.18,Lower,,
HSCL,51.15,47.64,Higher,,
