NAME,LHL,CLOSE
LTI,4,3618.85
PNB,4,35.05
YESBANK,4,13.15
BAJAJ-AUTO,2,3879.3
BRITANNIA,2,3418.4
HEROMOTOCO,1,2838.35
ASIANPAINT,1,2556.25
SBICARD,1,970.7
CESC,1,650.75
OBEROIRLTY,1,542.75
