NAME,HHL,CLOSE
COROMANDEL,5,834.0
BERGEPAINT,4,832.35
DRREDDY,3,5285.2
DMART,2,3096.2
HINDUNILVR,2,2354.0
COLPAL,2,1679.15
TITAN,2,1582.95
MUTHOOTFIN,2,1270.3
CONCOR,2,666.6
HINDPETRO,2,284.25
