NAME,HHL,CLOSE
HINDUNILVR,7,2458.9
LALPATHLAB,6,2920.2
BRITANNIA,4,3696.5
TORNTPHARM,4,2619.5
SANOFI,3,8047.7
NATCOPHARM,3,922.2
HDFCLIFE,3,690.65
ASIANPAINT,1,2663.7
