NAME,LHL,CLOSE
JUBLFOOD,2,2820.65
BALKRISIND,2,1687.35
UBL,2,1100.0
SBICARD,2,973.7
CUMMINSIND,2,849.1
AXISBANK,2,669.2
ICICIBANK,2,566.95
ZEEL,2,193.95
BAJAJHLDNG,1,3378.25
ADANITRANS,1,991.35
