NAME,HH,CLOSE
HINDUNILVR,7,2458.9
MINDTREE,7,2069.65
LALPATHLAB,6,2920.2
ASIANPAINT,6,2663.7
DIVISLAB,4,3821.85
BRITANNIA,4,3696.5
TORNTPHARM,4,2619.5
DABUR,4,575.0
MARICO,4,423.95
HINDALCO,4,370.0
