Date,Open,High,Low,Close,200 EMA
19-Oct-2005,2467.8,2467.85,2394.95,2412.45,2177.4640000000004
20-Oct-2005,2421.4,2463.85,2363.55,2395.45,2179.8021691542294
21-Oct-2005,2397.85,2447.85,2384.05,2443.75,2181.947918714884
24-Oct-2005,2444.2,2460.0,2388.4,2394.85,2184.5529145485666
25-Oct-2005,2394.95,2444.6,2390.85,2418.2,2186.645422861516
26-Oct-2005,2418.45,2434.0,2401.1,2408.5,2188.9494485046853
27-Oct-2005,2408.95,2416.45,2338.6,2352.9,2191.1340311066288
28-Oct-2005,2352.65,2355.15,2307.45,2316.05,2192.7436427374087
31-Oct-2005,2314.85,2373.4,2314.2,2370.95,2193.970571665395
01-Nov-2005,2366.8,2410.15,2366.8,2386.75,2195.7315610020573
02-Nov-2005,2386.45,2423.8,2367.75,2419.05,2197.6322419871117
07-Nov-2005,2419.25,2464.65,2411.6,2461.6,2199.835403758384
08-Nov-2005,2463.65,2502.9,2460.0,2492.65,2202.4400266065595
09-Nov-2005,2493.1,2519.4,2475.7,2489.1,2205.32768803336
10-Nov-2005,2489.1,2504.75,2480.85,2500.7,2208.1512931275556
11-Nov-2005,2500.85,2551.4,2500.85,2548.65,2211.0622255342464
14-Nov-2005,2548.55,2576.95,2534.4,2558.7,2214.421307867239
16-Nov-2005,2559.45,2585.95,2559.45,2582.75,2217.846966495426
17-Nov-2005,2558.45,2608.85,2558.45,2603.95,2221.4778424506953
18-Nov-2005,2604.0,2632.35,2595.15,2620.05,2225.2835355606385
21-Nov-2005,2620.1,2626.4,2591.75,2602.5,2229.211560082423
22-Nov-2005,2603.25,2614.0,2567.05,2572.85,2232.925872917424
23-Nov-2005,2572.85,2613.4,2563.1,2608.6,2236.3082025401363
24-Nov-2005,2608.9,2643.7,2608.7,2635.0,2240.0125985347618
25-Nov-2005,2635.35,2668.9,2633.75,2664.3,2243.942821434913
26-Nov-2005,2664.85,2686.5,2664.7,2683.45,2248.1254799280982
28-Nov-2005,2683.6,2717.15,2682.65,2712.0,2252.4570671924953
29-Nov-2005,2712.35,2713.9,2679.9,2698.3,2257.0296336880924
30-Nov-2005,2698.1,2727.05,2647.1,2652.25,2261.4203836016436
