Date,Open,High,Low,Close,200 EMA
02-Jan-2006,2836.8,2849.45,2825.4,2835.95,3231.6742500000005
03-Jan-2006,2835.95,2887.2,2832.05,2883.35,3236.1133121890553
04-Jan-2006,2883.0,2909.35,2883.0,2904.4,3240.4987518687662
05-Jan-2006,2904.45,2916.2,2884.8,2899.85,3244.9067244869875
06-Jan-2006,2899.85,2921.7,2877.25,2914.0,3249.010140163734
09-Jan-2006,2913.35,2927.25,2898.25,2910.1,3253.2742183710598
10-Jan-2006,2910.15,2913.05,2865.6,2870.8,3258.1107933126414
12-Jan-2006,2869.35,2869.35,2824.0,2850.7,3263.1952630309233
13-Jan-2006,2851.4,2878.35,2846.7,2850.55,3267.9803847918097
16-Jan-2006,2851.35,2855.7,2824.05,2833.1,3272.9462516098015
17-Jan-2006,2833.8,2861.25,2820.65,2829.1,3278.103005325127
18-Jan-2006,2809.9,2840.1,2783.85,2809.2,3283.349244078111
19-Jan-2006,2811.1,2875.95,2811.1,2870.85,3288.5820874206174
20-Jan-2006,2870.8,2912.8,2870.8,2900.95,3293.6583850582233
23-Jan-2006,2900.3,2900.3,2870.95,2884.05,3298.4707394357533
24-Jan-2006,2886.35,2914.25,2885.75,2908.0,3303.425259441368
25-Jan-2006,2908.75,2949.1,2871.25,2940.35,3308.71207278026
27-Jan-2006,2941.9,2989.7,2941.9,2982.75,3314.185086981451
30-Jan-2006,2983.3,3002.2,2963.65,2974.5,3319.6747876085014
31-Jan-2006,2968.95,3005.1,2968.85,3001.1,3325.21334693578
01-Feb-2006,3001.3,3011.05,2960.9,2971.55,3330.702268856817
02-Feb-2006,2972.2,2997.25,2957.55,2967.45,3335.8972711567494
03-Feb-2006,2968.1,2973.9,2931.85,2940.6,3341.0739152248416
06-Feb-2006,2940.95,3009.45,2928.1,3000.45,3346.816960844495
07-Feb-2006,3001.15,3025.1,2991.25,3020.1,3352.8660458112163
08-Feb-2006,3018.2,3021.25,2984.9,3008.95,3358.7624035643385
10-Feb-2006,3009.15,3031.75,3009.1,3027.55,3364.653822434345
13-Feb-2006,3026.15,3042.75,3018.5,3041.15,3370.6662222111177
14-Feb-2006,3040.25,3051.7,3009.9,3017.55,3376.149642885634
15-Feb-2006,3001.4,3048.8,2995.3,3022.2,3381.6426812648815
16-Feb-2006,3023.1,3036.65,3013.7,3021.6,3387.3427540881166
17-Feb-2006,3021.65,3038.8,2976.7,2981.5,3393.414965490225
20-Feb-2006,2982.35,3010.65,2955.85,3005.85,3399.460587724153
21-Feb-2006,3008.55,3042.05,3008.55,3035.5,3405.5928206821213
22-Feb-2006,3035.65,3055.65,3032.5,3050.8,3411.6660264464786
23-Feb-2006,3050.85,3078.4,3050.85,3062.1,3417.672832153479
24-Feb-2006,3061.7,3072.0,3041.6,3050.05,3423.0890228783196
27-Feb-2006,3050.3,3070.35,3050.3,3067.45,3427.3319181730626
28-Feb-2006,3067.9,3090.3,3031.8,3074.7,3430.213192619102
01-Mar-2006,3074.6,3127.25,3064.0,3123.1,3433.5463946825935
02-Mar-2006,3124.25,3170.35,3124.25,3150.7,3437.62105742207
03-Mar-2006,3151.3,3167.2,3132.6,3147.35,3442.108907596975
06-Mar-2006,3147.25,3194.0,3147.2,3190.4,3446.951107521383
07-Mar-2006,3190.45,3192.95,3166.75,3182.8,3450.782439784852
08-Mar-2006,3183.45,3187.5,3107.9,3116.7,3454.4119677471917
09-Mar-2006,3116.75,3132.65,3069.85,3129.1,3458.1839879686127
10-Mar-2006,3129.05,3189.35,3128.6,3183.9,3462.293102516189
13-Mar-2006,3184.1,3221.3,3174.05,3202.65,3467.0513801030925
14-Mar-2006,3197.2,3223.45,3184.05,3195.35,3472.0981325398775
16-Mar-2006,3197.3,3230.4,3196.95,3226.6,3477.0578526141076
17-Mar-2006,3226.9,3258.3,3226.9,3234.05,3481.9269287074994
20-Mar-2006,3234.2,3268.25,3234.2,3265.65,3487.155516481554
21-Mar-2006,3264.65,3292.15,3247.25,3262.3,3492.497750148404
22-Mar-2006,3263.35,3267.95,3221.95,3240.15,3497.4360809926984
23-Mar-2006,3240.85,3265.6,3225.2,3247.15,3502.271542873368
24-Mar-2006,3247.15,3286.2,3242.6,3279.8,3506.561378267663
27-Mar-2006,3283.4,3327.05,3280.8,3321.65,3510.5896232600244
28-Mar-2006,3321.45,3344.5,3311.85,3325.0,3513.969826013656
29-Mar-2006,3324.85,3359.8,3324.8,3354.2,3518.231320282177
30-Mar-2006,3354.25,3433.85,3354.25,3418.95,3523.546929035588
31-Mar-2006,3420.55,3425.45,3381.9,3402.55,3529.067855114836
03-Apr-2006,3403.15,3478.25,3402.45,3473.3,3534.5547421286187
04-Apr-2006,3473.1,3508.25,3463.85,3483.15,3539.946734744254
05-Apr-2006,3483.15,3513.95,3483.15,3510.9,3545.6094538015254
07-Apr-2006,3525.6,3555.5,3445.9,3454.8,3551.0277676940477
10-Apr-2006,3455.0,3489.05,3430.4,3478.45,3556.5145560752017
12-Apr-2006,3479.1,3484.65,3366.75,3380.0,3561.585058004802
13-Apr-2006,3380.4,3391.05,3290.35,3345.5,3566.8419230992813
17-Apr-2006,3342.15,3433.65,3342.15,3425.15,3572.6216054565025
18-Apr-2006,3429.0,3521.95,3429.0,3518.1,3578.112435252955
19-Apr-2006,3523.65,3570.5,3502.75,3535.85,3583.133207041483
20-Apr-2006,3539.8,3578.35,3527.25,3573.5,3588.6463094589803
21-Apr-2006,3576.75,3592.75,3517.1,3573.05,3594.5652516534183
24-Apr-2006,3572.8,3585.35,3536.3,3548.9,3600.7422143235335
25-Apr-2006,3548.8,3552.65,3433.55,3462.65,3606.6641823402147
26-Apr-2006,3462.65,3562.3,3454.1,3555.75,3612.8093148542425
27-Apr-2006,3554.7,3598.95,3492.75,3508.1,3618.884844059673
28-Apr-2006,3507.45,3517.65,3342.85,3508.35,3624.54171128296
29-Apr-2006,3508.35,3565.75,3508.35,3557.6,3628.857714155766
02-May-2006,3557.55,3622.05,3556.9,3605.45,3632.9939558059577
03-May-2006,3604.4,3640.8,3581.4,3634.25,3637.1144139571425
04-May-2006,3630.65,3674.5,3621.55,3648.4,3642.1799421764745
05-May-2006,3649.45,3676.55,3639.55,3663.95,3647.377654194619
08-May-2006,3668.65,3708.55,3668.65,3693.15,3651.950513356862
09-May-2006,3694.65,3725.4,3655.65,3720.55,3656.3709062587836
10-May-2006,3720.75,3758.05,3717.25,3754.25,3660.1881111716316
11-May-2006,3755.8,3774.15,3687.9,3701.05,3662.9618613092275
12-May-2006,3704.15,3704.15,3633.85,3650.05,3665.738360201673
15-May-2006,3651.0,3653.0,3482.85,3502.95,3668.008625274293
16-May-2006,3502.95,3543.5,3382.4,3523.3,3668.777693679524
17-May-2006,3525.05,3641.85,3525.05,3635.1,3670.1948310558473
18-May-2006,3636.45,3636.45,3365.9,3388.9,3670.7575690552917
19-May-2006,3391.85,3493.05,3205.25,3246.9,3669.819682796035
22-May-2006,3254.3,3313.9,2896.4,3081.35,3669.678690927418
23-May-2006,3068.6,3221.05,2997.35,3199.35,3669.2525347987867
24-May-2006,3203.5,3249.75,3091.6,3115.55,3670.171912561983
25-May-2006,3114.7,3198.35,3012.95,3177.7,3670.6478139295255
26-May-2006,3177.7,3277.95,3177.7,3209.6,3671.2841540894306
29-May-2006,3207.25,3255.25,3193.15,3214.9,3672.271873949237
30-May-2006,3215.5,3252.1,3167.05,3185.3,3671.9617060492446
31-May-2006,3181.95,3181.95,2972.9,3071.05,3671.679500018904
01-Jun-2006,3072.55,3130.0,2936.6,2962.25,3671.05134578986
02-Jun-2006,2961.5,3099.35,2940.2,3091.35,3671.1294418516527
05-Jun-2006,3092.6,3125.4,3006.4,3016.65,3671.3928304899446
06-Jun-2006,3015.05,3015.05,2910.3,2937.3,3672.3197674999947
07-Jun-2006,2935.25,2956.9,2819.45,2860.45,3674.3454414552184
08-Jun-2006,2856.9,2859.4,2683.2,2724.35,3676.203198256659
09-Jun-2006,2721.2,2875.75,2707.85,2866.3,3677.6335146919164
12-Jun-2006,2867.65,2877.8,2761.85,2776.85,3678.464026983539
13-Jun-2006,2773.6,2773.6,2638.1,2663.3,3679.6544346752453
14-Jun-2006,2665.05,2767.75,2595.65,2632.8,3681.066330847631
15-Jun-2006,2634.1,2814.15,2634.1,2798.8,3680.594029048152
16-Jun-2006,2799.85,2960.15,2799.85,2890.35,3680.6940884606083
19-Jun-2006,2892.0,2932.9,2846.5,2916.9,3681.217032854035
20-Jun-2006,2919.0,2919.0,2837.45,2861.3,3681.9213409848408
21-Jun-2006,2861.4,2930.8,2836.4,2923.45,3683.5290888357376
22-Jun-2006,2923.75,3017.65,2923.75,2994.75,3685.1671078522972
23-Jun-2006,2993.55,3063.2,2920.2,3042.7,3686.93310677914
25-Jun-2006,3043.15,3083.0,3035.95,3050.3,3688.3551654181533
26-Jun-2006,3051.8,3059.85,2928.0,2943.2,3690.6337209861317
27-Jun-2006,2943.6,3004.15,2899.25,2982.45,3693.844828240001
28-Jun-2006,2982.2,3003.65,2909.6,2981.1,3696.7413971132346
29-Jun-2006,2982.9,3049.25,2982.9,2997.9,3699.8743185349936
30-Jun-2006,2993.5,3134.15,2993.5,3128.2,3702.837260639123
03-Jul-2006,3128.75,3160.35,3114.85,3150.95,3706.6254471004254
04-Jul-2006,3151.05,3177.4,3130.3,3138.65,3710.391363049675
05-Jul-2006,3136.95,3201.2,3121.8,3197.1,3714.683986302912
06-Jul-2006,3197.5,3197.5,3138.4,3156.4,3719.1876282302464
07-Jul-2006,3157.95,3193.1,3056.3,3075.85,3723.7514329244727
