Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
03-Jan-2005,2080,2118.6,2080,2115,70506865,2375.1
04-Jan-2005,2116.95,2120.15,2100.55,2103.75,72718302,2416.13
05-Jan-2005,2103.75,2105.1,1990.15,2032.2,109223487,3622.02
06-Jan-2005,2031.55,2035.65,1984.25,1998.35,94321939,3233.82
07-Jan-2005,1998.25,2021.45,1992.55,2015.5,76285818,2764.03
10-Jan-2005,2016.75,2025.9,1974.8,1982,75659206,2349.26
11-Jan-2005,1982.7,1988.9,1947.35,1952.05,70270295,2635.87
12-Jan-2005,1953.6,1966.65,1900.85,1913.6,85040272,3348.69
13-Jan-2005,1922.5,1963.4,1916.95,1954.55,80904072,2864.68
14-Jan-2005,1954.9,1961.4,1922.85,1931.1,86211083,2653.22
17-Jan-2005,1931.75,1944.55,1902.45,1932.9,82253062,2700.13
18-Jan-2005,1933.05,1956.95,1925.35,1934.05,91873146,3095.09
19-Jan-2005,1934.1,1945.65,1922.35,1926.65,94221284,2293.88
20-Jan-2005,1928.1,1940.95,1900.05,1925.3,96601275,3420.1
24-Jan-2005,1925.3,1932.75,1902.9,1909,74819372,2620.68
25-Jan-2005,1908.85,1934.25,1894.4,1931.85,88566262,2826.51
27-Jan-2005,1931.9,1961.75,1929,1955,135722670,3844.54
28-Jan-2005,1955.25,2014.25,1950.85,2008.3,106730397,3558.74
31-Jan-2005,2008.45,2060.4,2006.35,2057.6,137984563,3937.87
01-Feb-2005,2057.75,2072.5,2045.25,2059.85,135567534,3744.47
02-Feb-2005,2062.15,2074.5,2045.5,2052.25,89992221,2800.78
03-Feb-2005,2052.35,2083.75,2052.35,2079.45,78096873,2532.53
04-Feb-2005,2079.4,2099.2,2060.8,2077.95,79164167,2632.63
07-Feb-2005,2097.45,2098,2049.85,2055.1,62127314,2319.96
08-Feb-2005,2055,2065,2043.6,2055.15,74190476,2383.24
09-Feb-2005,2055.2,2077.7,2055.2,2070,68237793,2317.8
10-Feb-2005,2070.1,2075.1,2049.85,2063.35,69893469,2115.09
11-Feb-2005,2063.35,2084.5,2063.35,2082.05,84987297,2575.21
14-Feb-2005,2083.05,2110.15,2083.05,2098.25,86445194,2650.6
15-Feb-2005,2098.25,2101.6,2081.2,2089.95,60938189,2274.26
16-Feb-2005,2090,2103.4,2059.45,2068.8,68533655,2600.84
17-Feb-2005,2069.1,2069.15,2045.85,2061.9,63853254,2308.49
18-Feb-2005,2062.45,2076.7,2048.85,2055.55,63673961,2182.69
21-Feb-2005,2055.15,2065.75,2039.9,2043.2,46917742,1846.09
22-Feb-2005,2043.4,2061.65,2036.6,2058.4,51898487,1911.09
23-Feb-2005,2058.7,2065.15,2051.35,2057.1,52493127,2009.68
24-Feb-2005,2057.75,2070.5,2052.4,2055.3,76500198,2958.62
25-Feb-2005,2057.3,2081.85,2051.2,2060.9,66309002,2562.1
28-Feb-2005,2061.2,2106.2,2047.7,2103.25,103139340,3705.33
01-Mar-2005,2103.1,2115.1,2073.8,2084.4,71289743,2868.92
02-Mar-2005,2084.6,2096.35,2080.55,2093.25,78599088,2708.28
03-Mar-2005,2093.4,2132.75,2093.35,2128.85,84295271,2958.87
04-Mar-2005,2129.1,2152.75,2129.1,2148.15,78283092,3187.89
07-Mar-2005,2148.25,2166.85,2143.05,2160.1,86791264,3325.05
08-Mar-2005,2160.65,2173.85,2154,2168.95,78378567,3073.68
09-Mar-2005,2169.1,2183.45,2141.35,2160.8,81074126,2946.37
10-Mar-2005,2160.85,2170.2,2145.75,2167.4,61889887,2568.44
11-Mar-2005,2167.7,2182.1,2148.7,2154,70474058,2644.55
14-Mar-2005,2153.8,2164.15,2140.9,2146.35,73875042,2327.55
15-Mar-2005,2146.55,2151.35,2122,2128.95,60049989,2053.6
16-Mar-2005,2129.35,2158.9,2121.1,2125.55,75512834,2276.67
17-Mar-2005,2123.95,2126.55,2090.45,2098.5,62045976,2188.35
