Date,Open,High,Low,Close,Adj Close,Volume,Name
2010-01-01,32.32500076293945,40.82500076293945,32.32500076293945,36.82500076293945,31.178346633911133,85517278.0,TVSMOTOR
2010-01-25,,,,,,,TVSMOTOR
2010-02-01,36.5,38.0,29.0,35.17499923706055,30.064407348632812,21849010.0,TVSMOTOR
2010-03-01,35.17499923706055,41.70000076293945,35.17499923706055,41.17499923706055,35.192665100097656,40272380.0,TVSMOTOR
2010-04-01,41.42499923706055,49.79999923706055,40.04999923706055,48.224998474121094,41.218353271484375,68483084.0,TVSMOTOR
2010-05-01,48.5,55.375,43.20000076293945,52.04999923706055,44.487632751464844,57851568.0,TVSMOTOR
2010-06-01,52.474998474121094,60.29999923706055,48.0,59.75,51.068878173828125,93817754.0,TVSMOTOR
2010-07-01,60.5,69.8499984741211,52.75,69.55000305175781,59.44504165649414,152688140.0,TVSMOTOR
2010-07-26,,,,,,,TVSMOTOR
2010-08-01,70.75,75.8499984741211,66.82499694824219,71.125,61.0240364074707,46158272.0,TVSMOTOR
2010-09-01,73.25,79.6500015258789,69.5,71.55000305175781,61.388668060302734,41286586.0,TVSMOTOR
2010-09-08,,,,,,,TVSMOTOR
2010-10-01,73.0,80.19999694824219,71.4000015258789,73.05000305175781,62.675662994384766,36780927.0,TVSMOTOR
2010-11-01,74.0,87.4000015258789,72.1500015258789,81.69999694824219,70.09720611572266,97982392.0,TVSMOTOR
2010-12-01,83.30000305175781,84.9000015258789,65.0,70.69999694824219,60.659400939941406,58478917.0,TVSMOTOR
2011-01-01,72.5999984741211,73.94999694824219,50.349998474121094,54.45000076293945,46.71717071533203,72069882.0,TVSMOTOR
2011-01-25,,,,,,,TVSMOTOR
2011-02-01,55.099998474121094,58.150001525878906,43.599998474121094,50.650001525878906,43.80842208862305,54800213.0,TVSMOTOR
2011-03-01,51.400001525878906,61.29999923706055,51.0,59.849998474121094,51.76573944091797,63264939.0,TVSMOTOR
2011-04-01,60.849998474121094,63.0,54.75,56.349998474121094,48.73850631713867,55584279.0,TVSMOTOR
2011-05-01,58.349998474121094,58.349998474121094,50.099998474121094,54.20000076293945,46.8789176940918,42669821.0,TVSMOTOR
2011-06-01,55.20000076293945,56.5,50.150001525878906,53.70000076293945,46.44645690917969,21760492.0,TVSMOTOR
2011-07-01,54.25,58.099998474121094,48.70000076293945,49.400001525878906,42.727272033691406,24378644.0,TVSMOTOR
2011-08-01,50.099998474121094,57.650001525878906,48.650001525878906,55.25,47.78708267211914,40900841.0,TVSMOTOR
2011-08-02,,,,,,,TVSMOTOR
2011-09-01,55.25,66.19999694824219,55.25,60.95000076293945,53.315643310546875,49450083.0,TVSMOTOR
2011-10-01,61.849998474121094,70.30000305175781,57.70000076293945,68.6500015258789,60.051177978515625,32998312.0,TVSMOTOR
2011-11-01,69.0,69.5999984741211,58.349998474121094,59.25,51.828575134277344,44122215.0,TVSMOTOR
2011-12-01,61.0,61.95000076293945,46.20000076293945,52.0,45.486690521240234,26588878.0,TVSMOTOR
2012-01-01,52.29999923706055,55.20000076293945,46.0,52.45000076293945,45.88031768798828,44993784.0,TVSMOTOR
2012-02-01,52.0,55.70000076293945,46.5,47.25,41.33165740966797,61094075.0,TVSMOTOR
2012-03-01,47.5,50.29999923706055,36.79999923706055,41.0,35.864505767822266,44411535.0,TVSMOTOR
2012-03-20,,,,,,,TVSMOTOR
2012-04-01,41.5,44.0,38.099998474121094,41.0,36.376853942871094,44509182.0,TVSMOTOR
2012-05-01,41.0,41.75,32.04999923706055,33.95000076293945,30.121803283691406,42478756.0,TVSMOTOR
2012-06-01,33.0,36.900001525878906,31.799999237060547,36.45000076293945,32.339908599853516,36509639.0,TVSMOTOR
2012-06-04,,,,,,,TVSMOTOR
2012-07-01,35.95000076293945,42.25,34.75,37.900001525878906,34.35066604614258,73245579.0,TVSMOTOR
2012-08-01,37.900001525878906,40.900001525878906,37.150001525878906,38.70000076293945,35.07575607299805,22697779.0,TVSMOTOR
2012-09-01,38.5,45.650001525878906,35.54999923706055,42.29999923706055,38.33860397338867,36126331.0,TVSMOTOR
2012-10-01,42.599998474121094,46.900001525878906,38.0,38.599998474121094,34.9851188659668,25091180.0,TVSMOTOR
2012-11-01,39.5,40.400001525878906,36.5,39.0,35.347652435302734,12729223.0,TVSMOTOR
2012-12-01,38.400001525878906,44.0,38.150001525878906,41.849998474121094,37.93075180053711,18466042.0,TVSMOTOR
2013-01-01,44.849998474121094,50.20000076293945,35.099998474121094,43.849998474121094,39.74344253540039,23486552.0,TVSMOTOR
