Date,Open,High,Low,Close,Adj Close,Volume,Name
2018-09-01,1810.0,1810.0,1250.0,1327.449951171875,1294.494873046875,18807929.0,HDFCAMC
2018-10-01,1334.9000244140625,1413.800048828125,1250.0,1400.5,1365.7314453125,6297301.0,HDFCAMC
2018-11-01,1411.800048828125,1537.949951171875,1385.0999755859375,1520.4000244140625,1482.65478515625,3757828.0,HDFCAMC
2018-12-01,1529.9000244140625,1600.0,1455.9000244140625,1504.949951171875,1467.5882568359375,3453802.0,HDFCAMC
2019-01-01,1504.949951171875,1530.0,1353.5999755859375,1362.5999755859375,1328.7723388671875,1737100.0,HDFCAMC
2019-02-01,1371.6500244140625,1378.449951171875,1305.0999755859375,1370.4000244140625,1336.378662109375,1530284.0,HDFCAMC
2019-03-01,1374.9000244140625,1542.5999755859375,1370.0,1533.9000244140625,1495.8197021484375,2396326.0,HDFCAMC
2019-03-06,,,,,,,HDFCAMC
2019-04-01,1538.0,1738.0,1502.6500244140625,1695.050048828125,1666.5428466796875,2319045.0,HDFCAMC
2019-05-01,1695.050048828125,1780.0,1551.0,1772.300048828125,1742.4937744140625,2743667.0,HDFCAMC
2019-06-01,1779.0,2070.0,1760.5999755859375,2061.60009765625,2026.9283447265625,5291771.0,HDFCAMC
2019-07-01,2085.0,2370.0,1886.0,2149.199951171875,2113.054931640625,11433592.0,HDFCAMC
2019-07-04,,,,,,,HDFCAMC
2019-08-01,2160.050048828125,2593.89990234375,2045.4000244140625,2552.199951171875,2524.25244140625,8127565.0,HDFCAMC
2019-09-01,2552.199951171875,2975.0,2550.0,2801.699951171875,2771.0205078125,8142097.0,HDFCAMC
2019-10-01,2819.0,3139.0,2635.60009765625,2994.300048828125,2961.511474609375,7744570.0,HDFCAMC
2019-11-01,3005.0,3844.0,2892.300048828125,3536.949951171875,3498.21923828125,25297415.0,HDFCAMC
2019-12-01,3535.0,3549.0,2834.0,3199.699951171875,3164.662109375,22444668.0,HDFCAMC
2020-01-01,3198.050048828125,3285.0,3002.25,3174.199951171875,3139.44140625,7871247.0,HDFCAMC
2020-02-01,3173.949951171875,3446.60009765625,2992.5,3141.39990234375,3107.00048828125,7523647.0,HDFCAMC
2020-03-01,3210.0,3220.0,1962.0,2112.800048828125,2089.664306640625,12149234.0,HDFCAMC
2020-04-01,2125.0,2820.0,2100.0,2530.75,2503.037353515625,8986397.0,HDFCAMC
2020-05-01,2530.75,2700.0,2392.39990234375,2524.39990234375,2496.7568359375,4809725.0,HDFCAMC
2020-06-01,2573.10009765625,2779.449951171875,2402.14990234375,2483.35009765625,2456.156494140625,13573056.0,HDFCAMC
2020-07-01,2484.89990234375,2632.0,2380.0,2419.64990234375,2393.154052734375,9811764.0,HDFCAMC
2020-07-09,,,,,,,HDFCAMC
2020-08-01,2420.0,2529.0,2318.050048828125,2410.89990234375,2410.89990234375,8034326.0,HDFCAMC
2020-09-01,2415.0,2488.10009765625,2070.050048828125,2269.85009765625,2269.85009765625,8158974.0,HDFCAMC
2020-10-01,2284.0,2374.699951171875,2237.050048828125,2250.199951171875,2250.199951171875,4426830.0,HDFCAMC
2020-11-01,2254.0,2577.10009765625,2225.89990234375,2538.800048828125,2538.800048828125,6879465.0,HDFCAMC
2020-12-01,2549.0,2990.0,2500.0,2918.0,2918.0,9927787.0,HDFCAMC
2021-01-01,2937.64990234375,3358.89990234375,2852.14990234375,2876.550048828125,2876.550048828125,7907667.0,HDFCAMC
2021-02-01,2890.10009765625,3108.949951171875,2843.449951171875,2937.0,2937.0,4705423.0,HDFCAMC
2021-03-01,2935.0,3247.25,2772.75,2919.0,2919.0,6351907.0,HDFCAMC
2021-04-01,2935.0,3050.10009765625,2756.0,2776.35009765625,2776.35009765625,5149835.0,HDFCAMC
2021-05-01,2769.10009765625,2771.85009765625,2735.75,2753.949951171875,2753.949951171875,249016.0,HDFCAMC
