Date,Open,High,Low,Close,Adj Close,Volume,Name
2010-01-01,527.0499877929688,2665.35009765625,527.0499877929688,2533.0,2186.177734375,422257.0,NESTLEIND
2010-02-01,2599.949951171875,3244.0,2442.0,2626.89990234375,2267.220703125,172455.0,NESTLEIND
2010-03-01,2626.89990234375,2825.0,2600.0,2670.60009765625,2304.937255859375,216588.0,NESTLEIND
2010-04-01,2665.64990234375,2994.0,2295.0,2763.10009765625,2384.77197265625,608071.0,NESTLEIND
2010-04-23,,,,,,,NESTLEIND
2010-05-01,2735.0,2964.5,2670.10009765625,2879.199951171875,2503.68310546875,465273.0,NESTLEIND
2010-06-01,2930.0,3064.0,2775.0,2879.550048828125,2503.98779296875,556145.0,NESTLEIND
2010-07-01,2895.0,3300.0,2894.0,3020.64990234375,2626.68359375,195770.0,NESTLEIND
2010-08-01,3040.0,3200.0,2701.0,3078.800048828125,2677.251220703125,870705.0,NESTLEIND
2010-09-01,3080.0,3399.0,3050.0,3382.14990234375,2941.0361328125,1207679.0,NESTLEIND
2010-10-01,3351.0,3540.0,3125.0,3484.449951171875,3029.99365234375,872871.0,NESTLEIND
2010-11-01,3484.449951171875,4224.0,3440.0,3625.35009765625,3152.51708984375,911074.0,NESTLEIND
2010-11-03,,,,,,,NESTLEIND
2010-12-01,3625.35009765625,3920.0,3549.0,3813.75,3341.742919921875,346545.0,NESTLEIND
2011-01-01,3838.699951171875,3949.0,3311.199951171875,3327.550048828125,2915.71728515625,314904.0,NESTLEIND
2011-02-01,3337.0,3650.0,3162.25,3548.699951171875,3109.49609375,740033.0,NESTLEIND
2011-03-01,3563.0,3996.0,3501.300048828125,3696.550048828125,3239.04736328125,459673.0,NESTLEIND
2011-04-01,3748.0,4050.0,3651.0,3992.89990234375,3498.72021484375,745726.0,NESTLEIND
2011-04-21,,,,,,,NESTLEIND
2011-05-01,4012.0,4205.0,3850.39990234375,4059.300048828125,3577.414794921875,508004.0,NESTLEIND
2011-06-01,4065.10009765625,4220.7998046875,3855.0,4108.10009765625,3620.422119140625,272121.0,NESTLEIND
2011-07-01,4100.0,4520.0,4100.0,4360.10009765625,3842.507568359375,479795.0,NESTLEIND
2011-08-01,4360.10009765625,4444.5,4033.0,4389.10009765625,3868.064453125,367764.0,NESTLEIND
2011-09-01,4389.10009765625,4520.5,4132.0498046875,4252.10009765625,3747.326904296875,417648.0,NESTLEIND
2011-10-01,4268.9501953125,4347.7001953125,4056.25,4243.85009765625,3740.05712890625,334242.0,NESTLEIND
2011-11-01,4167.4501953125,4588.7001953125,4150.0,4222.5498046875,3721.28564453125,551187.0,NESTLEIND
2011-12-01,4242.0,4275.0,3970.0,4094.85009765625,3608.7451171875,506186.0,NESTLEIND
2011-12-12,,,,,,,NESTLEIND
2012-01-01,4143.5,4349.89990234375,3925.0,4236.0,3757.347412109375,474783.0,NESTLEIND
2012-02-01,4300.0,4514.60009765625,4170.14990234375,4413.2001953125,3914.525390625,388862.0,NESTLEIND
2012-03-01,4425.0498046875,4680.0,4351.0,4630.60009765625,4107.3603515625,778516.0,NESTLEIND
2012-03-21,,,,,,,NESTLEIND
2012-04-01,4610.0,5024.0,4506.35009765625,4674.14990234375,4157.7197265625,571928.0,NESTLEIND
2012-05-01,4674.14990234375,4750.0,4401.0,4505.2001953125,4007.43701171875,1013528.0,NESTLEIND
2012-06-01,4545.0,4620.0,4450.0,4539.0498046875,4037.546142578125,460528.0,NESTLEIND
2012-07-01,4567.0,4640.0,4410.0,4478.64990234375,3983.820068359375,513568.0,NESTLEIND
2012-08-01,4475.0,4759.89990234375,4350.0,4635.2998046875,4123.16259765625,560350.0,NESTLEIND
2012-08-01,,,,,,,NESTLEIND
2012-09-01,4600.0,4678.9501953125,4300.0,4401.9501953125,3931.394775390625,557950.0,NESTLEIND
2012-10-01,4438.7998046875,5429.0,4372.89990234375,4700.10009765625,4197.673828125,511735.0,NESTLEIND
2012-11-01,4698.89990234375,5544.4501953125,4575.0,4767.39990234375,4257.77880859375,475937.0,NESTLEIND
2012-12-01,4849.89990234375,5024.2001953125,4650.0,4992.2998046875,4458.63818359375,408580.0,NESTLEIND
2012-12-12,,,,,,,NESTLEIND
2013-01-01,5001.0,5050.0,4475.0,4745.5498046875,4254.1259765625,562028.0,NESTLEIND
2013-02-01,4670.14990234375,4789.89990234375,4557.0,4761.7998046875,4268.6943359375,1038433.0,NESTLEIND
2013-02-25,,,,,,,NESTLEIND
2013-03-01,4760.0,4867.7001953125,4533.0,4588.2001953125,4124.20751953125,486653.0,NESTLEIND
2013-04-01,4675.0,5060.0,4433.0,4981.35009765625,4477.59912109375,769436.0,NESTLEIND
2013-05-01,4981.35009765625,5350.0,4762.35009765625,5302.25,4766.04931640625,685273.0,NESTLEIND
2013-06-01,5225.0,5349.7001953125,4820.0,4854.0,4363.12890625,268895.0,NESTLEIND
2013-07-01,4869.35009765625,5800.0,4827.0,5293.5,4758.18310546875,393855.0,NESTLEIND
2013-07-31,,,,,,,NESTLEIND
2013-08-01,5280.0,5494.0,4565.5,4896.7001953125,4416.5,316119.0,NESTLEIND
2013-09-01,4897.0,5279.0,4770.0,5219.5498046875,4707.6884765625,575785.0,NESTLEIND
2013-10-01,5148.0,5651.7001953125,5002.0498046875,5596.9501953125,5048.07763671875,583779.0,NESTLEIND
2013-11-01,5594.0,5844.0,5111.0,5145.0498046875,4640.49365234375,1912295.0,NESTLEIND
2013-11-01,,,,,,,NESTLEIND
2013-12-01,5180.0,5545.0,4895.0,5289.25,4785.94384765625,676237.0,NESTLEIND
2014-01-01,5290.0,5600.0,4902.39990234375,5047.14990234375,4566.8818359375,564846.0,NESTLEIND
2014-02-01,4993.0,5198.0,4774.85009765625,4864.5,4401.61181640625,1581528.0,NESTLEIND
2014-03-01,4861.0,5070.0,4632.0,5028.75,4550.2333984375,666358.0,NESTLEIND
2014-04-01,5069.0,5070.0,4685.0,4768.7998046875,4315.01904296875,573401.0,NESTLEIND
2014-05-01,4768.7998046875,5080.0,4525.0,4961.0,4488.93017578125,2105837.0,NESTLEIND
2014-05-15,,,,,,,NESTLEIND
2014-06-01,4951.14990234375,5039.0,4761.0,4929.75,4484.13037109375,521771.0,NESTLEIND
2014-07-01,4931.0,5248.39990234375,4831.2001953125,5128.35009765625,4664.77587890625,528734.0,NESTLEIND
2014-08-01,5143.0,6155.0,5110.0,6028.5498046875,5483.603515625,572611.0,NESTLEIND
2014-09-01,6050.0,6620.0,5881.0,5968.64990234375,5429.119140625,455926.0,NESTLEIND
2014-09-15,,,,,,,NESTLEIND
2014-10-01,6027.0,6300.0,5635.0,6257.2001953125,5700.5146484375,344012.0,NESTLEIND
2014-11-01,6261.0,6500.0,6039.0,6204.0498046875,5652.0927734375,362281.0,NESTLEIND
2014-12-01,6191.0498046875,6425.0498046875,5985.4501953125,6384.85009765625,5816.8076171875,342776.0,NESTLEIND
2014-12-08,,,,,,,NESTLEIND
2015-01-01,6385.0,7430.0,6220.0,7113.0498046875,6488.45654296875,663582.0,NESTLEIND
2015-02-01,7113.7998046875,7272.0,6760.0498046875,7020.89990234375,6404.39990234375,587020.0,NESTLEIND
2015-03-01,7049.89990234375,7505.0,6765.0,6947.35009765625,6337.30517578125,621799.0,NESTLEIND
2015-04-01,7051.0,7174.9501953125,6525.0,6572.60009765625,5995.46337890625,472550.0,NESTLEIND
2015-05-01,6572.60009765625,7349.0,6535.10009765625,6751.5498046875,6158.69970703125,702581.0,NESTLEIND
2015-05-19,,,,,,,NESTLEIND
2015-06-01,6700.0,6999.89990234375,5501.0,6352.2001953125,5816.19580078125,4590384.0,NESTLEIND
2015-07-01,6400.0,6494.0,5895.0,6357.39990234375,5820.95654296875,1700293.0,NESTLEIND
2015-08-01,6385.0,6998.0,5950.0,5965.39990234375,5462.0322265625,2224552.0,NESTLEIND
2015-09-01,5935.0,6398.0,5850.0,6367.64990234375,5830.3408203125,635582.0,NESTLEIND
2015-10-01,6364.0,6669.9501953125,6105.14990234375,6173.89990234375,5652.939453125,1010653.0,NESTLEIND
2015-11-01,6160.0,6474.0,5850.0,5860.0498046875,5365.572265625,1146376.0,NESTLEIND
2015-12-01,5858.89990234375,5950.0,5630.0,5828.0,5336.22705078125,818755.0,NESTLEIND
2015-12-11,,,,,,,NESTLEIND
2016-01-01,5820.0498046875,5850.0,5375.0,5488.0,5038.8876953125,764766.0,NESTLEIND
2016-02-01,5575.0,5575.0,4981.0,5008.0,4598.16943359375,799122.0,NESTLEIND
2016-03-01,5050.0,5849.0,5000.5498046875,5757.35009765625,5286.1953125,1081019.0,NESTLEIND
2016-04-01,5690.0,6246.75,5558.0498046875,5725.4501953125,5256.90625,709466.0,NESTLEIND
2016-05-01,5739.9501953125,6359.0,5482.0498046875,6097.35009765625,5598.3720703125,1003426.0,NESTLEIND
2016-05-18,,,,,,,NESTLEIND
2016-06-01,6116.0,6705.0,6109.0498046875,6492.35009765625,5990.4228515625,826809.0,NESTLEIND
2016-07-01,6514.89990234375,7369.0,6390.0,7188.35009765625,6632.615234375,762721.0,NESTLEIND
2016-08-01,7172.0,7215.14990234375,6470.0,6525.5498046875,6021.05615234375,615756.0,NESTLEIND
