STOCK1 STOCK2 PORTFOLIO_VALUE
ALKEM LALPATHLAB 113146.09633999999
APOLLOHOSP GLENMARK 114992.16961000004
ASTRAZEN GRANULES 103284.58672999997
DIVISLAB GRANULES 103927.33540999983
DRREDDY GLAXO 101440.61593999999
DRREDDY GRANULES 112439.53431999993
IOLCP INDOCO 131616.55807
IOLCP IPCALAB 120896.59349000004
IOLCP JBCHEPHARM 122072.48618000005
LUPIN PGHL 103736.68219999998
LUPIN STAR 109315.90135999996
SPARC SYNGENE 116554.29373999992
AEGISCHEM COALINDIA 111736.20900000012
AEGISCHEM ONGC 106401.25781000001
COALINDIA ONGC 111111.36517999996
CESC NLCINDIA 106867.78926
GAIL GSPL 104002.31636000008
GSPL TATAPOWER 104017.39897000002
JSWENERGY NHPC 100740.36295000002
JSWENERGY NTPC 100408.31549000005
JSWENERGY POWERGRID 119203.03969
JSWENERGY SJVN 112462.68270000008
NHPC NLCINDIA 104481.08802000008
ABFRL TRIDENT 113477.47861000002
ALOKINDS SUPRAJIT 106799.02361000005
ALOKINDS TATAMOTORS 125152.34855000005
ASHOKLEY TTKPRESTIG 105942.69758999998
ASHOKLEY TATAMOTORS 113209.53915999993
BAJAJ-AUTO MINDAIND 104584.17360999995
BHARATFORG CENTURYPLY 101179.81490000006
BHARATFORG PAGEIND 111020.65127999999
BHARATFORG TATAMOTORS 123301.14232000004
EIHOTEL VMART 103407.47895000005
EICHERMOT TRIDENT 109176.21846
EXIDEIND TTKPRESTIG 103597.18421
HEROMOTOCO MAHINDCIE 108960.49713999995
HEROMOTOCO RAJESHEXPO 109496.70532000001
HEROMOTOCO RELAXO 101050.08906000001
HEROMOTOCO SWANENERGY 106838.34403999998
HEROMOTOCO SYMPHONY 104744.04463000012
HEROMOTOCO TTKPRESTIG 100903.2817400001
HEROMOTOCO TRENT 106779.44440000001
INDHOTEL MINDAIND 114470.77894999992
INDHOTEL TITAN 118720.24297
ICIL MRF 104825.50370999999
ICIL PAGEIND 152102.75164000003
JTEKTINDIA TTKPRESTIG 106492.94711000007
JTEKTINDIA TATAMOTORS 109310.79991000002
JAMNAAUTO TTKPRESTIG 111951.79116000002
LUXIND TRIDENT 108100.33675999996
M&M TTKPRESTIG 115747.28999000002
MOTHERSUMI TRIDENT 103950.99758000008
SUNCLAYLTD TTKPRESTIG 100988.71792000004
SUPRAJIT TATAMTRDVR 108127.64529000004
SWANENERGY SYMPHONY 109547.78234000002
SWANENERGY TTKPRESTIG 109192.49515000002
SWANENERGY TITAN 116616.51681000006
SWANENERGY TRENT 107355.24014000005
SWANENERGY VMART 102353.02843999995
SWANENERGY WELSPUNIND 102241.96874999997
SYMPHONY TTKPRESTIG 117997.53527000002
SYMPHONY TRENT 110955.82013999994
SYMPHONY VMART 102390.52435999995
SYMPHONY VAIBHAVGBL 117535.40833
SYMPHONY VTL 113963.22796999999
TTKPRESTIG VMART 106904.15122999996
TVSMOTOR TATAMOTORS 118281.73075000002
TVSMOTOR TRIDENT 114298.70507999999
BRITANNIA GODREJCP 112393.15405000001
CCL UBL 105836.91086000003
GILLETTE RADICO 123910.42219999996
