STOCK1 STOCK2 PORTFOLIO_VALUE
ATUL BLUESTARCO 106922.80169000001
AARTIIND ASTRAL 115171.22112000003
AJANTPHARM EMAMILTD 103832.04230999995
BRITANNIA GODREJCP 112393.15405000001
NAUKRI PHOENIXLTD 102375.83130000002
KNRCON OBEROIRLTY 141156.83484999998
SYMPHONY TATACOMM 110087.15553999999
KSCL LINDEINDIA 100183.90850000003
AIAENG INFY 107015.17874000003
AIAENG SWANENERGY 119325.70426999999
AIAENG VTL 104322.36104000002
DRREDDY GLAXO 101440.61593999999
JSWENERGY SRF 117234.99083999997
JSWENERGY UPL 106785.75873000005
IFBIND TATACONSUM 111457.04450999986
IOLCP KEI 112758.54432000006
BALRAMCHIN MAHSCOOTER 111268.83969999998
BEL MAHSCOOTER 108942.21380999994
DEEPAKNTR ICICIBANK 109694.66567999995
BANKINDIA NBCC 101551.39385
ACC SIEMENS 103899.76969999999
HDFCBANK KOTAKBANK 104449.74631999999
ASTRAZEN BIOCON 115298.02748999996
GSFC JKPAPER 110113.15843999996
ABB BHARTIARTL 102777.64481999997
CHOLAFIN INDUSINDBK 106786.83980999996
MAHABANK UCOBANK 103508.17135
CCL COROMANDEL 108815.06741999999
ACC SIEMENS 103899.76969999999
HDFCBANK KOTAKBANK 104449.74631999999
ASTRAZEN BIOCON 115298.02748999996
GSFC JKPAPER 110113.15843999996
ABB BHARTIARTL 102777.64481999997
CHOLAFIN INDUSINDBK 106786.83980999996
MAHABANK UCOBANK 103508.17135
