Asset 1,Asset 2
ATUL,NLCINDIA
BLUESTARCO,NESCO
AARTIIND,ASTRAL
CCL,PGHL
APOLLOHOSP,PIIND
GRINDWELL,SKFINDIA
BALMLAWRIE,GPPL
CARBORUNIV,GAIL
AKZOINDIA,APLLTD
CONCOR,TORNTPOWER
AEGISCHEM,MOIL
CESC,MOIL
KSCL,LINDEINDIA
KPRMILL,MHRIL
AIAENG,HCLTECH
AIAENG,INFY
AIAENG,MPHASIS
AIAENG,SWANENERGY
AIAENG,VTL
HCLTECH,INFY
HCLTECH,VTL
SWANENERGY,VTL
NESTLEIND,PFIZER
MRPL,TATAPOWER
ADANIPORTS,IOLCP
BALRAMCHIN,BSOFT
AXISBANK,NATIONALUM
ENGINERSIN,TATACOFFEE
POLYPLEX,PRESTIGE
POLYPLEX,TATACOFFEE
JUSTDIAL,SCI
JUSTDIAL,TRIDENT
BBTC,INDUSINDBK
JTEKTINDIA,JAMNAAUTO
GMRINFRA,IDFC
BANKINDIA,INDIACEM
FEDERALBNK,UNIONBANK
INDIACEM,UNIONBANK
NBCC,RCF
CANBK,CENTURYTEX
M&MFIN,NOCIL
M&MFIN,PHILIPCARB
