,Symbol,Sector
0,3MINDIA,Industrials
1,ABB,Industrials
2,ACC,Basic Materials
3,AIAENG,Industrials
4,APLAPOLLO,Basic Materials
5,AARTIDRUGS,Healthcare
6,AARTIIND,Basic Materials
7,ABBOTINDIA,Healthcare
8,ADANIENT,Energy
9,ADANIPORTS,Industrials
10,ADANITRANS,Utilities
11,ABFRL,Consumer Cyclical
12,AEGISCHEM,Energy
13,AJANTPHARM,Healthcare
14,AKZOINDIA,Basic Materials
15,ALEMBICLTD,Healthcare
16,APLLTD,Healthcare
17,ALKEM,Healthcare
18,ALKYLAMINE,Basic Materials
19,ALOKINDS,Consumer Cyclical
20,AMARAJABAT,Consumer Cyclical
21,AMBUJACEM,Basic Materials
22,APOLLOHOSP,Healthcare
23,APOLLOTYRE,Consumer Cyclical
24,ASAHIINDIA,Consumer Cyclical
25,ASHOKLEY,Consumer Cyclical
26,ASHOKA,Industrials
27,ASIANPAINT,Basic Materials
28,ASTRAZEN,Healthcare
29,ASTRAL,Industrials
30,ATUL,Basic Materials
31,AUROPHARMA,Healthcare
32,AVANTIFEED,Consumer Defensive
33,AXISBANK,Financial Services
34,BASF,Basic Materials
35,BEML,Industrials
36,BAJAJ-AUTO,Consumer Cyclical
37,BAJAJCON,Consumer Defensive
38,BAJAJELEC,Utilities
39,BAJFINANCE,Financial Services
40,BAJAJFINSV,Financial Services
41,BAJAJHLDNG,Financial Services
42,BALAMINES,Basic Materials
43,BALKRISIND,Consumer Cyclical
44,BALMLAWRIE,Industrials
45,BALRAMCHIN,Consumer Defensive
46,BANKBARODA,Financial Services
47,BANKINDIA,Financial Services
48,MAHABANK,Financial Services
49,BATAINDIA,Consumer Cyclical
50,BAYERCROP,Basic Materials
51,BERGEPAINT,Basic Materials
52,BEL,Industrials
53,BHARATFORG,Consumer Cyclical
54,BHEL,Industrials
55,BPCL,Energy
56,BHARATRAS,Basic Materials
57,BHARTIARTL,Communication Services
58,BIOCON,Healthcare
59,BIRLACORPN,Basic Materials
60,BSOFT,Technology
61,BLISSGVS,Healthcare
62,BLUEDART,Industrials
63,BLUESTARCO,Industrials
64,BBTC,Industrials
65,BOSCHLTD,Consumer Cyclical
66,BRIGADE,Real Estate
67,BRITANNIA,Consumer Defensive
68,CCL,Consumer Defensive
69,CESC,Utilities
70,CRISIL,Financial Services
71,CADILAHC,Healthcare
72,CANFINHOME,Financial Services
73,CANBK,Financial Services
74,CAPLIPOINT,Healthcare
75,CGCL,Financial Services
76,CARBORUNIV,Industrials
77,CASTROLIND,Basic Materials
78,CEATLTD,Consumer Cyclical
79,CENTRALBK,Financial Services
80,CENTURYPLY,Consumer Cyclical
81,CENTURYTEX,Basic Materials
82,CERA,Industrials
83,CHAMBLFERT,Basic Materials
84,CHOLAHLDNG,Financial Services
85,CHOLAFIN,Financial Services
86,CIPLA,Healthcare
87,CUB,Financial Services
88,COALINDIA,Energy
89,COLPAL,Consumer Defensive
90,CONCOR,Industrials
91,COROMANDEL,Basic Materials
92,CUMMINSIND,Industrials
93,CYIENT,Industrials
94,DCBBANK,Financial Services
95,DCMSHRIRAM,Basic Materials
96,DLF,Real Estate
97,DABUR,Consumer Defensive
98,DEEPAKNTR,Basic Materials
99,DELTACORP,Consumer Cyclical
100,DHANI,Financial Services
101,DHANUKA,Basic Materials
102,DISHTV,Communication Services
103,DCAL,Healthcare
104,DIVISLAB,Healthcare
105,LALPATHLAB,Healthcare
106,DRREDDY,Healthcare
107,EIDPARRY,Consumer Defensive
108,EIHOTEL,Consumer Cyclical
109,EDELWEISS,Financial Services
110,EICHERMOT,Consumer Cyclical
111,ELGIEQUIP,Industrials
112,EMAMILTD,Consumer Defensive
113,ENGINERSIN,Industrials
114,ESCORTS,Industrials
115,EXIDEIND,Consumer Cyclical
116,FDC,Healthcare
117,FEDERALBNK,Financial Services
118,FINCABLES,Industrials
119,FINPIPE,Industrials
120,FSL,Technology
121,FORTIS,Healthcare
122,FCONSUMER,Consumer Defensive
123,GAIL,Utilities
124,GEPIL,Industrials
125,GHCL,Basic Materials
126,GMRINFRA,Industrials
127,GARFIBRES,Consumer Cyclical
