,Symbol,Sector
201,CUB,Financial Services
202,CHOLAHLDNG,Financial Services
203,BAJAJELEC,Utilities
204,SKFINDIA,Industrials
205,TANLA,Technology
206,HINDCOPPER,Basic Materials
207,UCOBANK,Financial Services
208,VGUARD,Industrials
209,ITI,Technology
210,IIFL,Financial Services
211,KEC,Industrials
212,GRINDWELL,Industrials
213,AEGISCHEM,Energy
214,AKZOINDIA,Basic Materials
215,PGHL,Healthcare
216,SJVN,Utilities
217,NATIONALUM,Basic Materials
218,TTKPRESTIG,Consumer Cyclical
219,GRAPHITE,Industrials
220,INTELLECT,Technology
221,TIMKEN,Industrials
222,JBCHEPHARM,Healthcare
223,CARBORUNIV,Industrials
224,CENTRALBK,Financial Services
225,CHAMBLFERT,Basic Materials
226,MOTILALOFS,Financial Services
227,IBULHSGFIN,Financial Services
228,SHRIRAMCIT,Financial Services
229,BLUESTARCO,Industrials
230,BASF,Basic Materials
231,CGPOWER,Industrials
232,RATNAMANI,Basic Materials
233,SYMPHONY,Consumer Cyclical
234,NBCC,Industrials
235,CANFINHOME,Financial Services
236,WELSPUNIND,Consumer Cyclical
237,JMFINANCIL,Financial Services
238,FSL,Technology
239,FINPIPE,Industrials
240,POLYMED,Healthcare
241,CESC,Utilities
242,DCMSHRIRAM,Basic Materials
243,BBTC,Industrials
244,STAR,Healthcare
245,IDFC,Financial Services
246,ASAHIINDIA,Consumer Cyclical
247,ASTRAZEN,Healthcare
248,GRANULES,Healthcare
249,RADICO,Consumer Defensive
250,VTL,Consumer Cyclical
251,PVR,Communication Services
252,REDINGTON,Technology
253,KPRMILL,Consumer Cyclical
254,BIRLACORPN,Basic Materials
255,LAXMIMACH,Industrials
256,JCHAC,Technology
257,TRIDENT,Consumer Cyclical
258,CYIENT,Industrials
259,CENTURYPLY,Consumer Cyclical
260,BSOFT,Technology
261,NLCINDIA,Utilities
262,MRPL,Energy
263,PNCINFRA,Industrials
264,PRSMJOHNSN,Basic Materials
265,AARTIDRUGS,Healthcare
266,MMTC,Industrials
267,CEATLTD,Consumer Cyclical
268,SUNCLAYLTD,Consumer Cyclical
269,ZENSARTECH,Technology
270,MAHINDCIE,Consumer Cyclical
271,ELGIEQUIP,Industrials
272,KNRCON,Industrials
273,VAKRANGEE,Technology
274,EDELWEISS,Financial Services
275,BRIGADE,Real Estate
276,FINCABLES,Industrials
277,EIHOTEL,Consumer Cyclical
278,TATASTLBSL,Basic Materials
279,BALAMINES,Basic Materials
280,HEG,Industrials
281,AVANTIFEED,Consumer Defensive
282,EIDPARRY,Consumer Defensive
283,KALPATPOWR,Industrials
284,VMART,Consumer Cyclical
285,SONATSOFTW,Technology
286,JUSTDIAL,Communication Services
287,HEIDELBERG,Basic Materials
288,GARFIBRES,Consumer Cyclical
289,TATAINVEST,Financial Services
290,VSTIND,Consumer Defensive
291,BEML,Industrials
292,CENTURYTEX,Basic Materials
293,INDIACEM,Basic Materials
294,SCI,Industrials
295,JKLAKSHMI,Basic Materials
296,CERA,Industrials
297,JYOTHYLAB,Consumer Defensive
298,VIPIND,Consumer Cyclical
299,TV18BRDCST,Communication Services
300,RALLIS,Basic Materials
301,FDC,Healthcare
302,NCC,Industrials
303,RAIN,Basic Materials
304,GODFRYPHLP,Consumer Defensive
305,KEI,Industrials
306,GPPL,Industrials
307,GNFC,Basic Materials
308,GESHIP,Industrials
309,WOCKPHARMA,Healthcare
310,HATHWAY,Communication Services
311,BALRAMCHIN,Consumer Defensive
312,IFBIND,Technology
313,RESPONIND,Basic Materials
314,KARURVYSYA,Financial Services
315,LUXIND,Consumer Cyclical
316,ENGINERSIN,Industrials
317,DELTACORP,Consumer Cyclical
318,RCF,Basic Materials
319,JSWHL,Industrials
320,SUZLON,Industrials
321,KRBL,Consumer Defensive
322,SOBHA,Real Estate
323,SUNTECK,Real Estate
324,MAHSCOOTER,Consumer Cyclical
325,BHARATRAS,Basic Materials
326,SUPPETRO,Basic Materials
327,AGCNET,Technology
328,SUPRAJIT,Consumer Cyclical
329,ECLERX,Technology
330,BAJAJCON,Consumer Defensive
331,IRB,Industrials
332,NETWORK18,Communication Services
333,FACT,Basic Materials
334,SPARC,Healthcare
335,NESCO,Industrials
336,IBREALEST,Real Estate
337,GULFOILLUB,Basic Materials
338,WELCORP,Basic Materials
339,HGS,Industrials
340,SUDARSCHEM,Basic Materials
341,MOIL,Basic Materials
342,PRAJIND,Industrials
343,TATASTLLP,Basic Materials
344,TECHNOE,Industrials
345,PAISALO,Financial Services
346,SWANENERGY,Consumer Cyclical
347,JSL,Basic Materials
348,TRITURBINE,Industrials
349,PHILIPCARB,Basic Materials
350,JINDALPOLY,Basic Materials
351,GSFC,Basic Materials
352,KSCL,Consumer Defensive
353,IOLCP,Healthcare
354,HFCL,Technology
355,DHANUKA,Basic Materials
356,INOXLEISUR,Communication Services
357,DCBBANK,Financial Services
358,ICRA,Financial Services
359,KSB,Industrials
360,CCL,Consumer Defensive
361,MASTEK,Technology
362,CAPLIPOINT,Healthcare
363,ALLCARGO,Industrials
364,GET&D,Industrials
365,MAGMA,Financial Services
366,MEGH,Basic Materials
367,GREAVESCOT,Industrials
368,GAEL,Consumer Defensive
369,MAHLIFE,Real Estate
370,NILKAMAL,Consumer Cyclical
371,NOCIL,Basic Materials
372,ASHOKA,Industrials
373,MHRIL,Consumer Cyclical
374,SAREGAMA,Communication Services
375,TTML,Communication Services
376,ESABINDIA,Industrials
377,UFLEX,Consumer Cyclical
378,SHILPAMED,Healthcare
379,ORIENTREF,Industrials
380,POLYPLEX,Basic Materials
381,JAMNAAUTO,Consumer Cyclical
382,JKTYRE,Consumer Cyclical
383,NEULANDLAB,Healthcare
384,NFL,Basic Materials
385,INDOCO,Healthcare
386,ALEMBICLTD,Healthcare
387,ICIL,Consumer Cyclical
388,SHARDACROP,Basic Materials
389,TATAMETALI,Basic Materials
390,JKPAPER,Basic Materials
391,GPIL,Basic Materials
392,GUJALKALI,Basic Materials
393,LAOPALA,Consumer Cyclical
394,RUPA,Consumer Cyclical
395,RAYMOND,Consumer Cyclical
396,MINDACORP,Consumer Cyclical
397,JINDALSAW,Basic Materials
398,KIRLOSENG,Industrials
399,SHOPERSTOP,Consumer Cyclical
400,DEN,Communication Services
