,NAME,OPEN,HIGH,LOW,CLOSE,DATE,TYPE,CONSECUTIVE
0,AARTIIND,1244.0,1243.0,1242.1,1260.5,2021-02-25,LH,2
1,ABBOTINDIA,15800.0,14688.45,15698.0,15746.0,2021-02-25,LH,4
2,ABCAPITAL,85.0,127.35,84.8,89.1,2021-02-25,HH,4
3,ABFRL,166.65,185.0,165.9,166.5,2021-02-25,HH,3
4,ACC,1617.2,1810.0,1615.65,1626.1,2021-02-25,HH,2
5,ADANIENT,477.0,862.4,477.0,491.15,2021-02-25,HH,1
6,ADANIGREEN,1079.9,1192.0,1053.05,1065.95,2021-02-25,LH,1
7,ADANIPORTS,485.0,711.35,482.55,503.85,2021-02-25,HH,1
8,ADANITRANS,438.9,758.0,431.0,434.25,2021-02-25,LH,6
9,AJANTPHARM,1643.1,1760.0,1635.0,1651.05,2021-02-25,LH,1
10,ALKEM,2930.0,2788.5,2914.85,2950.75,2021-02-25,HH,1
11,AMARAJABAT,928.0,899.65,918.5,925.05,2021-02-25,HH,1
12,AMBUJACEM,249.0,281.6,248.15,250.85,2021-02-25,HH,1
13,APLLTD,1035.0,903.35,1034.0,1042.6,2021-02-25,LH,8
14,APOLLOHOSP,2405.5,3139.95,2395.0,2414.85,2021-02-25,HH,3
15,APOLLOTYRE,178.45,243.75,177.2,179.9,2021-02-25,HH,2
16,ASHOKLEY,95.7,131.7,95.7,99.1,2021-02-25,HH,1
17,ASIANPAINT,2759.0,2386.25,2750.0,2775.55,2021-02-25,LH,1
18,AUBANK,855.0,1207.0,847.25,875.35,2021-02-25,HH,2
19,AUROPHARMA,923.7,875.2,914.05,927.75,2021-02-25,HH,2
20,AXISBANK,620.25,783.5,617.55,623.8,2021-02-25,HH,2
21,BAJAJ-AUTO,3446.0,3980.0,3446.0,3481.25,2021-02-25,HH,1
22,BAJAJFINSV,8930.0,10377.95,8840.0,8870.45,2021-02-25,HH,2
23,BAJAJHLDNG,3091.7,3757.15,3071.2,3119.15,2021-02-25,HH,1
24,BAJFINANCE,5310.2,5619.95,5250.0,5280.15,2021-02-25,HH,2
25,BALKRISIND,1646.0,1609.95,1630.0,1642.1,2021-02-25,LH,1
26,BANDHANBNK,402.0,346.75,396.0,400.2,2021-02-25,HH,2
27,BANKBARODA,61.8,90.65,61.6,64.5,2021-02-25,HH,1
28,BANKINDIA,49.0,89.7,48.8,50.15,2021-02-25,LH,1
29,BATAINDIA,1587.8,1494.6,1570.25,1573.9,2021-02-25,HH,1
30,BBTC,1296.0,1199.95,1296.0,1304.75,2021-02-25,LH,1
31,BEL,121.0,143.0,120.6,126.4,2021-02-25,HH,2
32,BERGEPAINT,759.5,731.1,755.5,767.05,2021-02-25,HH,1
33,BHARATFORG,527.65,623.7,524.25,538.1,2021-02-25,HH,1
34,BHARTIARTL,512.25,584.45,508.2,515.15,2021-02-25,HH,1
35,BHEL,36.15,48.0,36.0,38.7,2021-02-25,HH,3
36,BIOCON,466.0,400.7,463.35,465.75,2021-02-25,HH,1
37,BOSCHLTD,12813.0,15287.0,12780.0,12986.05,2021-02-25,LH,1
38,BPCL,381.1,467.8,380.4,381.95,2021-02-25,HH,3
39,BRITANNIA,3575.0,3425.7,3563.05,3567.8,2021-02-25,HH,2
40,CADILAHC,477.75,444.4,476.75,478.4,2021-02-25,HH,1
41,CANBK,128.9,165.9,128.0,133.3,2021-02-25,HH,2
42,CASTROLIND,123.3,128.5,121.8,122.0,2021-02-25,HH,1
43,CESC,617.0,617.95,615.25,620.65,2021-02-25,HH,1
44,CHOLAFIN,387.65,538.0,387.65,411.35,2021-02-25,HH,1
