Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,3111.000000,3120.000000,3083.000000,3105.399902,2595.359131,112464
2015-01-02,3115.000000,3119.000000,3090.550049,3098.100098,2589.258301,187675
2015-01-05,3104.000000,3146.899902,3098.100098,3119.399902,2607.060303,160068
2015-01-06,3098.000000,3098.000000,3001.000000,3014.399902,2519.305176,457760
2015-01-07,3014.000000,3022.000000,2966.699951,2974.050049,2485.582764,378882
2015-01-08,2978.000000,2999.699951,2951.750000,2984.000000,2493.897949,513335
2015-01-09,2998.850098,3011.000000,2966.250000,2992.250000,2500.792969,365342
2015-01-12,2988.000000,2988.000000,2924.000000,2937.149902,2454.742920,396343
2015-01-13,2951.000000,2962.550049,2887.550049,2893.199951,2418.011230,387266
2015-01-14,2909.000000,2924.699951,2883.000000,2903.050049,2426.243896,503348
2015-01-15,2940.000000,2970.000000,2928.649902,2950.550049,2465.942383,548030
2015-01-16,2950.399902,2970.000000,2891.300049,2897.699951,2421.772705,441344
2015-01-19,2900.050049,2920.000000,2836.000000,2841.300049,2374.635986,494968
2015-01-20,2860.000000,2868.000000,2797.199951,2828.649902,2364.063477,620515
2015-01-21,2833.899902,2894.000000,2833.899902,2875.149902,2402.926270,502824
2015-01-22,2899.949951,2909.000000,2811.600098,2838.850098,2372.588379,616241
2015-01-23,2870.000000,2895.600098,2851.000000,2862.800049,2392.604980,616170
2015-01-27,2860.000000,2869.649902,2823.000000,2857.750000,2388.384277,563105
2015-01-28,2860.000000,2895.500000,2840.550049,2865.100098,2394.527100,415685
2015-01-29,2860.000000,2898.750000,2857.000000,2876.500000,2404.054932,544345
2015-01-30,2887.550049,2936.850098,2857.399902,2865.500000,2394.861328,447643
2015-02-02,2877.949951,2888.800049,2810.000000,2833.199951,2367.866455,298183
2015-02-03,2857.500000,2860.000000,2791.000000,2812.399902,2350.482422,377426
2015-02-04,2770.000000,2864.000000,2750.000000,2829.500000,2364.774170,902976
2015-02-05,2811.000000,2857.800049,2811.000000,2847.300049,2379.650635,475877
2015-02-06,2847.199951,2852.949951,2771.250000,2776.300049,2320.311523,544388
2015-02-09,2750.000000,2764.949951,2705.000000,2728.800049,2280.613037,425252
2015-02-10,2715.000000,2752.000000,2690.699951,2720.149902,2273.384033,531510
2015-02-11,2721.600098,2765.300049,2701.550049,2753.350098,2301.130859,427723
2015-02-12,2782.350098,2819.000000,2775.600098,2807.550049,2346.428711,471851
2015-02-13,2822.399902,2868.199951,2815.000000,2852.899902,2384.330566,278795
2015-02-16,2855.000000,2861.649902,2793.300049,2805.000000,2344.297852,278310
2015-02-18,2705.000000,2728.000000,2645.699951,2663.750000,2226.246826,10612619
2015-02-19,2677.000000,2700.000000,2649.100098,2664.949951,2227.250000,4318965
2015-02-20,2670.000000,2683.399902,2647.550049,2658.899902,2222.193115,516004
2015-02-23,2658.899902,2662.850098,2629.250000,2647.899902,2213.000244,569905
2015-02-24,2652.949951,2670.000000,2640.149902,2651.399902,2215.925293,433596
2015-02-25,2665.000000,2670.000000,2615.000000,2624.550049,2193.485352,587341
2015-02-26,2630.000000,2635.050049,2600.000000,2622.250000,2191.563232,1172341
2015-02-27,2643.899902,2678.750000,2637.350098,2672.600098,2233.643555,1913808
2015-02-28,null,null,null,null,null,null
2015-03-02,2702.000000,2705.500000,2616.250000,2624.550049,2193.485352,817814
2015-03-03,2618.050049,2643.750000,2598.100098,2636.500000,2203.473145,438209
2015-03-04,2675.000000,2678.000000,2610.000000,2622.250000,2191.563232,456591
2015-03-05,2631.000000,2636.750000,2584.600098,2609.449951,2180.865479,428419
2015-03-09,2598.050049,2607.550049,2572.250000,2599.250000,2172.340820,801602
2015-03-10,2590.100098,2625.399902,2590.100098,2617.699951,2187.760498,605928
2015-03-11,2610.600098,2628.000000,2592.000000,2612.699951,2183.582031,577880
2015-03-12,2624.800049,2647.399902,2616.199951,2642.350098,2208.362061,589703
2015-03-13,2673.949951,2673.949951,2605.100098,2610.000000,2181.324951,293111
2015-03-16,2615.050049,2643.750000,2600.000000,2631.250000,2199.085205,212151
2015-03-17,2645.000000,2655.000000,2631.050049,2651.449951,2215.967773,503626
2015-03-18,2652.000000,2688.899902,2640.100098,2675.350098,2235.942139,547515
2015-03-19,2696.449951,2697.600098,2654.050049,2662.800049,2225.453369,382445
2015-03-20,2650.000000,2660.000000,2603.199951,2609.949951,2181.283691,307523
2015-03-23,2619.949951,2646.000000,2602.800049,2637.100098,2203.974365,202857
2015-03-24,2645.800049,2649.000000,2599.100098,2605.100098,2177.230469,514291
2015-03-25,2626.949951,2626.949951,2591.000000,2595.750000,2169.415527,401570
2015-03-26,2590.050049,2617.850098,2575.949951,2603.750000,2176.102051,715178
2015-03-27,2592.000000,2604.000000,2552.000000,2576.149902,2153.035156,584370
2015-03-30,2580.100098,2666.850098,2561.399902,2644.300049,2209.991699,281366
2015-03-31,2649.000000,2658.750000,2620.699951,2639.800049,2206.231445,493733
2015-04-01,2639.949951,2669.949951,2628.000000,2655.850098,2219.644531,375681
2015-04-06,2673.899902,2678.000000,2635.000000,2672.699951,2233.727539,365024
2015-04-07,2672.800049,2672.800049,2621.600098,2632.350098,2200.004150,359998
2015-04-08,2637.000000,2642.199951,2601.500000,2605.800049,2177.814697,1053590
2015-04-09,2620.000000,2633.949951,2602.300049,2611.600098,2182.663086,1041470
2015-04-10,2614.949951,2624.399902,2575.500000,2583.850098,2159.469971,654704
2015-04-13,2599.000000,2599.000000,2565.649902,2580.699951,2156.837402,420050
2015-04-15,2581.199951,2587.000000,2509.800049,2524.550049,2109.909668,726309
2015-04-16,2516.199951,2520.000000,2413.000000,2430.100098,2030.972412,1443068
2015-04-17,2429.800049,2440.000000,2382.750000,2410.500000,2014.591919,1198446
2015-04-20,2411.000000,2427.350098,2300.899902,2316.350098,1935.905151,1710612
2015-04-21,2316.000000,2346.750000,2293.500000,2329.100098,1946.561157,901340
2015-04-22,2340.000000,2421.000000,2340.000000,2409.399902,2013.672729,840590
2015-04-23,2412.699951,2427.100098,2359.000000,2390.550049,1997.918213,1012419
2015-04-24,2380.449951,2397.899902,2325.500000,2352.800049,1966.368896,1960963
2015-04-27,2360.000000,2363.050049,2295.600098,2317.000000,1936.448486,2307119
2015-04-28,2309.000000,2369.949951,2300.000000,2355.550049,1968.666992,711394
2015-04-29,2356.300049,2390.000000,2340.100098,2372.100098,1982.499023,295438
2015-04-30,2360.100098,2363.000000,2325.000000,2328.899902,1946.393921,1052575
2015-05-04,2340.000000,2399.800049,2330.000000,2389.550049,1997.082886,1647793
2015-05-05,2389.550049,2390.500000,2340.850098,2357.449951,1970.254761,775073
2015-05-06,2353.000000,2355.850098,2308.500000,2326.399902,1944.304688,1488751
2015-05-07,2330.100098,2372.399902,2305.399902,2354.550049,1967.831421,1397408
2015-05-08,2309.000000,2314.800049,2251.300049,2300.649902,1922.783569,1079192
2015-05-11,2310.000000,2404.649902,2310.000000,2384.250000,1992.653198,887873
2015-05-12,2398.000000,2497.100098,2385.149902,2466.399902,2061.310059,2015463
2015-05-13,2486.800049,2530.000000,2480.399902,2503.750000,2092.526123,885648
2015-05-14,2500.000000,2549.000000,2482.149902,2537.500000,2120.733154,512485
2015-05-15,2537.949951,2555.500000,2518.500000,2529.699951,2114.214111,309635
2015-05-18,2518.000000,2548.000000,2507.000000,2520.550049,2106.566895,812046
2015-05-19,2520.000000,2609.449951,2520.000000,2580.750000,2156.879883,923546
2015-05-20,2590.000000,2594.750000,2576.000000,2579.399902,2155.751221,688445
2015-05-21,2580.000000,2615.000000,2543.699951,2602.399902,2174.973145,531936
2015-05-22,2602.100098,2610.000000,2578.100098,2603.449951,2175.850830,138833
2015-05-25,2603.899902,2607.899902,2580.100098,2588.100098,2163.022461,178329
2015-05-26,2590.899902,2638.500000,2589.350098,2613.850098,2184.542969,428351
2015-05-27,2606.500000,2663.750000,2594.600098,2606.300049,2178.233154,396976
2015-05-28,2610.399902,2668.500000,2592.100098,2643.399902,2209.239746,1494418
2015-05-29,2640.000000,2705.000000,2624.000000,2696.850098,2253.910889,701724
2015-06-01,2678.000000,2737.899902,2643.250000,2710.000000,2290.378906,510174
2015-06-02,2692.250000,2692.250000,2601.000000,2608.600098,2204.679688,822000
2015-06-03,2600.000000,2629.899902,2567.300049,2576.949951,2177.931396,555765
