SYMBOL,DATE,NAME,HH,HL,LH,LL,HHL,LHL,CLOSE
,2021-02-16,AARTIIND,0,0,2,1,0,1,1227.9
,2021-02-16,ABBOTINDIA,3,4,0,0,3,0,14700.7
,2021-02-16,ABCAPITAL,2,2,0,0,2,0,97.75
,2021-02-16,ABFRL,0,0,1,1,0,1,164.85
,2021-02-16,ACC,1,2,0,0,1,0,1819.3
,2021-02-16,ADANIENT,7,8,0,0,7,0,780.2
,2021-02-16,ADANIGREEN,1,1,0,0,1,0,1078.3
,2021-02-16,ADANIPORTS,4,4,0,0,4,0,636.55
,2021-02-16,ADANITRANS,4,4,0,0,4,0,763.55
,2021-02-16,AJANTPHARM,0,1,2,0,0,0,1803.1
,2021-02-16,ALKEM,2,1,0,0,1,0,2876.2
,2021-02-16,AMARAJABAT,0,0,3,3,0,3,907.9
,2021-02-16,AMBUJACEM,3,5,0,0,3,0,284.05
,2021-02-16,APLLTD,0,0,1,1,0,1,960.9
,2021-02-16,APOLLOHOSP,3,2,0,0,2,0,3202.75
,2021-02-16,APOLLOTYRE,0,0,1,1,0,1,236.25
,2021-02-16,ASHOKLEY,1,0,0,1,0,0,128.75
,2021-02-16,ASIANPAINT,0,0,4,3,0,3,2450.25
,2021-02-16,AUBANK,1,2,0,0,1,0,1092.75
,2021-02-16,AUROPHARMA,0,0,4,1,0,1,935.85
,2021-02-16,AXISBANK,2,4,0,0,0,0,775.05
,2021-02-16,BAJAJ-AUTO,0,1,8,0,0,0,4132.85
,2021-02-16,BAJAJFINSV,0,11,1,0,0,0,10460.6
,2021-02-16,BAJAJHLDNG,4,3,0,0,3,0,3618.95
,2021-02-16,BAJFINANCE,4,5,0,0,4,0,5760.25
,2021-02-16,BALKRISIND,0,0,2,2,0,2,1621.55
,2021-02-16,BANDHANBNK,5,0,0,1,0,0,350.15
,2021-02-16,BANKBARODA,2,2,0,0,0,0,79.7
,2021-02-16,BANKINDIA,1,1,0,0,1,0,70.6
,2021-02-16,BATAINDIA,1,0,0,1,0,0,1524.65
,2021-02-16,BBTC,0,0,3,3,0,3,1200.65
,2021-02-16,BEL,2,0,0,1,0,0,133.15
,2021-02-16,BERGEPAINT,0,0,1,1,0,1,759.55
,2021-02-16,BHARATFORG,0,1,3,0,0,0,630.75
,2021-02-16,BHARTIARTL,0,2,1,0,0,0,593.95
,2021-02-16,BHEL,2,0,0,1,0,0,39.9
,2021-02-16,BIOCON,1,4,0,0,1,0,417.4
,2021-02-16,BOSCHLTD,0,0,3,1,0,1,15579.6
,2021-02-16,BPCL,0,0,2,1,0,1,417.95
,2021-02-16,BRITANNIA,0,0,2,3,0,2,3389.45
,2021-02-16,CADILAHC,1,0,0,2,0,0,468.9
,2021-02-16,CANBK,3,2,0,0,2,0,162.6
,2021-02-16,CASTROLIND,0,0,5,3,0,3,126.65
,2021-02-16,CESC,2,0,0,1,0,0,618.1
,2021-02-16,CHOLAFIN,0,4,1,0,0,0,528.05
,2021-02-16,CIPLA,0,0,3,3,0,3,848.35
,2021-02-16,COALINDIA,1,1,0,0,1,0,133.75
,2021-02-16,COFORGE,1,0,0,2,0,0,2622.05
,2021-02-16,COLPAL,0,0,1,1,0,1,1581.05
,2021-02-16,CONCOR,0,0,2,1,0,1,537.15
,2021-02-16,COROMANDEL,2,2,0,0,2,0,782.8
,2021-02-16,CROMPTON,0,0,1,1,0,1,397.7
,2021-02-16,CUB,2,2,0,0,2,0,165.75
,2021-02-16,CUMMINSIND,1,1,0,0,1,0,766.35
,2021-02-16,DABUR,0,0,2,2,0,2,522.6
,2021-02-16,DALBHARAT,1,0,0,1,0,0,1444.8
,2021-02-16,DEEPAKNTR,5,7,0,0,5,0,1273.8
,2021-02-16,DHANI,0,1,1,0,0,0,364.95
,2021-02-16,DIVISLAB,0,0,3,1,0,1,3686.5
