SYMBOL,DATE,NAME,HH,HL,LH,LL,HHL,LHL,CLOSE
,2021-01-11,AARTIIND,1,1,0,0,1,0,1298.45
,2021-01-11,ABBOTINDIA,0,0,5,1,0,1,15483.15
,2021-01-11,ABCAPITAL,0,0,1,1,0,1,90.75
,2021-01-11,ABFRL,0,0,1,2,0,1,168.75
,2021-01-11,ACC,6,6,0,0,6,0,1787.05
,2021-01-11,ADANIENT,0,0,1,1,0,1,519.15
,2021-01-11,ADANIGREEN,0,0,2,3,0,2,968.3
,2021-01-11,ADANIPORTS,0,0,1,1,0,1,508.35
,2021-01-11,ADANITRANS,1,0,0,1,0,0,448.3
,2021-01-11,AJANTPHARM,0,6,1,0,0,0,1810.45
,2021-01-11,ALKEM,3,4,0,0,3,0,3094.35
,2021-01-11,AMARAJABAT,6,0,0,1,0,0,994.4
,2021-01-11,AMBUJACEM,6,6,0,0,6,0,270.35
,2021-01-11,APLLTD,0,3,1,0,0,0,1091.8
,2021-01-11,APOLLOHOSP,5,4,0,0,4,0,2550.55
,2021-01-11,APOLLOTYRE,0,0,1,1,0,1,193.1
,2021-01-11,ASHOKLEY,4,6,0,0,4,0,116.95
,2021-01-11,ASIANPAINT,5,4,0,0,4,0,2849.3
,2021-01-11,AUBANK,0,0,1,1,0,1,899.45
,2021-01-11,AUROPHARMA,0,0,3,2,0,0,965.2
,2021-01-11,AXISBANK,0,0,1,1,0,1,666.95
,2021-01-11,BAJAJ-AUTO,2,2,0,0,2,0,3617.35
,2021-01-11,BAJAJFINSV,0,3,1,0,0,0,8986.1
,2021-01-11,BAJAJHLDNG,2,3,0,0,0,0,3140.35
,2021-01-11,BAJFINANCE,0,0,1,1,0,1,4984.25
,2021-01-11,BALKRISIND,6,5,0,0,5,0,1723.3
,2021-01-11,BANDHANBNK,4,0,0,1,0,0,408.4
,2021-01-11,BANKBARODA,0,0,1,2,0,1,64.25
,2021-01-11,BANKINDIA,0,0,3,2,0,2,49.85
,2021-01-11,BATAINDIA,1,0,0,2,0,0,1621.6
,2021-01-11,BBTC,0,1,3,0,0,0,1288.65
,2021-01-11,BEL,1,0,0,1,0,0,134.6
,2021-01-11,BERGEPAINT,3,6,0,0,3,0,810.8
,2021-01-11,BHARATFORG,6,6,0,0,6,0,610.95
,2021-01-11,BHARTIARTL,1,4,0,0,1,0,547.15
,2021-01-11,BHEL,0,0,1,2,0,1,39.0
,2021-01-11,BIOCON,2,0,0,1,0,0,471.25
,2021-01-11,BOSCHLTD,0,0,1,1,0,1,13919.65
,2021-01-11,BPCL,0,3,1,0,0,0,401.75
,2021-01-11,BRITANNIA,2,3,0,0,2,0,3612.85
,2021-01-11,CADILAHC,2,0,0,1,0,0,493.7
,2021-01-11,CANBK,0,0,3,2,0,2,128.9
,2021-01-11,CASTROLIND,0,0,1,1,0,1,127.55
,2021-01-11,CESC,1,4,0,0,1,0,624.7
,2021-01-11,CHOLAFIN,0,0,3,3,0,3,426.8
,2021-01-11,CIPLA,2,3,0,0,2,0,856.85
,2021-01-11,COALINDIA,4,3,0,0,3,0,141.7
,2021-01-11,COFORGE,1,2,0,0,1,0,2817.05
,2021-01-11,COLPAL,5,5,0,0,2,0,1639.95
,2021-01-11,CONCOR,0,0,1,1,0,1,439.55
,2021-01-11,COROMANDEL,1,0,0,1,0,0,814.35
,2021-01-11,CROMPTON,4,0,0,1,0,0,399.85
,2021-01-11,CUB,0,0,1,2,0,1,182.8
,2021-01-11,CUMMINSIND,0,0,1,1,0,1,624.05
,2021-01-11,DABUR,2,3,0,0,2,0,546.5
,2021-01-11,DALBHARAT,0,0,1,1,0,1,1185.35
,2021-01-11,DEEPAKNTR,0,0,1,1,0,1,1028.15
,2021-01-11,DHANI,4,3,0,0,3,0,388.5
,2021-01-11,DIVISLAB,1,0,0,1,0,0,3822.4
,2021-01-11,DIXON,0,0,1,1,0,1,14819.15
,2021-01-11,DLF,0,0,1,1,0,1,246.95
,2021-01-11,DMART,1,6,0,0,1,0,2984.85
,2021-01-11,DRREDDY,3,3,0,0,3,0,5416.8
,2021-01-11,EICHERMOT,3,3,0,0,3,0,2777.15
,2021-01-11,EMAMILTD,1,6,0,0,1,0,464.05
,2021-01-11,ENDURANCE,0,0,2,2,0,2,1403.15
,2021-01-11,ESCORTS,6,3,0,0,3,0,1354.95
,2021-01-11,EXIDEIND,0,3,1,0,0,0,198.75
,2021-01-11,FEDERALBNK,0,0,1,1,0,1,74.8
,2021-01-11,FORTIS,2,5,0,0,2,0,174.4
,2021-01-11,GAIL,1,1,0,0,1,0,135.7
,2021-01-11,GLENMARK,1,6,0,0,1,0,523.3
,2021-01-11,GMRINFRA,0,0,1,1,0,1,26.9
,2021-01-11,GODREJAGRO,0,0,2,1,0,1,533.05
,2021-01-11,GODREJCP,1,2,0,0,1,0,769.6
,2021-01-11,GODREJIND,0,0,1,1,0,1,432.8
,2021-01-11,GODREJPROP,1,1,0,0,1,0,1472.85
,2021-01-11,GRASIM,0,6,1,0,0,0,1004.3
,2021-01-11,GSPL,1,1,0,0,1,0,212.25
,2021-01-11,GUJGASLTD,1,0,0,1,0,0,386.35
,2021-01-11,HAL,0,0,2,3,0,2,907.95
,2021-01-11,HAVELLS,5,6,0,0,5,0,1013.8
,2021-01-11,HCLTECH,2,2,0,0,2,0,1055.1
,2021-01-11,HDFC,1,1,0,0,1,0,2751.2
,2021-01-11,HDFCAMC,2,2,0,0,2,0,3182.45
,2021-01-11,HDFCBANK,2,2,0,0,2,0,1451.45
,2021-01-11,HDFCLIFE,1,2,0,0,1,0,725.1
,2021-01-11,HEROMOTOCO,2,2,0,0,2,0,3197.7
,2021-01-11,HINDALCO,0,0,2,1,0,1,264.7
,2021-01-11,HINDPETRO,0,0,1,1,0,1,224.35
,2021-01-11,HINDUNILVR,1,1,0,0,1,0,2429.1
,2021-01-11,HINDZINC,0,0,2,1,0,1,292.25
,2021-01-11,IBULHSGFIN,0,0,1,1,0,1,234.55
,2021-01-11,ICICIBANK,0,0,2,2,0,2,544.7
,2021-01-11,ICICIGI,1,2,0,0,1,0,1609.7
,2021-01-11,ICICIPRULI,2,5,0,0,2,0,526.15
,2021-01-11,IDEA,0,0,2,2,0,2,11.5
,2021-01-11,IDFCFIRSTB,0,0,2,1,0,1,44.45
,2021-01-11,IGL,6,6,0,0,6,0,557.5
,2021-01-11,INDHOTEL,0,0,1,2,0,1,124.5
,2021-01-11,INDIAMART,1,4,0,0,1,0,7978.05
,2021-01-11,INDIGO,0,0,2,2,0,2,1702.65
,2021-01-11,INDUSINDBK,0,0,1,1,0,1,929.1
,2021-01-11,INDUSTOWER,0,0,2,1,0,1,262.25
,2021-01-11,INFY,2,2,0,0,2,0,1376.2
,2021-01-11,IOC,2,0,0,1,0,0,96.0
,2021-01-11,IPCALAB,1,0,0,1,0,0,2109.8
,2021-01-11,IRCTC,0,0,3,2,0,2,1460.7
,2021-01-11,ISEC,0,2,3,0,0,0,453.9
,2021-01-11,ITC,1,1,0,0,1,0,202.5
,2021-01-11,JINDALSTEL,0,0,2,1,0,1,293.05
,2021-01-11,JSWENERGY,0,0,3,2,0,2,66.9
,2021-01-11,JSWSTEEL,0,0,2,2,0,2,399.05
,2021-01-11,JUBLFOOD,5,3,0,0,3,0,2926.45
,2021-01-11,KOTAKBANK,0,0,2,3,0,2,1938.15
,2021-01-11,L&TFH,0,0,3,1,0,1,100.95
,2021-01-11,LALPATHLAB,0,0,1,1,0,1,2375.65
,2021-01-11,LAURUSLABS,0,0,1,3,0,1,350.1
,2021-01-11,LICHSGFIN,0,0,1,1,0,1,430.75
,2021-01-11,LT,4,0,0,1,0,0,1350.0
,2021-01-11,LTI,2,2,0,0,2,0,4245.15
,2021-01-11,LTTS,1,2,0,0,1,0,2522.5
,2021-01-11,LUPIN,2,3,0,0,2,0,1075.5
,2021-01-11,M&M,3,6,0,0,3,0,789.1
,2021-01-11,M&MFIN,0,0,2,2,0,2,185.15
,2021-01-11,MANAPPURAM,0,0,2,1,0,1,172.9
,2021-01-11,MARICO,2,6,0,0,2,0,430.35
,2021-01-11,MARUTI,2,2,0,0,2,0,8232.75
,2021-01-11,MCDOWELL-N,4,4,0,0,4,0,641.9
,2021-01-11,MFSL,0,0,1,1,0,1,715.25
,2021-01-11,MGL,0,0,2,2,0,2,1126.15
,2021-01-11,MINDTREE,2,2,0,0,2,0,1762.4
,2021-01-11,MOTHERSUMI,1,4,0,0,1,0,169.3
,2021-01-11,MPHASIS,1,1,0,0,1,0,1699.15
,2021-01-11,MRF,2,2,0,0,2,0,82507.9
,2021-01-11,MUTHOOTFIN,0,0,2,2,0,1,1270.5
,2021-01-11,NAM-INDIA,0,2,1,0,0,0,309.5
,2021-01-11,NATCOPHARM,0,0,3,1,0,1,932.15
,2021-01-11,NAUKRI,2,5,0,0,2,0,5478.9
,2021-01-11,NAVINFLUOR,0,0,1,2,0,1,2666.85
,2021-01-11,NESTLEIND,1,1,0,0,1,0,18391.45
,2021-01-11,NMDC,4,0,0,2,0,0,128.8
,2021-01-11,NTPC,2,2,0,0,2,0,99.0
,2021-01-11,OBEROIRLTY,0,0,2,1,0,1,585.55
,2021-01-11,OIL,1,6,0,0,1,0,114.8
,2021-01-11,ONGC,2,0,0,1,0,0,102.55
,2021-01-11,PAGEIND,2,4,0,0,2,0,29718.5
,2021-01-11,PEL,0,0,1,1,0,1,1507.85
,2021-01-11,PETRONET,2,6,0,0,0,0,269.85
,2021-01-11,PFC,6,0,0,1,0,0,119.75
,2021-01-11,PFIZER,0,1,1,0,0,0,5148.95
,2021-01-11,PGHH,1,1,0,0,1,0,11256.3
,2021-01-11,PIDILITIND,3,2,0,0,2,0,1833.15
,2021-01-11,PIIND,2,2,0,0,2,0,2332.4
,2021-01-11,PNB,0,0,3,2,0,2,34.9
,2021-01-11,POLYCAB,0,6,1,0,0,0,1228.35
,2021-01-11,POWERGRID,4,4,0,0,4,0,203.55
,2021-01-11,PRESTIGE,6,1,0,0,1,0,290.95
,2021-01-11,RAMCOCEM,3,3,0,0,3,0,862.8
,2021-01-11,RBLBANK,0,0,1,1,0,1,255.95
,2021-01-11,RECLTD,0,0,1,1,0,1,142.05
,2021-01-11,RELIANCE,1,0,0,1,0,0,1897.25
,2021-01-11,SAIL,0,0,1,2,0,1,74.85
,2021-01-11,SANOFI,2,2,0,0,2,0,8290.5
,2021-01-11,SBICARD,0,0,2,1,0,1,964.9
,2021-01-11,SBILIFE,0,6,1,0,0,0,936.25
,2021-01-11,SBIN,0,0,2,2,0,2,282.5
,2021-01-11,SHREECEM,0,4,1,0,0,0,25569.3
,2021-01-11,SIEMENS,5,4,0,0,4,0,1659.2
,2021-01-11,SRF,2,4,0,0,2,0,5921.05
,2021-01-11,SRTRANSFIN,1,0,0,1,0,0,1251.65
,2021-01-11,SUNPHARMA,2,3,0,0,2,0,621.0
,2021-01-11,SUNTV,0,0,1,1,0,1,521.7
,2021-01-11,SYNGENE,0,0,3,6,0,3,600.25
,2021-01-11,TATACHEM,0,0,1,1,0,1,500.3
,2021-01-11,TATACONSUM,2,3,0,0,2,0,629.0
,2021-01-11,TATAELXSI,6,6,0,0,6,0,2117.55
,2021-01-11,TATAMOTORS,6,4,0,0,4,0,220.65
,2021-01-11,TATAPOWER,0,0,1,1,0,1,83.3
,2021-01-11,TATASTEEL,0,0,2,1,0,1,695.65
,2021-01-11,TCS,2,2,0,0,2,0,3176.45
,2021-01-11,TECHM,2,3,0,0,2,0,1077.6
,2021-01-11,TITAN,1,1,0,0,1,0,1563.9
,2021-01-11,TORNTPHARM,2,2,0,0,2,0,2851.45
,2021-01-11,TORNTPOWER,0,0,1,1,0,1,334.55
,2021-01-11,TRENT,4,3,0,0,3,0,693.75
,2021-01-11,TVSMOTOR,3,3,0,0,3,0,521.65
,2021-01-11,UBL,0,0,1,1,0,1,1239.8
,2021-01-11,ULTRACEMCO,4,4,0,0,4,0,5623.7
,2021-01-11,UNIONBANK,0,0,1,2,0,1,31.35
,2021-01-11,UPL,4,4,0,0,4,0,497.45
,2021-01-11,VBL,3,6,0,0,3,0,996.25
,2021-01-11,VEDL,0,0,1,2,0,1,179.15
,2021-01-11,VGUARD,0,0,1,1,0,1,215.9
,2021-01-11,VOLTAS,6,0,0,1,0,0,914.3
,2021-01-11,WHIRLPOOL,1,0,0,1,0,0,2451.05
,2021-01-11,WIPRO,2,6,0,0,2,0,446.8
,2021-01-11,YESBANK,1,1,0,0,1,0,17.95
,2021-01-11,ZEEL,0,4,1,0,0,0,223.65
