SYMBOL,DATE,NAME,HH,HL,LH,LL,HHL,LHL,CLOSE
,2021-01-22,AARTIIND,0,0,2,3,0,2,1143.25
,2021-01-22,ABBOTINDIA,0,0,14,1,0,1,14399.9
,2021-01-22,ABCAPITAL,0,0,5,3,0,3,86.5
,2021-01-22,ABFRL,0,0,1,1,0,0,171.55
,2021-01-22,ACC,0,0,1,3,0,1,1694.85
,2021-01-22,ADANIENT,0,0,1,1,0,1,526.8
,2021-01-22,ADANIGREEN,4,4,0,0,4,0,1047.85
,2021-01-22,ADANIPORTS,0,0,2,1,0,1,535.8
,2021-01-22,ADANITRANS,3,4,0,0,3,0,477.2
,2021-01-22,AJANTPHARM,0,0,3,2,0,2,1721.15
,2021-01-22,ALKEM,0,0,1,2,0,1,3034.9
,2021-01-22,AMARAJABAT,1,1,0,0,1,0,979.15
,2021-01-22,AMBUJACEM,0,1,1,0,0,0,257.7
,2021-01-22,APLLTD,0,0,4,5,0,4,939.95
,2021-01-22,APOLLOHOSP,0,0,1,2,0,1,2597.9
,2021-01-22,APOLLOTYRE,4,4,0,0,4,0,231.9
,2021-01-22,ASHOKLEY,4,1,0,0,1,0,122.25
,2021-01-22,ASIANPAINT,0,0,1,1,0,1,2596.65
,2021-01-22,AUBANK,0,0,2,1,0,1,896.6
,2021-01-22,AUROPHARMA,1,0,0,2,0,0,923.8
,2021-01-22,AXISBANK,0,0,1,1,0,1,644.5
,2021-01-22,BAJAJ-AUTO,4,4,0,0,4,0,4089.5
,2021-01-22,BAJAJFINSV,0,4,1,0,0,0,9071.0
,2021-01-22,BAJAJHLDNG,4,1,0,0,1,0,3283.45
,2021-01-22,BAJFINANCE,0,0,1,1,0,1,4972.55
,2021-01-22,BALKRISIND,0,0,1,1,0,1,1678.5
,2021-01-22,BANDHANBNK,0,0,1,2,0,1,314.1
,2021-01-22,BANKBARODA,0,0,1,1,0,1,73.35
,2021-01-22,BANKINDIA,0,0,2,2,0,2,51.0
,2021-01-22,BATAINDIA,0,0,1,2,0,1,1567.85
,2021-01-22,BBTC,0,0,2,2,0,2,1242.8
,2021-01-22,BEL,0,0,2,2,0,2,132.35
,2021-01-22,BERGEPAINT,0,0,1,1,0,1,773.4
,2021-01-22,BHARATFORG,3,4,0,0,3,0,629.4
,2021-01-22,BHARTIARTL,0,0,1,2,0,1,576.85
,2021-01-22,BHEL,0,0,1,2,0,1,37.65
,2021-01-22,BIOCON,0,0,1,3,0,1,393.75
,2021-01-22,BOSCHLTD,4,0,0,1,0,0,15670.65
,2021-01-22,BPCL,0,0,1,2,0,1,396.05
,2021-01-22,BRITANNIA,2,0,0,1,0,0,3608.0
,2021-01-22,CADILAHC,0,0,1,2,0,1,460.5
,2021-01-22,CANBK,0,0,1,2,0,1,133.2
,2021-01-22,CASTROLIND,0,0,1,2,0,1,128.05
,2021-01-22,CESC,0,0,1,1,0,1,662.3
,2021-01-22,CHOLAFIN,0,0,1,2,0,1,422.15
,2021-01-22,CIPLA,0,0,1,2,0,1,808.3
,2021-01-22,COALINDIA,0,0,1,3,0,1,133.2
,2021-01-22,COFORGE,0,0,1,1,0,1,2491.0
,2021-01-22,COLPAL,0,0,2,2,0,2,1519.8
,2021-01-22,CONCOR,0,1,2,0,0,0,428.65
,2021-01-22,COROMANDEL,4,0,0,1,0,0,833.3
,2021-01-22,CROMPTON,4,4,0,0,4,0,429.7
,2021-01-22,CUB,0,0,1,2,0,1,174.25
,2021-01-22,CUMMINSIND,0,1,1,0,0,0,615.85
,2021-01-22,DABUR,0,0,1,3,0,1,532.95
,2021-01-22,DALBHARAT,0,0,1,1,0,1,1155.05
,2021-01-22,DEEPAKNTR,0,0,7,1,0,1,1001.0
,2021-01-22,DHANI,0,0,2,2,0,2,320.45
,2021-01-22,DIVISLAB,0,0,2,2,0,2,3544.7
,2021-01-22,DIXON,0,0,3,3,0,3,14092.55
,2021-01-22,DLF,0,0,1,2,0,1,269.4
,2021-01-22,DMART,2,1,0,0,1,0,2862.75
,2021-01-22,DRREDDY,0,0,2,2,0,2,5036.9
,2021-01-22,EICHERMOT,1,4,0,0,1,0,2972.6
,2021-01-22,EMAMILTD,0,1,1,0,0,0,480.85
,2021-01-22,ENDURANCE,3,4,0,0,3,0,1409.55
,2021-01-22,ESCORTS,0,1,1,0,0,0,1293.7
,2021-01-22,EXIDEIND,3,1,0,0,1,0,200.65
,2021-01-22,FEDERALBNK,0,0,1,1,0,1,73.3
,2021-01-22,FORTIS,0,1,1,0,0,0,165.7
,2021-01-22,GAIL,0,1,5,0,0,0,134.05
,2021-01-22,GLENMARK,0,0,2,2,0,2,495.15
,2021-01-22,GMRINFRA,0,0,2,2,0,2,26.1
,2021-01-22,GODREJAGRO,3,0,0,1,0,0,540.25
,2021-01-22,GODREJCP,0,0,1,1,0,1,790.05
,2021-01-22,GODREJIND,3,3,0,0,3,0,440.1
,2021-01-22,GODREJPROP,0,0,1,2,0,1,1350.35
,2021-01-22,GRASIM,0,0,1,2,0,1,1004.0
,2021-01-22,GSPL,0,0,6,5,0,5,202.6
,2021-01-22,GUJGASLTD,0,0,2,2,0,2,349.65
,2021-01-22,HAL,0,0,3,1,0,1,948.0
,2021-01-22,HAVELLS,4,4,0,0,4,0,1122.65
,2021-01-22,HCLTECH,0,0,1,2,0,1,985.8
,2021-01-22,HDFC,0,0,2,1,0,1,2589.45
,2021-01-22,HDFCAMC,0,0,2,2,0,2,3101.0
,2021-01-22,HDFCBANK,0,0,3,2,0,2,1443.55
,2021-01-22,HDFCLIFE,0,0,1,2,0,1,687.4
,2021-01-22,HEROMOTOCO,4,1,0,0,1,0,3374.9
,2021-01-22,HINDALCO,0,0,1,2,0,1,239.2
,2021-01-22,HINDPETRO,0,0,1,3,0,1,225.4
,2021-01-22,HINDUNILVR,2,4,0,0,2,0,2409.35
,2021-01-22,HINDZINC,0,0,2,2,0,2,275.65
,2021-01-22,IBULHSGFIN,0,0,1,2,0,1,211.5
,2021-01-22,ICICIBANK,0,0,1,1,0,1,533.8
,2021-01-22,ICICIGI,0,0,1,1,0,1,1438.95
,2021-01-22,ICICIPRULI,0,0,2,2,0,2,501.9
,2021-01-22,IDEA,0,0,1,2,0,1,12.7
,2021-01-22,IDFCFIRSTB,0,0,2,2,0,2,49.5
,2021-01-22,IGL,0,1,1,0,0,0,534.25
,2021-01-22,INDHOTEL,0,1,1,0,0,0,122.55
,2021-01-22,INDIAMART,0,2,1,0,0,0,7893.5
,2021-01-22,INDIGO,0,0,1,1,0,1,1642.3
,2021-01-22,INDUSINDBK,0,0,1,3,0,1,893.3
,2021-01-22,INDUSTOWER,0,0,5,3,0,3,241.45
,2021-01-22,INFY,0,0,1,1,0,1,1340.85
,2021-01-22,IOC,0,0,5,3,0,3,95.7
,2021-01-22,IPCALAB,0,0,3,3,0,3,2044.65
,2021-01-22,IRCTC,0,0,1,1,0,1,1432.45
,2021-01-22,ISEC,0,0,1,1,0,1,437.75
,2021-01-22,ITC,0,0,1,3,0,1,210.7
,2021-01-22,JINDALSTEL,0,0,1,1,0,1,281.65
,2021-01-22,JSWENERGY,0,1,2,0,0,0,74.05
,2021-01-22,JSWSTEEL,0,0,1,2,0,1,375.4
,2021-01-22,JUBLFOOD,0,0,1,2,0,1,2746.2
,2021-01-22,KOTAKBANK,0,0,1,2,0,1,1828.0
,2021-01-22,L&TFH,0,0,3,2,0,2,92.25
,2021-01-22,LALPATHLAB,0,1,1,0,0,0,2298.7
,2021-01-22,LAURUSLABS,0,4,1,0,0,0,370.55
,2021-01-22,LICHSGFIN,0,0,1,2,0,1,413.55
,2021-01-22,LT,0,0,1,2,0,1,1362.1
,2021-01-22,LTI,0,0,2,2,0,2,3929.45
,2021-01-22,LTTS,0,0,2,2,0,2,2401.95
,2021-01-22,LUPIN,0,0,2,2,0,2,1079.25
,2021-01-22,M&M,0,0,1,2,0,1,798.4
,2021-01-22,M&MFIN,0,0,1,2,0,1,173.85
,2021-01-22,MANAPPURAM,0,0,1,2,0,1,162.1
,2021-01-22,MARICO,0,0,1,1,0,1,418.75
,2021-01-22,MARUTI,3,0,0,1,0,0,8048.85
,2021-01-22,MCDOWELL-N,0,0,1,1,0,1,625.05
,2021-01-22,MFSL,0,1,1,0,0,0,702.1
,2021-01-22,MGL,0,0,1,2,0,1,1041.05
,2021-01-22,MINDTREE,0,0,1,1,0,1,1791.3
,2021-01-22,MOTHERSUMI,1,1,0,0,1,0,156.25
,2021-01-22,MPHASIS,0,0,2,2,0,2,1599.05
,2021-01-22,MRF,0,4,1,0,0,0,92305.95
,2021-01-22,MUTHOOTFIN,0,0,1,2,0,1,1165.4
,2021-01-22,NAM-INDIA,0,0,2,3,0,2,328.75
,2021-01-22,NATCOPHARM,0,0,2,2,0,2,905.1
,2021-01-22,NAUKRI,3,4,0,0,3,0,5342.0
,2021-01-22,NAVINFLUOR,0,0,1,1,0,1,2495.8
,2021-01-22,NESTLEIND,0,0,2,1,0,1,17589.6
,2021-01-22,NMDC,0,0,2,2,0,2,111.9
,2021-01-22,NTPC,0,0,7,2,0,2,94.05
,2021-01-22,OBEROIRLTY,0,0,3,2,0,2,567.45
,2021-01-22,OIL,1,0,0,2,0,0,111.5
,2021-01-22,ONGC,0,0,1,2,0,1,92.75
,2021-01-22,PAGEIND,4,4,0,0,4,0,29349.6
,2021-01-22,PEL,0,0,1,3,0,1,1487.45
,2021-01-22,PETRONET,0,0,1,2,0,1,241.4
,2021-01-22,PFC,0,0,2,2,0,2,115.65
,2021-01-22,PFIZER,0,0,8,3,0,3,4818.4
,2021-01-22,PGHH,0,1,2,0,0,0,11289.5
,2021-01-22,PIDILITIND,0,0,1,1,0,1,1735.25
,2021-01-22,PIIND,0,0,3,1,0,1,2154.8
,2021-01-22,PNB,0,0,1,2,0,1,34.55
,2021-01-22,POLYCAB,0,4,1,0,0,0,1278.8
,2021-01-22,POWERGRID,0,0,2,3,0,2,194.2
,2021-01-22,PRESTIGE,0,0,1,2,0,1,276.15
,2021-01-22,RAMCOCEM,0,1,1,0,0,0,809.3
,2021-01-22,RBLBANK,0,0,1,2,0,1,232.8
,2021-01-22,RECLTD,0,0,1,2,0,1,140.1
,2021-01-22,RELIANCE,0,0,1,1,0,1,2049.6
,2021-01-22,SAIL,0,0,1,2,0,1,58.2
,2021-01-22,SANOFI,2,4,0,0,2,0,8406.15
