,NAME,OPEN,HIGH,LOW,CLOSE,DATE,TYPE,CONSECUTIVE
122,LUPIN,977.95,1009.95,995.55,1000.9,2021-02-02,HL,1
123,M&M,725.0,744.75,802.6,732.45,2021-02-02,HL,1
124,M&MFIN,176.0,179.45,163.5,178.7,2021-02-02,HL,2
125,MANAPPURAM,165.95,168.45,166.15,167.2,2021-02-02,HL,3
126,MARICO,403.6,407.3,418.75,406.1,2021-02-02,HL,4
127,MARUTI,7654.0,7748.5,7490.15,7691.3,2021-02-02,HL,1
128,MCDOWELL-N,579.0,583.95,567.55,581.5,2021-02-02,HL,1
129,MFSL,675.0,692.4,686.7,690.95,2021-02-02,HL,1
130,MGL,1062.8,1074.0,1061.2,1059.95,2021-02-02,HL,1
131,MINDTREE,1655.0,1682.85,1667.05,1659.25,2021-02-02,HL,1
132,MOTHERSUMI,165.25,167.0,152.7,164.1,2021-02-02,HL,1
133,MPHASIS,1549.0,1558.95,1532.15,1529.9,2021-02-02,HL,1
134,MRF,76000.0,76334.35,88926.85,76021.65,2021-02-02,HL,2
135,MUTHOOTFIN,1215.0,1221.05,1152.0,1213.35,2021-02-02,HL,1
136,NAM-INDIA,297.95,305.7,324.0,302.85,2021-02-02,HL,5
137,NATCOPHARM,965.0,980.9,882.0,967.3,2021-02-02,HL,1
138,NAUKRI,4780.0,4800.0,4516.2,4754.7,2021-02-02,HL,1
139,NAVINFLUOR,2615.0,2664.45,2353.0,2637.7,2021-02-02,HL,2
140,NESTLEIND,18389.7,18520.0,17054.5,18450.7,2021-02-02,HL,2
141,NMDC,114.9,117.0,108.25,116.35,2021-02-02,HL,1
142,NTPC,99.95,100.2,92.9,99.05,2021-02-02,HL,2
143,OBEROIRLTY,584.0,597.35,535.1,590.1,2021-02-02,HL,3
144,OIL,109.0,109.4,112.1,108.7,2021-02-02,HL,1
145,ONGC,93.75,94.45,91.2,93.2,2021-02-02,HL,2
146,PAGEIND,27700.0,28260.45,28134.6,28155.55,2021-02-02,HL,2
147,PEL,1428.85,1489.9,1411.95,1480.35,2021-02-02,HL,2
148,PETRONET,248.85,251.5,242.0,249.85,2021-02-02,HL,1
149,PFC,114.8,116.0,117.1,115.05,2021-02-02,HL,1
150,PFIZER,5160.0,5450.0,4425.0,5279.4,2021-02-02,LL,4
151,PGHH,11167.0,11248.95,11100.0,11012.4,2021-02-02,LL,2
152,PIDILITIND,1772.85,1784.5,1721.05,1770.8,2021-02-02,HL,2
153,PIIND,2204.0,2279.9,1981.0,2264.5,2021-02-02,LL,1
154,PNB,33.3,34.95,35.55,34.8,2021-02-02,HL,3
155,POLYCAB,1038.8,1048.2,1231.55,1035.45,2021-02-02,HL,3
156,POWERGRID,189.0,189.9,189.2,189.5,2021-02-02,HL,1
157,PRESTIGE,267.45,272.75,278.0,266.8,2021-02-02,HL,2
158,RAMCOCEM,800.7,807.0,841.05,795.0,2021-02-02,HL,1
159,RBLBANK,231.1,233.15,238.0,231.05,2021-02-02,HL,1
160,RECLTD,134.0,135.5,139.1,134.7,2021-02-02,HL,2
161,RELIANCE,1988.0,1997.0,1854.95,1987.5,2021-02-02,HL,2
162,SAIL,73.95,75.75,60.1,74.5,2021-02-02,HL,3
163,SANOFI,8293.7,8329.85,7880.0,8271.3,2021-02-02,HL,2
164,SBICARD,851.2,855.0,1001.0,852.85,2021-02-02,HL,1
