"Date","Close","Open","High","Low","Vol.","Change %"
"Jul 15","14.5700","16.9275","18.3750","12.0700","-","-13.93%"
"Jun 15","16.9275","16.6575","19.1175","13.7350","-","1.62%"
"May 15","16.6575","17.2250","21.9050","14.1950","-","-3.29%"
"Apr 15","17.2250","14.4925","20.0875","12.9675","-","18.85%"
"Mar 15","14.4925","16.9700","16.9700","12.3600","-","-14.60%"
"Feb 15","16.9700","20.1725","22.1225","16.6925","-","-15.88%"
"Jan 15","20.1725","15.1200","21.2100","13.1525","-","33.42%"
"Dec 14","15.1200","12.8975","19.0625","10.7150","-","17.23%"
"Nov 14","12.8975","13.2950","17.2100","9.3475","-","-2.99%"
"Oct 14","13.2950","13.1450","16.8850","11.7625","-","1.14%"
"Sep 14","13.1450","13.0675","14.8325","10.3150","-","0.59%"
"Aug 14","13.0675","13.8225","15.4725","11.8375","-","-5.46%"
"Jul 14","13.8225","17.8725","19.9475","11.9425","-","-22.66%"
"Jun 14","17.8725","16.3350","20.6050","13.7425","-","9.41%"
"May 14","16.3350","30.5925","39.3000","13.9675","-","-46.60%"
"Apr 14","30.5925","21.6225","38.0425","16.6675","-","41.48%"
"Mar 14","21.6225","14.1775","21.8000","12.5000","-","52.51%"
"Feb 14","14.1775","16.8200","20.2300","13.2375","-","-15.71%"
"Jan 14","16.8200","15.1200","18.7200","13.8800","-","11.24%"
"Dec 13","15.1200","21.3800","25.4500","14.6200","-","-29.28%"
"Nov 13","21.3800","18.3900","22.3600","17.4800","-","16.26%"
"Oct 13","18.3900","26.6500","28.0200","18.2100","-","-30.99%"
"Sep 13","26.6500","27.8100","33.0200","23.3600","-","-4.17%"
"Aug 13","27.8100","18.7700","36.0200","17.7200","-","48.16%"
"Jul 13","18.7700","17.9500","20.1100","16.1800","-","4.57%"
"Jun 13","17.9500","16.9900","22.1100","16.5900","-","5.65%"
"May 13","16.9900","15.1000","19.3600","15.1000","-","12.52%"
"Apr 13","15.1000","15.2200","17.5900","13.8100","-","-0.79%"
"Mar 13","15.2200","14.8600","17.8400","12.8300","-","2.42%"
"Feb 13","14.8600","14.1300","17.6000","13.5100","-","5.17%"
"Jan 13","14.1300","14.9500","15.4900","12.5800","-","-5.48%"
"Dec 12","14.9500","15.1500","16.7200","13.2800","-","-1.32%"
"Nov 12","15.1500","14.4000","17.2200","13.2500","-","5.21%"
"Oct 12","14.4000","16.1600","17.5900","12.8700","-","-10.89%"
"Sep 12","16.1600","17.3000","19.8300","13.8600","-","-6.59%"
"Aug 12","17.3000","16.0100","17.3500","14.6800","-","8.06%"
"Jul 12","16.0100","19.0800","19.7000","15.4200","-","-16.09%"
"Jun 12","19.0800","25.2500","28.6500","18.8000","-","-24.44%"
"May 12","25.2500","17.8200","27.2000","17.8200","-","41.69%"
"Apr 12","17.8200","22.8600","23.2900","17.6100","-","-20.38%"
"Mar 12","22.3800","26.9300","29.5500","20.5900","-","-16.90%"
"Feb 12","26.9300","22.6600","27.8700","20.3000","-","18.84%"
"Jan 12","22.6600","27.1100","28.6800","18.0100","-","-16.41%"
"Dec 11","27.1100","26.5500","31.2700","23.3700","-","2.11%"
"Nov 11","26.5500","20.7300","32.7100","20.1600","-","17.17%"
"Oct 11","22.6600","31.9400","39.0200","19.6000","-","-29.05%"
"Sep 11","31.9400","24.8800","38.1900","24.0100","-","28.38%"
"Aug 11","24.8800","19.7700","37.0000","18.3800","-","25.85%"
"Jul 11","19.7700","18.4100","21.2200","16.5500","-","7.39%"
"Jun 11","18.4100","16.8200","24.3800","16.3600","-","9.45%"
"May 11","16.8200","19.5800","24.3100","16.6700","-","-14.10%"
"Apr 11","19.5800","22.1800","23.0400","18.4500","-","-11.72%"
"Mar 11","22.1800","24.4000","27.5200","18.8300","-","-9.10%"
"Feb 11","24.4000","23.4100","29.0500","20.3800","-","4.23%"
"Jan 11","23.4100","16.5600","25.5200","15.2800","-","41.36%"
"Dec 10","16.5600","20.7100","23.7200","16.3400","-","-20.04%"
"Nov 10","20.7100","20.7600","24.9500","16.3800","-","-0.24%"
"Oct 10","20.7600","22.2500","23.9900","17.8000","-","-6.70%"
"Sep 10","22.2500","18.4700","24.4600","14.3500","-","20.47%"
"Aug 10","18.4700","18.9400","19.6300","15.2800","-","-2.48%"
"Jul 10","18.9400","21.0400","22.8900","16.2500","-","-5.63%"
"Jun 10","20.0700","26.6700","29.3800","18.3200","-","-24.06%"
"May 10","26.4300","21.3000","35.8600","20.6400","-","29.88%"
"Apr 10","20.3500","19.1600","23.3200","12.6000","-","2.42%"
"Mar 10","19.8700","23.7500","23.8100","16.7100","-","-17.28%"
"Feb 10","24.0200","26.8000","32.1400","23.7900","-","-8.08%"
"Jan 10","26.1300","23.7900","28.9200","20.3400","-","11.95%"
