,NAME,OPEN,HIGH,LOW,CLOSE,DATE,TYPE,CONSECUTIVE
0,AARTIIND,1244.0,1301.85,1270.5,1260.5,2021-01-08,None,0
1,ABBOTINDIA,15800.0,15699.95,15445.05,15746.0,2021-01-08,None,0
2,ABCAPITAL,85.0,94.2,91.55,89.1,2021-01-08,HHL,2
3,ABFRL,166.65,170.55,165.5,166.5,2021-01-08,None,0
4,ACC,1617.2,1769.55,1713.05,1626.1,2021-01-08,HHL,5
5,ADANIENT,477.0,526.6,514.1,491.15,2021-01-08,HHL,2
6,ADANIGREEN,1079.9,1076.0,1009.95,1065.95,2021-01-08,None,0
7,ADANIPORTS,485.0,527.35,514.5,503.85,2021-01-08,HHL,2
8,ADANITRANS,438.9,460.0,452.5,434.25,2021-01-08,None,0
9,AJANTPHARM,1643.1,1834.0,1711.15,1651.05,2021-01-08,HHL,5
10,ALKEM,2930.0,3068.8,3000.0,2950.75,2021-01-08,HHL,2
11,AMARAJABAT,928.0,1006.65,990.0,925.05,2021-01-08,HHL,5
12,AMBUJACEM,249.0,271.4,264.3,250.85,2021-01-08,HHL,5
13,APLLTD,1035.0,1109.55,1074.5,1042.6,2021-01-08,HHL,1
14,APOLLOHOSP,2405.5,2579.0,2515.7,2414.85,2021-01-08,HHL,3
15,APOLLOTYRE,178.45,196.55,191.75,179.9,2021-01-08,HHL,2
16,ASHOKLEY,95.7,113.75,111.05,99.1,2021-01-08,HHL,3
17,ASIANPAINT,2759.0,2849.8,2789.05,2775.55,2021-01-08,HHL,3
18,AUBANK,855.0,916.3,887.9,875.35,2021-01-08,HHL,3
19,AUROPHARMA,923.7,967.0,940.6,927.75,2021-01-08,None,0
20,AXISBANK,620.25,678.85,668.5,623.8,2021-01-08,HHL,2
21,BAJAJ-AUTO,3446.0,3544.6,3438.05,3481.25,2021-01-08,HHL,1
22,BAJAJFINSV,8930.0,9265.0,8948.0,8870.45,2021-01-08,HHL,2
23,BAJAJHLDNG,3091.7,3150.0,3124.0,3119.15,2021-01-08,HHL,2
24,BAJFINANCE,5310.2,5138.75,5042.0,5280.15,2021-01-08,HHL,1
25,BALKRISIND,1646.0,1733.45,1665.1,1642.1,2021-01-08,HHL,4
26,BANDHANBNK,402.0,424.0,409.4,400.2,2021-01-08,HHL,3
27,BANKBARODA,61.8,67.15,65.3,64.5,2021-01-08,None,0
28,BANKINDIA,49.0,51.95,50.6,50.15,2021-01-08,None,0
29,BATAINDIA,1587.8,1662.3,1614.45,1573.9,2021-01-08,None,0
30,BBTC,1296.0,1314.9,1278.1,1304.75,2021-01-08,None,0
31,BEL,121.0,133.75,131.55,126.4,2021-01-08,None,0
32,BERGEPAINT,759.5,812.95,792.65,767.05,2021-01-08,HHL,2
33,BHARATFORG,527.65,606.0,593.6,538.1,2021-01-08,HHL,5
34,BHARTIARTL,512.25,549.75,537.3,515.15,2021-01-08,None,0
35,BHEL,36.15,40.55,39.0,38.7,2021-01-08,None,0
36,BIOCON,466.0,467.95,461.25,465.75,2021-01-08,HHL,1
37,BOSCHLTD,12813.0,14181.75,13801.05,12986.05,2021-01-08,HHL,5
38,BPCL,381.1,406.0,394.25,381.95,2021-01-08,HHL,1
39,BRITANNIA,3575.0,3589.95,3532.85,3567.8,2021-01-08,HHL,1
40,CADILAHC,477.75,489.4,483.5,478.4,2021-01-08,HHL,1
41,CANBK,128.9,134.9,130.65,133.3,2021-01-08,None,0
42,CASTROLIND,123.3,130.0,127.3,122.0,2021-01-08,HHL,4
43,CESC,617.0,628.95,621.0,620.65,2021-01-08,None,0
44,CHOLAFIN,387.65,437.45,427.7,411.35,2021-01-08,None,0
45,CIPLA,822.8,846.2,827.4,826.6,2021-01-08,HHL,1
46,COALINDIA,135.4,140.95,137.1,135.35,2021-01-08,HHL,2
47,COFORGE,2703.25,2825.0,2745.0,2722.25,2021-01-08,None,0
48,COLPAL,1565.0,1625.0,1599.0,1578.45,2021-01-08,HHL,1
49,CONCOR,400.45,446.95,433.8,403.4,2021-01-08,HHL,1
50,COROMANDEL,813.9,822.0,810.0,813.65,2021-01-08,None,0
51,CROMPTON,382.0,405.4,390.85,378.05,2021-01-08,HHL,3
52,CUB,180.1,187.65,182.3,180.45,2021-01-08,None,0
53,CUMMINSIND,575.5,648.0,626.0,581.35,2021-01-08,HHL,2
54,DABUR,534.0,542.45,534.0,534.2,2021-01-08,HHL,1
55,DALBHARAT,1083.9,1229.8,1170.05,1094.5,2021-01-08,HHL,3
56,DEEPAKNTR,949.0,1086.0,1040.1,987.85,2021-01-08,HHL,2
57,DHANI,321.65,378.0,335.0,313.4,2021-01-08,HHL,2
58,DIVISLAB,3839.0,3868.7,3810.1,3849.05,2021-01-08,None,0
59,DIXON,13514.05,16786.0,14955.0,13621.9,2021-01-08,HHL,3
60,DLF,232.85,252.45,245.9,238.35,2021-01-08,HHL,2
61,DMART,2767.0,2999.0,2932.25,2789.1,2021-01-08,None,0
62,DRREDDY,5217.25,5360.0,5279.0,5241.35,2021-01-08,HHL,2
63,EICHERMOT,2531.0,2771.3,2661.0,2542.7,2021-01-08,HHL,2
64,EMAMILTD,425.4,459.9,448.05,423.7,2021-01-08,None,0
65,ENDURANCE,1356.5,1453.15,1392.0,1349.75,2021-01-08,None,0
66,ESCORTS,1289.6,1355.0,1320.0,1287.8,2021-01-08,HHL,2
67,EXIDEIND,191.7,201.8,196.0,191.35,2021-01-08,HHL,2
68,FEDERALBNK,67.0,76.8,75.4,68.05,2021-01-08,HHL,5
69,FORTIS,156.0,181.2,164.85,156.0,2021-01-08,HHL,1
70,GAIL,123.9,134.65,131.65,123.65,2021-01-08,None,0
71,GLENMARK,493.75,523.9,513.25,502.6,2021-01-08,None,0
72,GMRINFRA,26.5,28.3,26.85,26.6,2021-01-08,HHL,2
73,GODREJAGRO,543.0,538.05,529.95,538.3,2021-01-08,None,0
74,GODREJCP,742.0,752.3,735.4,738.95,2021-01-08,None,0
75,GODREJIND,424.35,435.55,427.6,428.9,2021-01-08,HHL,1
76,GODREJPROP,1432.0,1484.9,1430.0,1427.25,2021-01-08,None,0
77,GRASIM,924.5,1023.85,992.1,933.4,2021-01-08,HHL,5
78,GSPL,222.0,213.35,208.1,218.5,2021-01-08,None,0
79,GUJGASLTD,378.7,391.5,385.0,378.0,2021-01-08,None,0
80,HAL,849.0,940.45,910.0,856.8,2021-01-08,None,0
81,HAVELLS,919.8,1012.55,974.1,909.9,2021-01-08,HHL,4
82,HCLTECH,942.0,1003.5,970.0,950.5,2021-01-08,HHL,1
83,HDFC,2549.0,2674.4,2631.0,2568.75,2021-01-08,None,0
84,HDFCAMC,2937.65,3145.0,3053.15,2998.05,2021-01-08,HHL,1
85,HDFCBANK,1440.0,1442.0,1423.1,1425.05,2021-01-08,HHL,1
86,HDFCLIFE,676.5,721.95,708.1,678.4,2021-01-08,None,0
87,HEROMOTOCO,3115.0,3165.95,3063.1,3102.65,2021-01-08,HHL,1
88,HINDALCO,239.0,274.45,265.15,238.35,2021-01-08,None,0
89,HINDPETRO,219.25,230.15,224.25,221.25,2021-01-08,HHL,1
90,HINDUNILVR,2395.4,2400.0,2360.8,2387.55,2021-01-08,None,0
91,HINDZINC,239.15,324.9,298.2,239.05,2021-01-08,None,0
92,IBULHSGFIN,221.0,250.9,238.0,221.75,2021-01-08,HHL,3
93,ICICIBANK,535.55,547.1,536.35,527.5,2021-01-08,None,0
94,ICICIGI,1518.0,1617.95,1562.0,1519.2,2021-01-08,None,0
95,ICICIPRULI,501.0,534.5,512.95,498.7,2021-01-08,HHL,1
96,IDEA,10.75,12.3,11.65,11.2,2021-01-08,None,0
97,IDFCFIRSTB,37.05,46.95,43.85,37.4,2021-01-08,None,0
98,IGL,503.0,553.75,541.05,507.15,2021-01-08,HHL,5
99,INDHOTEL,120.1,125.45,123.0,123.95,2021-01-08,None,0
100,INDIAMART,6411.0,7598.0,7423.3,7038.3,2021-01-08,None,0
101,INDIGO,1719.0,1774.9,1723.0,1713.5,2021-01-08,None,0
102,INDUSINDBK,895.0,976.0,932.1,900.15,2021-01-08,HHL,3
103,INDUSTOWER,230.7,273.0,266.25,235.45,2021-01-08,None,0
104,INFY,1257.9,1316.8,1278.25,1260.45,2021-01-08,HHL,1
105,IOC,91.3,96.4,94.65,91.5,2021-01-08,HHL,1
106,IPCALAB,2196.0,2150.0,2110.6,2180.05,2021-01-08,None,0
107,IRCTC,1447.0,1509.8,1460.75,1445.0,2021-01-08,None,0
108,ISEC,463.8,459.35,449.5,465.6,2021-01-08,None,0
109,ITC,209.9,206.0,200.25,213.85,2021-01-08,None,0
110,JINDALSTEL,268.3,302.6,290.9,270.15,2021-01-08,None,0
111,JSWENERGY,67.8,68.2,66.85,66.8,2021-01-08,None,0
112,JSWSTEEL,387.25,410.45,398.5,389.7,2021-01-08,None,0
113,JUBLFOOD,2803.0,2948.0,2877.35,2792.8,2021-01-08,HHL,2
114,KOTAKBANK,1996.9,1976.0,1946.25,1994.05,2021-01-08,None,0
115,L&TFH,93.7,105.5,102.55,97.0,2021-01-08,None,0
116,LALPATHLAB,2319.2,2445.0,2375.3,2407.2,2021-01-08,HHL,2
117,LAURUSLABS,354.8,359.85,351.5,353.4,2021-01-08,None,0
118,LICHSGFIN,363.0,447.6,436.5,377.6,2021-01-08,HHL,5
119,LT,1283.0,1382.95,1347.0,1297.0,2021-01-08,HHL,3
120,LTI,3653.0,4114.0,3920.0,3699.3,2021-01-08,HHL,1
121,LTTS,2340.6,2470.0,2407.95,2409.5,2021-01-08,None,0
122,LUPIN,977.95,1047.35,1022.6,1000.9,2021-01-08,HHL,1
123,M&M,725.0,772.8,745.0,732.45,2021-01-08,HHL,2
124,M&MFIN,176.0,197.5,189.15,178.7,2021-01-08,None,0
125,MANAPPURAM,165.95,177.5,173.65,167.2,2021-01-08,None,0
126,MARICO,403.6,425.8,418.8,406.1,2021-01-08,HHL,1
127,MARUTI,7654.0,8060.0,7600.0,7691.3,2021-01-08,HHL,1
128,MCDOWELL-N,579.0,637.6,613.85,581.5,2021-01-08,HHL,3
129,MFSL,675.0,740.45,718.0,690.95,2021-01-08,HHL,3
130,MGL,1062.8,1134.3,1112.55,1059.95,2021-01-08,None,0
131,MINDTREE,1655.0,1745.0,1690.8,1659.25,2021-01-08,HHL,1
132,MOTHERSUMI,165.25,168.8,166.6,164.1,2021-01-08,None,0
133,MPHASIS,1549.0,1673.0,1605.0,1529.9,2021-01-08,None,0
134,MRF,76000.0,81399.0,77600.0,76021.65,2021-01-08,HHL,1
135,MUTHOOTFIN,1215.0,1294.0,1267.35,1213.35,2021-01-08,None,0
136,NAM-INDIA,297.95,314.0,304.95,302.85,2021-01-08,HHL,1
137,NATCOPHARM,965.0,952.9,932.0,967.3,2021-01-08,None,0
138,NAUKRI,4780.0,5450.0,5288.55,4754.7,2021-01-08,HHL,1
139,NAVINFLUOR,2615.0,2850.0,2700.0,2637.7,2021-01-08,None,0
140,NESTLEIND,18389.7,18350.0,18000.0,18450.7,2021-01-08,None,0
141,NMDC,114.9,129.5,125.0,116.35,2021-01-08,None,0
142,NTPC,99.95,100.5,97.35,99.05,2021-01-08,HHL,1
143,OBEROIRLTY,584.0,604.8,585.4,590.1,2021-01-08,None,0
144,OIL,109.0,114.0,112.8,108.7,2021-01-08,None,0
145,ONGC,93.75,101.3,98.55,93.2,2021-01-08,HHL,1
146,PAGEIND,27700.0,29989.95,28700.0,28155.55,2021-01-08,HHL,1
147,PEL,1428.85,1569.85,1500.1,1480.35,2021-01-08,HHL,2
148,PETRONET,248.85,271.8,260.5,249.85,2021-01-08,HHL,2
149,PFC,114.8,121.85,119.75,115.05,2021-01-08,HHL,5
150,PFIZER,5160.0,5320.0,5115.0,5279.4,2021-01-08,None,0
151,PGHH,11167.0,11320.0,11089.55,11012.4,2021-01-08,None,0
152,PIDILITIND,1772.85,1823.9,1771.65,1770.8,2021-01-08,HHL,1
153,PIIND,2204.0,2359.0,2192.85,2264.5,2021-01-08,HHL,1
154,PNB,33.3,35.9,35.1,34.8,2021-01-08,None,0
155,POLYCAB,1038.8,1310.0,1212.6,1035.45,2021-01-08,HHL,5
156,POWERGRID,189.0,204.0,197.55,189.5,2021-01-08,HHL,3
157,PRESTIGE,267.45,290.2,280.6,266.8,2021-01-08,None,0
158,RAMCOCEM,800.7,856.0,836.15,795.0,2021-01-08,HHL,2
159,RBLBANK,231.1,274.3,263.85,231.05,2021-01-08,HHL,5
