,NAME,OPEN,HIGH,LOW,CLOSE,DATE,TYPE,CONSECUTIVE
98,IGL,503.0,519.0,498.55,507.15,2021-02-24,None,0
99,INDHOTEL,120.1,123.1,120.0,123.95,2021-03-02,None,0
100,INDIAMART,6411.0,8340.0,8006.0,7038.3,2021-03-04,None,0
101,INDIGO,1719.0,1787.65,1733.0,1713.5,2021-03-05,LHL,1
102,INDUSINDBK,895.0,1084.0,1025.45,900.15,2021-03-05,LHL,1
103,INDUSTOWER,230.7,258.75,245.0,235.45,2021-03-05,LHL,1
104,INFY,1257.9,1340.0,1305.05,1260.45,2021-03-05,LHL,1
105,IOC,91.3,102.85,100.85,91.5,2021-03-05,LHL,3
106,IPCALAB,2196.0,1927.8,1908.3,2180.05,2021-03-05,LHL,1
107,IRCTC,1447.0,1642.1,1592.8,1445.0,2021-02-23,None,0
108,ISEC,463.8,407.9,400.0,465.6,2021-02-26,None,0
109,ITC,209.9,210.0,207.2,213.85,2021-03-05,LHL,2
110,JINDALSTEL,268.3,333.65,313.5,270.15,2021-03-05,LHL,2
111,JSWENERGY,67.8,86.5,80.45,66.8,2021-03-05,LHL,2
112,JSWSTEEL,387.25,414.1,402.5,389.7,2021-03-05,LHL,2
113,JUBLFOOD,2803.0,3126.6,3062.0,2792.8,2021-03-05,LHL,1
114,KOTAKBANK,1996.9,1869.0,1773.0,1994.05,2021-02-26,None,0
115,L&TFH,93.7,109.95,105.2,97.0,2021-03-05,LHL,1
116,LALPATHLAB,2319.2,2339.6,2290.0,2407.2,2021-03-05,LHL,2
117,LAURUSLABS,354.8,374.25,348.5,353.4,2021-03-05,LHL,1
118,LICHSGFIN,363.0,453.0,430.55,377.6,2021-03-05,LHL,1
119,LT,1283.0,1477.2,1439.1,1297.0,2021-03-05,LHL,2
120,LTI,3653.0,3648.55,3570.0,3699.3,2021-02-26,None,0
121,LTTS,2340.6,2721.0,2610.0,2409.5,2021-03-05,LHL,2
122,LUPIN,977.95,1053.45,1029.95,1000.9,2021-03-05,LHL,1
123,M&M,725.0,858.3,834.8,732.45,2021-03-04,None,0
124,M&MFIN,176.0,213.05,200.05,178.7,2021-03-05,LHL,1
125,MANAPPURAM,165.95,174.2,165.55,167.2,2021-03-05,LHL,1
126,MARICO,403.6,407.0,400.0,406.1,2021-03-05,LHL,1
127,MARUTI,7654.0,7175.2,7011.0,7691.3,2021-03-04,None,0
128,MCDOWELL-N,579.0,566.8,548.45,581.5,2021-03-05,LHL,1
129,MFSL,675.0,883.7,855.5,690.95,2021-02-26,None,0
130,MGL,1062.8,1171.55,1141.7,1059.95,2021-03-01,None,0
131,MINDTREE,1655.0,1625.0,1550.2,1659.25,2021-02-26,None,0
132,MOTHERSUMI,165.25,236.35,224.0,164.1,2021-03-05,LHL,2
133,MPHASIS,1549.0,1675.0,1622.3,1529.9,2021-03-05,LHL,1
134,MRF,76000.0,89699.9,88005.0,76021.65,2021-03-05,LHL,1
135,MUTHOOTFIN,1215.0,1319.8,1283.0,1213.35,2021-03-05,LHL,1
136,NAM-INDIA,297.95,365.0,347.4,302.85,2021-03-05,LHL,1
137,NATCOPHARM,965.0,820.0,793.2,967.3,2021-02-26,None,0
138,NAUKRI,4780.0,5008.05,4917.05,4754.7,2021-03-05,LHL,2
139,NAVINFLUOR,2615.0,2534.0,2412.0,2637.7,2021-02-24,None,0
140,NESTLEIND,18389.7,16707.95,16445.0,18450.7,2021-03-04,None,0
141,NMDC,114.9,137.45,130.75,116.35,2021-03-05,LHL,1
142,NTPC,99.95,112.35,108.4,99.05,2021-03-05,LHL,2
143,OBEROIRLTY,584.0,556.0,546.15,590.1,2021-03-04,None,0
144,OIL,109.0,129.0,126.3,108.7,2021-03-03,None,0
145,ONGC,93.75,116.65,112.75,93.2,2021-03-02,None,0
146,PAGEIND,27700.0,29447.0,28007.0,28155.55,2021-03-05,LHL,1
147,PEL,1428.85,1951.65,1809.0,1480.35,2021-02-26,None,0
148,PETRONET,248.85,256.95,250.5,249.85,2021-03-05,LHL,2
149,PFC,114.8,132.95,127.45,115.05,2021-03-05,LHL,1
150,PFIZER,5160.0,4650.0,4579.05,5279.4,2021-03-04,None,0
151,PGHH,11167.0,13105.0,12902.0,11012.4,2021-03-03,None,0
152,PIDILITIND,1772.85,1731.9,1675.0,1770.8,2021-02-26,None,0
153,PIIND,2204.0,2327.8,2228.15,2264.5,2021-03-04,None,0
154,PNB,33.3,43.6,41.3,34.8,2021-03-05,LHL,1
155,POLYCAB,1038.8,1357.0,1338.0,1035.45,2021-03-05,LHL,2
156,POWERGRID,189.0,226.0,219.35,189.5,2021-03-05,LHL,2
157,PRESTIGE,267.45,302.25,292.35,266.8,2021-03-05,LHL,2
158,RAMCOCEM,800.7,966.45,931.5,795.0,2021-02-23,None,0
159,RBLBANK,231.1,248.0,238.3,231.05,2021-03-05,LHL,1
160,RECLTD,134.0,147.0,141.9,134.7,2021-03-05,LHL,1
161,RELIANCE,1988.0,2112.0,2062.5,1987.5,2021-03-01,None,0
162,SAIL,73.95,76.1,69.4,74.5,2021-03-05,LHL,2
163,SANOFI,8293.7,8350.0,8260.05,8271.3,2021-03-04,None,0
164,SBICARD,851.2,1094.65,1081.3,852.85,2021-03-04,None,0
165,SBILIFE,903.0,878.95,858.05,895.4,2021-02-26,None,0
166,SBIN,274.9,395.0,378.1,279.4,2021-03-05,LHL,2
167,SHREECEM,24050.0,27720.5,26169.9,23950.3,2021-02-26,None,0
168,SIEMENS,1575.55,1951.0,1891.25,1601.55,2021-03-05,LHL,1
169,SRF,5550.0,5540.95,5315.05,5681.2,2021-02-26,None,0
170,SRTRANSFIN,1047.9,1335.7,1272.0,1070.85,2021-03-05,LHL,2
171,SUNPHARMA,592.5,619.45,606.9,596.25,2021-03-05,LHL,1
