,NAME,OPEN,HIGH,LOW,CLOSE,DATE,TYPE,CONSECUTIVE
0,AARTIIND,1244.0,1161.3,1125.05,1260.5,2021-01-25,LHL,3
1,ABBOTINDIA,15800.0,14569.95,14350.0,15746.0,2021-01-22,None,0
2,ABCAPITAL,85.0,87.6,83.75,89.1,2021-01-25,LHL,4
3,ABFRL,166.65,173.2,162.0,166.5,2021-01-25,LHL,1
4,ACC,1617.2,1708.95,1653.25,1626.1,2021-01-22,None,0
5,ADANIENT,477.0,534.4,509.0,491.15,2021-01-25,LHL,2
6,ADANIGREEN,1079.9,1064.0,1005.0,1065.95,2021-01-25,LHL,1
7,ADANIPORTS,485.0,547.45,522.0,503.85,2021-01-25,LHL,2
8,ADANITRANS,438.9,433.4,397.15,434.25,2021-01-18,None,0
9,AJANTPHARM,1643.1,1740.0,1700.0,1651.05,2021-01-22,None,0
10,ALKEM,2930.0,3110.0,2986.0,2950.75,2021-01-22,None,0
11,AMARAJABAT,928.0,990.65,948.55,925.05,2021-01-25,LHL,1
12,AMBUJACEM,249.0,264.55,248.0,250.85,2021-01-18,None,0
13,APLLTD,1035.0,964.3,930.5,1042.6,2021-01-22,None,0
14,APOLLOHOSP,2405.5,2652.0,2567.1,2414.85,2021-01-22,None,0
15,APOLLOTYRE,178.45,183.9,174.5,179.9,2021-01-18,None,0
16,ASHOKLEY,95.7,124.35,116.8,99.1,2021-01-25,LHL,1
17,ASIANPAINT,2759.0,2631.5,2501.0,2775.55,2021-01-25,LHL,2
18,AUBANK,855.0,902.0,880.0,875.35,2021-01-25,LHL,2
19,AUROPHARMA,923.7,938.0,897.5,927.75,2021-01-21,None,0
20,AXISBANK,620.25,673.9,638.8,623.8,2021-01-22,None,0
21,BAJAJ-AUTO,3446.0,3618.05,3505.0,3481.25,2021-01-18,None,0
22,BAJAJFINSV,8930.0,8636.1,8273.7,8870.45,2021-01-18,None,0
23,BAJAJHLDNG,3091.7,3207.9,3120.05,3119.15,2021-01-18,None,0
24,BAJFINANCE,5310.2,5137.0,4945.6,5280.15,2021-01-22,None,0
25,BALKRISIND,1646.0,1712.35,1633.35,1642.1,2021-01-25,LHL,2
26,BANDHANBNK,402.0,320.0,301.5,400.2,2021-01-25,LHL,2
27,BANKBARODA,61.8,76.15,70.4,64.5,2021-01-25,LHL,2
28,BANKINDIA,49.0,51.75,49.55,50.15,2021-01-25,LHL,3
29,BATAINDIA,1587.8,1595.3,1525.45,1573.9,2021-01-25,LHL,2
30,BBTC,1296.0,1257.5,1225.35,1304.75,2021-01-25,LHL,3
31,BEL,121.0,134.75,128.9,126.4,2021-01-25,LHL,3
32,BERGEPAINT,759.5,778.9,737.1,767.05,2021-01-25,LHL,2
33,BHARATFORG,527.65,636.0,597.3,538.1,2021-01-25,LHL,1
34,BHARTIARTL,512.25,585.55,572.75,515.15,2021-01-22,None,0
35,BHEL,36.15,38.25,36.0,38.7,2021-01-25,LHL,2
36,BIOCON,466.0,423.0,376.3,465.75,2021-01-22,None,0
37,BOSCHLTD,12813.0,16027.6,15325.85,12986.05,2021-01-25,LHL,1
38,BPCL,381.1,402.85,384.7,381.95,2021-01-25,LHL,2
39,BRITANNIA,3575.0,3639.85,3576.25,3567.8,2021-01-25,LHL,1
40,CADILAHC,477.75,473.1,455.3,478.4,2021-01-22,None,0
41,CANBK,128.9,138.5,131.0,133.3,2021-01-22,None,0
42,CASTROLIND,123.3,128.35,124.8,122.0,2021-01-22,None,0
43,CESC,617.0,673.9,625.1,620.65,2021-01-25,LHL,2
44,CHOLAFIN,387.65,443.85,420.2,411.35,2021-01-22,None,0
45,CIPLA,822.8,822.5,798.25,826.6,2021-01-22,None,0
46,COALINDIA,135.4,135.5,130.85,135.35,2021-01-25,LHL,2
47,COFORGE,2703.25,2511.3,2371.85,2722.25,2021-01-25,LHL,2
48,COLPAL,1565.0,1543.45,1495.55,1578.45,2021-01-25,LHL,3
