SYMBOL,OPEN,HIGH,LOW,CLOSE,TIMESTAMP
SYNGENE,600.0,624.0,580.0,584.45,22-JAN-2021
TCIEXP,950.1,958.0,901.1,913.45,22-JAN-2021
TCNSBRANDS,436.2,437.0,407.0,408.3,22-JAN-2021
TTKPRESTIG,6112.3,6192.3,5921.0,5991.45,22-JAN-2021
TVTODAY,245.15,253.95,236.25,247.1,22-JAN-2021
TV18BRDCST,31.25,33.0,29.15,29.3,22-JAN-2021
TVSMOTOR,506.8,535.0,488.6,521.95,22-JAN-2021
TASTYBITE,11811.0,12320.0,11702.0,11883.35,22-JAN-2021
TATACHEM,533.9,546.95,503.75,519.3,22-JAN-2021
TATACOFFEE,112.9,118.75,108.05,116.75,22-JAN-2021
TATACOMM,1100.0,1143.0,1026.0,1032.5,22-JAN-2021
TCS,3250.0,3327.95,3187.4,3303.1,22-JAN-2021
TATACONSUM,601.5,612.75,577.35,584.75,22-JAN-2021
TATAELXSI,2354.0,2849.0,2330.65,2565.85,22-JAN-2021
TATAINVEST,1086.0,1128.3,1045.0,1070.1,22-JAN-2021
TATAMTRDVR,102.25,117.5,95.2,113.55,22-JAN-2021
TATAMOTORS,261.65,306.9,241.15,289.35,22-JAN-2021
TATAPOWER,85.85,86.45,77.95,79.4,22-JAN-2021
TATASTLBSL,44.9,45.2,40.05,40.9,22-JAN-2021
TATASTEEL,708.0,708.75,633.65,647.0,22-JAN-2021
TEAMLEASE,2711.05,2835.0,2651.0,2761.0,22-JAN-2021
TECHM,998.0,1033.35,975.0,980.85,22-JAN-2021
NIACL,129.35,143.8,124.5,131.45,22-JAN-2021
RAMCOCEM,814.35,832.0,783.15,809.3,22-JAN-2021
THERMAX,999.0,1002.05,954.1,957.5,22-JAN-2021
THYROCARE,947.1,975.0,915.0,918.0,22-JAN-2021
TIMKEN,1253.0,1273.6,1200.0,1223.15,22-JAN-2021
TITAN,1467.0,1549.85,1460.0,1491.2,22-JAN-2021
TORNTPHARM,2705.0,2799.9,2595.55,2690.35,22-JAN-2021
TORNTPOWER,334.0,343.7,316.6,319.2,22-JAN-2021
TRENT,645.9,700.0,630.0,660.5,22-JAN-2021
TRIDENT,15.2,15.65,13.8,14.15,22-JAN-2021
TIINDIA,822.9,878.0,809.1,823.25,22-JAN-2021
UCOBANK,13.05,13.25,12.75,12.85,22-JAN-2021
UFLEX,373.8,386.0,361.5,365.0,22-JAN-2021
UPL,524.95,594.0,524.0,566.95,22-JAN-2021
UJJIVAN,288.95,288.95,265.3,269.95,22-JAN-2021
UJJIVANSFB,40.4,40.4,37.8,37.9,22-JAN-2021
ULTRACEMCO,5440.0,5647.0,5326.45,5534.8,22-JAN-2021
UNIONBANK,32.8,32.85,31.05,31.1,22-JAN-2021
UBL,1293.0,1312.1,1237.4,1246.25,22-JAN-2021
MCDOWELL-N,629.35,652.5,614.4,625.05,22-JAN-2021
