Date,Open,High,Low,Close,Adj Close,Volume,IntraMonth Diff,InterMonth Change
2010-01-01,9029.5,9265.55,8294.6,8651.55,8651.549805,0.0,10.75,0.0
2010-02-01,8597.45,8851.35,8150.45,8722.75,8722.75,0.0,8.15,0.82
2010-03-01,8826.9,9587.65,8826.9,9459.6,9459.599609,0.0,8.62,7.79
2010-04-01,9464.15,9923.15,9206.0,9870.35,9870.349609,0.0,7.58,4.16
2010-05-01,9809.4,9863.45,8806.65,9363.7,9363.700195,0.0,10.77,5.41
2010-06-01,9331.85,9793.15,9083.65,9464.6,9464.599609,0.0,7.6,1.07
2010-07-01,9403.95,10243.9,9303.05,10161.0,10161.0,0.0,10.0,6.85
2010-08-01,10258.35,11126.95,10255.4,10746.35,10746.349609,0.0,8.5,5.45
2010-09-01,10761.65,12410.6,10761.65,12366.35,12366.349609,0.0,15.32,13.1
2010-10-01,12390.9,12827.35,11955.55,12330.75,12330.75,0.0,7.04,0.29
2010-11-01,12485.5,13303.6,11362.9,11952.6,11952.599609,0.0,15.54,3.16
2010-12-01,11987.7,12535.85,10977.9,11791.45,11791.450195,0.0,13.0,1.37
2011-01-01,11882.1,11912.15,10373.8,10641.85,10641.849609,0.0,12.95,10.8
2011-02-01,10683.45,11300.45,10017.85,10435.35,10435.349609,0.0,12.01,1.98
2011-03-01,10541.95,11898.4,10528.35,11705.45,11705.450195,0.0,13.0,10.85
2011-04-01,11713.05,11978.05,11406.85,11483.75,11483.75,0.0,4.88,1.93
2011-05-01,11509.3,11543.35,10339.95,10781.45,10781.450195,0.0,10.46,6.51
2011-06-01,11011.2,11271.35,10340.4,11244.65,11244.650391,0.0,8.45,4.12
2011-07-01,11359.95,11451.25,10758.4,10893.65,10893.650391,0.0,6.1,3.22
2011-08-01,11014.15,11064.9,8917.95,9533.4,9533.400391,0.0,19.49,14.27
2011-09-01,9533.4,9972.0,9165.8,9468.3,9468.299805,0.0,8.46,0.69
2011-10-01,9332.6,10080.05,8626.45,9989.65,9989.650391,0.0,15.58,5.22
2011-11-01,9898.4,9984.35,8240.45,8564.1,8564.099609,0.0,17.62,16.65
2011-12-01,8872.8,9273.1,7766.35,7968.65,7968.649901999999,0.0,16.98,7.47
2012-01-01,8072.8,9969.25,8072.8,9919.45,9919.450195,0.0,23.49,19.67
2012-02-01,9941.9,11226.75,9762.0,10414.2,10414.200195,0.0,14.73,4.75
2012-03-01,10385.15,10912.05,9845.4,10212.75,10212.75,0.0,10.27,1.97
2012-04-01,10186.8,10645.85,10029.45,10276.8,10276.799805,0.0,6.05,0.62
2012-05-01,10276.8,10382.35,8995.25,9441.0,9441.0,0.0,13.5,8.85
2012-06-01,9434.45,10360.0,9110.45,10340.65,10340.650391,0.0,13.24,8.7
2012-07-01,10366.5,10782.55,10056.15,10384.1,10384.099609,0.0,7.01,0.42
2012-08-01,10347.8,10640.75,9948.7,9990.5,9990.5,0.0,6.69,3.94
2012-09-01,10030.85,11536.85,9814.05,11456.8,11456.799805,0.0,17.18,12.8
2012-10-01,11462.1,11745.2,10043.6,11268.8,11268.799805,0.0,14.85,1.67
2012-11-01,11266.5,12175.3,11230.2,12158.9,12158.900391,0.0,8.39,7.32
2012-12-01,12126.6,12571.6,12053.45,12474.25,12474.25,0.0,4.27,2.53
2013-01-01,12748.85,12960.65,12509.45,12708.6,12708.599609,0.0,3.54,1.84
2013-02-01,12718.55,12743.2,11401.2,11487.35,11487.349609,0.0,10.55,10.63
2013-03-01,11533.05,12241.3,11048.4,11361.85,11361.849609,0.0,10.34,1.1
2013-04-01,11361.85,12755.8,10888.75,12561.55,12561.549805,0.0,16.43,9.55
2013-05-01,12561.55,13414.3,12188.3,12475.65,12475.650391,0.0,9.76,0.69
2013-06-01,12475.65,12520.55,11033.75,11617.25,11617.25,0.0,11.92,7.39
2013-07-01,11617.25,11811.9,9863.05,10015.75,10015.75,0.0,16.78,15.99
