Date,Open,High,Low,Close,Adj Close,Volume,IntraMonth Diff,InterMonth Change
2010-01-01,5200.9,5310.85,4766.0,4882.05,4882.049805,0,10.48,0.0
2010-02-01,4882.05,4992.0,4675.4,4922.3,4922.299805,0,6.48,0.82
2010-03-01,4935.6,5329.55,4935.35,5249.1,5249.100098,0,7.99,6.23
2010-04-01,5249.2,5399.65,5160.9,5278.0,5278.0,0,4.55,0.55
2010-05-01,5278.4,5278.7,4786.45,5086.3,5086.299805,0,9.33,3.77
2010-06-01,5086.25,5366.75,4961.05,5312.5,5312.5,0,7.98,4.26
2010-07-01,5312.05,5477.5,5225.6,5367.6,5367.600098,0,4.74,1.03
2010-08-01,5369.55,5549.8,5348.9,5402.4,5402.399902,0,3.74,0.64
2010-09-01,5403.05,6073.5,5403.05,6029.95,6029.950195,0,12.41,10.41
2010-10-01,6030.3,6284.1,5937.1,6017.7,6017.700195,0,5.75,0.2
2010-11-01,6092.3,6338.5,5690.35,5862.7,5862.700195,0,10.64,2.64
2010-12-01,5871.0,6147.3,5721.15,6134.5,6134.5,0,7.26,4.43
2011-01-01,6177.45,6181.05,5416.65,5505.9,5505.899902,0,12.37,11.42
2011-02-01,5537.3,5599.25,5177.7,5333.25,5333.25,0,7.61,3.24
2011-03-01,5382.0,5872.0,5348.2,5833.75,5833.75,0,9.73,8.58
2011-04-01,5835.0,5944.45,5693.25,5749.5,5749.5,0,4.31,1.47
2011-05-01,5766.9,5775.25,5328.7,5473.1,5473.100098,0,7.74,5.05
2011-06-01,5561.05,5657.9,5195.9,5647.4,5647.399902,0,8.31,3.09
2011-07-01,5705.75,5740.4,5453.95,5482.0,5482.0,0,5.02,3.02
2011-08-01,5527.5,5551.9,4720.0,5001.0,5001.0,0,15.05,9.62
2011-09-01,5001.0,5169.25,4758.85,4943.25,4943.25,0,8.21,1.17
2011-10-01,4874.4,5399.7,4728.3,5326.6,5326.600098,0,13.77,7.2
2011-11-01,5278.6,5326.45,4640.95,4832.05,4832.049805,0,12.99,10.23
2011-12-01,4970.85,5099.25,4531.15,4624.3,4624.299805,0,11.43,4.49
2012-01-01,4675.8,5217.0,4675.8,5199.25,5199.25,0,11.57,11.06
2012-02-01,5198.15,5629.95,5159.0,5385.2,5385.200195,0,9.06,3.45
2012-03-01,5366.0,5499.4,5135.95,5295.55,5295.549805,0,6.77,1.69
2012-04-01,5296.35,5378.75,5154.3,5248.15,5248.149902,0,4.24,0.9
2012-05-01,5254.3,5279.6,4788.95,4924.25,4924.25,0,9.34,6.58
2012-06-01,4910.85,5286.25,4770.35,5278.9,5278.899902,0,10.51,6.72
2012-07-01,5283.85,5348.55,5032.4,5229.0,5229.0,0,5.98,0.95
2012-08-01,5220.7,5448.6,5164.65,5258.5,5258.5,0,5.44,0.56
2012-09-01,5276.5,5735.15,5215.7,5703.3,5703.299805,0,9.84,7.8
2012-10-01,5704.75,5815.35,4888.2,5619.7,5619.700195,0,16.25,1.49
2012-11-01,5609.85,5885.25,5548.35,5879.85,5879.850098,0,6.01,4.42
2012-12-01,5878.25,5965.15,5823.15,5905.1,5905.100098,0,2.42,0.43
2013-01-01,5982.6,6111.8,5940.6,6034.75,6034.75,1293100,2.86,2.15
2013-02-01,6040.95,6052.95,5671.9,5693.05,5693.049805,3081200,6.31,6.0
2013-03-01,5702.45,5971.2,5604.85,5682.55,5682.549805,2879100,6.42,0.18
2013-04-01,5697.35,5962.3,5477.2,5930.2,5930.200195,2725300,8.51,4.18
2013-05-01,5911.4,6229.45,5910.95,5985.95,5985.950195,3077100,5.39,0.93
2013-06-01,5997.35,6011.0,5566.25,5842.2,5842.200195,2981700,7.42,2.46
2013-07-01,5834.1,6093.35,5675.75,5742.0,5742.0,3519500,7.16,1.75
2013-08-01,5776.9,5808.5,5118.85,5471.8,5471.799805,5011800,11.94,4.94
2013-09-01,5480.25,6142.5,5318.9,5735.3,5735.299805,4485900,15.03,4.59
2013-10-01,5756.1,6309.05,5700.95,6299.15,6299.149902,3840600,10.56,8.95
2013-11-01,6289.75,6332.6,5972.45,6176.1,6176.100098,3008100,5.73,1.99
2013-12-01,6171.15,6415.25,6129.95,6304.0,6304.0,3616400,4.62,2.03
2014-01-01,6301.25,6358.3,6027.25,6089.5,6089.5,3280800,5.25,3.52
2014-02-01,6058.8,6282.7,5933.3,6276.95,6276.950195,2688200,5.77,2.99
2014-03-01,6264.35,6730.05,6212.25,6704.2,6704.200195,3853200,8.27,6.37
2014-04-01,6729.5,6869.85,6650.4,6696.4,6696.399902,2672300,3.26,0.12
2014-05-01,6709.95,7563.5,6638.55,7229.95,7229.950195,4282600,13.78,7.38
2014-06-01,7264.05,7700.05,7239.5,7611.35,7611.350098000001,3619400,6.34,5.01
2014-07-01,7629.0,7840.95,7422.15,7721.3,7721.299805,3315500,5.49,1.42
2014-08-01,7662.5,7968.25,7540.1,7954.35,7954.350098000001,2481800,5.59,2.93
2014-09-01,7990.35,8180.2,7841.8,7964.8,7964.799805,2931900,4.24,0.13
2014-10-01,7960.5,8330.75,7723.85,8322.2,8322.200195,2696600,7.62,4.29
2014-11-01,8348.15,8617.0,8290.25,8588.25,8588.25,2698000,3.91,3.1
2014-12-01,8605.1,8626.95,7961.35,8282.7,8282.700195,3148800,7.73,3.69
2015-01-01,8288.7,8996.6,8065.45,8808.9,8808.900391,3373200,11.23,5.97
2015-02-01,8802.5,8913.45,8470.5,8844.6,8844.599609,3430800,5.03,0.4
2015-03-01,8953.85,9119.2,8269.15,8491.0,8491.0,3727800,9.49,4.16
2015-04-01,8483.7,8841.65,8144.75,8181.5,8181.5,3108200,8.21,3.78
2015-05-01,8230.05,8489.55,7997.15,8433.65,8433.650391,3384800,5.98,2.99
2015-06-01,8417.25,8467.15,7940.3,8368.5,8368.5,3156900,6.26,0.78
2015-07-01,8376.25,8654.75,8315.4,8532.85,8532.849609,3097900,4.05,1.93
2015-08-01,8510.65,8621.55,7667.25,7971.3,7971.299805,3939200,11.21,7.04
2015-09-01,7907.95,8055.0,7539.5,7948.9,7948.899901999999,3436500,6.52,0.28
2015-10-01,7992.05,8336.3,7930.65,8065.8,8065.799805,3364200,5.08,1.45
2015-11-01,8054.55,8116.1,7714.15,7935.25,7935.25,2868500,4.99,1.65
2015-12-01,7958.15,7979.3,7551.05,7946.35,7946.350098000001,3026200,5.38,0.14
2016-01-01,7924.55,7937.55,7241.5,7563.55,7563.549805,3781100,8.78,5.06
2016-02-01,7589.5,7600.45,6825.8,6987.05,6987.049805,5170500,10.21,8.25
2016-03-01,7038.25,7777.6,7035.1,7738.4,7738.399901999999,4809600,10.55,9.71
2016-04-01,7718.05,7992.0,7516.85,7849.8,7849.799805,3538800,6.16,1.42
2016-05-01,7822.7,8213.6,7678.35,8160.1,8160.100098000001,4361300,6.84,3.8
2016-06-01,8179.2,8308.15,7927.05,8287.75,8287.75,4193500,4.66,1.54
2016-07-01,8313.05,8674.7,8287.55,8638.5,8638.5,3321700,4.66,4.06
2016-08-01,8654.3,8819.2,8518.15,8786.2,8786.200195,3826100,3.48,1.68
2016-09-01,8793.6,8968.7,8555.2,8611.15,8611.150391,3900400,4.7,2.03
2016-10-01,8666.15,8806.95,8506.15,8638.0,8638.0,3165200,3.47,0.31
2016-11-01,8653.15,8669.6,7916.4,8224.5,8224.5,4585400,8.7,5.03
2016-12-01,8244.0,8274.95,7893.8,8185.8,8185.799805,3118800,4.62,0.47
2017-01-01,8210.1,8672.7,8133.8,8561.3,8561.299805,4009100,6.56,4.39
2017-02-01,8570.35,8982.15,8537.5,8879.6,8879.599609,4398500,5.19,3.58
2017-03-01,8904.4,9218.4,8860.1,9173.75,9173.75,4835000,4.02,3.21
2017-04-01,9220.6,9367.15,9075.15,9304.05,9304.049805,2931300,3.17,1.4
2017-05-01,9339.85,9649.6,9269.9,9621.25,9621.25,4541800,4.07,3.3
2017-06-01,9603.55,9709.3,9448.75,9520.9,9520.900391,3558000,2.71,1.05
2017-07-01,9587.95,10114.85,9543.55,10077.1,10077.099609,3732400,5.96,5.52
2017-08-01,10101.05,10137.85,9685.55,9917.9,9917.900391,4168000,4.48,1.61
2017-09-01,9937.65,10178.95,9687.55,9788.6,9788.599609,4165300,4.94,1.32
2017-10-01,9893.3,10384.5,9831.05,10335.3,10335.299805,4500300,5.59,5.29
2017-11-01,10390.35,10490.45,10094.0,10226.55,10226.549805,4650900,3.82,1.06
2017-12-01,10263.7,10552.4,10033.35,10530.7,10530.700195,3504400,5.06,2.89
2018-01-01,10477.55,11171.55,10404.65,11027.7,11027.700195,4560600,7.32,4.51
2018-02-01,11044.55,11117.35,10276.3,10492.85,10492.849609,4389900,7.62,5.1
2018-03-01,10479.95,10525.5,9951.9,10113.7,10113.700195,4389100,5.47,3.75
2018-04-01,10151.65,10759.0,10111.3,10739.35,10739.349609,4499400,6.38,5.83
2018-05-01,10783.85,10929.2,10417.8,10736.15,10736.150391,5142500,4.74,0.03
2018-06-01,10738.45,10893.25,10550.9,10714.3,10714.299805,4683800,3.19,0.2
2018-07-01,10732.35,11366.0,10604.65,11356.5,11356.5,4648500,7.09,5.65
