Date,Open,High,Low,Close,Adj Close,Volume,Name
2019-05-13,216.0,216.60000610351562,210.9499969482422,213.5500030517578,212.62252807617188,1188155,DCBBANK
2019-05-14,211.25,220.0,208.9499969482422,217.6999969482422,216.75450134277344,3360127,DCBBANK
2019-05-15,219.6999969482422,224.75,215.1999969482422,217.0500030517578,216.10733032226562,5711198,DCBBANK
2019-05-16,217.0500030517578,222.9499969482422,213.89999389648438,220.39999389648438,219.44277954101562,3000153,DCBBANK
2019-05-17,220.0,222.5,218.0500030517578,221.85000610351562,220.88648986816406,1455610,DCBBANK
2019-05-20,225.0,231.60000610351562,224.0500030517578,230.5,229.49891662597656,3756920,DCBBANK
2019-05-21,233.5,233.89999389648438,227.10000610351562,229.1999969482422,228.20455932617188,2687868,DCBBANK
2019-05-22,229.0,231.4499969482422,227.35000610351562,230.25,229.25,1668963,DCBBANK
2019-05-23,230.1999969482422,235.0,226.8000030517578,228.0,228.0,1513665,DCBBANK
2019-05-24,228.0,236.8000030517578,227.89999389648438,233.64999389648438,233.64999389648438,1986669,DCBBANK
2019-05-27,234.0,235.64999389648438,231.0,233.5,233.5,862846,DCBBANK
2019-05-28,233.5,234.6999969482422,230.10000610351562,233.10000610351562,233.10000610351562,1381128,DCBBANK
2019-05-29,232.85000610351562,232.85000610351562,228.64999389648438,229.9499969482422,229.9499969482422,976643,DCBBANK
2019-05-30,230.8000030517578,235.5,229.5,234.1999969482422,234.1999969482422,1327024,DCBBANK
2019-05-31,234.89999389648438,237.0,231.0,233.14999389648438,233.14999389648438,1685601,DCBBANK
2019-06-03,232.0,234.85000610351562,230.5,233.1999969482422,233.1999969482422,669050,DCBBANK
2019-06-04,231.60000610351562,239.4499969482422,231.60000610351562,237.85000610351562,237.85000610351562,2115144,DCBBANK
2019-06-06,239.39999389648438,242.0,233.25,234.14999389648438,234.14999389648438,3383373,DCBBANK
2019-06-07,234.5,241.6999969482422,231.14999389648438,240.75,240.75,2976535,DCBBANK
2019-06-10,241.9499969482422,242.0,236.14999389648438,238.14999389648438,238.14999389648438,1983194,DCBBANK
2019-06-11,239.0,239.25,236.8000030517578,238.0,238.0,874656,DCBBANK
2019-06-12,238.39999389648438,239.89999389648438,237.5,238.10000610351562,238.10000610351562,678969,DCBBANK
2019-06-13,237.9499969482422,239.0,231.8000030517578,235.35000610351562,235.35000610351562,1499979,DCBBANK
2019-06-14,235.35000610351562,236.0,231.3000030517578,233.5,233.5,900947,DCBBANK
2019-06-17,232.0,232.75,227.10000610351562,227.4499969482422,227.4499969482422,1254686,DCBBANK
2019-06-18,227.4499969482422,228.5,220.85000610351562,222.25,222.25,2112434,DCBBANK
2019-06-19,224.85000610351562,227.60000610351562,221.4499969482422,223.6999969482422,223.6999969482422,1042518,DCBBANK
2019-06-20,223.0,230.0,222.0,228.60000610351562,228.60000610351562,968885,DCBBANK
2019-06-21,228.35000610351562,230.1999969482422,227.1999969482422,229.8000030517578,229.8000030517578,1007267,DCBBANK
2019-06-24,230.0,231.0,227.35000610351562,229.64999389648438,229.64999389648438,847937,DCBBANK
2019-06-25,230.0,244.64999389648438,228.39999389648438,240.35000610351562,240.35000610351562,2827138,DCBBANK
2019-06-26,239.35000610351562,241.5500030517578,237.5,239.85000610351562,239.85000610351562,1749791,DCBBANK
2019-06-27,240.0,242.89999389648438,235.39999389648438,239.39999389648438,239.39999389648438,1604121,DCBBANK
2019-06-28,239.25,239.39999389648438,235.85000610351562,237.10000610351562,237.10000610351562,485478,DCBBANK
2019-07-01,239.25,239.25,235.0,236.5,236.5,306023,DCBBANK
2019-07-02,237.64999389648438,237.64999389648438,222.35000610351562,232.14999389648438,232.14999389648438,743082,DCBBANK
2019-07-03,232.0,234.60000610351562,230.0,230.6999969482422,230.6999969482422,371096,DCBBANK
2019-07-04,230.0,235.64999389648438,230.0,231.89999389648438,231.89999389648438,381609,DCBBANK
2019-07-05,231.0,238.0,228.1999969482422,231.0,231.0,1044435,DCBBANK
2019-07-08,230.5,230.5,219.5,223.60000610351562,223.60000610351562,749073,DCBBANK
2019-07-09,221.0,229.6999969482422,219.35000610351562,228.89999389648438,228.89999389648438,679626,DCBBANK
2019-07-10,228.5,234.8000030517578,227.0,231.8000030517578,231.8000030517578,585701,DCBBANK
2019-07-11,233.75,240.0,232.5,238.1999969482422,238.1999969482422,1334652,DCBBANK
2019-07-12,239.0,244.0,234.1999969482422,237.14999389648438,237.14999389648438,1697227,DCBBANK
2019-07-15,238.4499969482422,238.89999389648438,233.5500030517578,235.85000610351562,235.85000610351562,464951,DCBBANK
2019-07-16,236.5,240.39999389648438,235.89999389648438,239.14999389648438,239.14999389648438,977586,DCBBANK
2019-07-17,218.89999389648438,218.89999389648438,196.0,199.9499969482422,199.9499969482422,19698595,DCBBANK
2019-07-18,200.60000610351562,205.39999389648438,189.10000610351562,201.5,201.5,10855655,DCBBANK
2019-07-19,200.0,201.5,192.60000610351562,193.75,193.75,2545307,DCBBANK
2019-07-22,192.0,195.1999969482422,186.35000610351562,192.5500030517578,192.5500030517578,1888416,DCBBANK
2019-07-23,192.8000030517578,196.5,192.0500030517578,195.10000610351562,195.10000610351562,1175456,DCBBANK
