SYMBOL,OPEN,HIGH,LOW,CLOSE,TIMESTAMP
LUPIN,1027.0,1059.95,985.05,1018.35,26-FEB-2021
MRF,88800.0,88800.0,83803.55,84498.15,26-FEB-2021
MGL,1170.0,1207.0,1121.0,1158.4,26-FEB-2021
M&MFIN,209.9,220.5,200.0,203.7,26-FEB-2021
M&M,880.0,882.5,798.5,806.4,26-FEB-2021
MANAPPURAM,173.1,180.6,164.55,176.1,26-FEB-2021
MARICO,428.35,433.95,390.7,397.55,26-FEB-2021
MARUTI,7323.0,7325.0,6822.2,6866.15,26-FEB-2021
MFSL,844.0,953.7,765.15,866.1,26-FEB-2021
MINDTREE,1693.8,1710.0,1550.2,1599.75,26-FEB-2021
MOTHERSUMI,214.0,225.65,209.3,214.0,26-FEB-2021
MPHASIS,1680.0,1787.8,1610.5,1646.9,26-FEB-2021
MUTHOOTFIN,1309.7,1340.0,1270.8,1299.7,26-FEB-2021
NATCOPHARM,815.0,829.8,787.25,811.35,26-FEB-2021
NMDC,119.0,131.4,117.4,127.0,26-FEB-2021
NTPC,104.3,110.95,100.55,107.3,26-FEB-2021
NAVINFLUOR,2500.1,2635.15,2412.0,2544.9,26-FEB-2021
NESTLEIND,16411.05,16530.0,16002.1,16101.6,26-FEB-2021
NAM-INDIA,333.0,345.8,318.15,329.8,26-FEB-2021
OBEROIRLTY,565.0,575.0,540.1,545.6,26-FEB-2021
ONGC,105.9,120.5,105.3,111.0,26-FEB-2021
OIL,124.9,129.55,122.35,126.3,26-FEB-2021
PIIND,2269.35,2280.0,2137.1,2177.1,26-FEB-2021
PAGEIND,28490.0,29335.8,27266.0,28084.05,26-FEB-2021
PETRONET,258.0,260.95,250.0,255.15,26-FEB-2021
PFIZER,4562.9,4597.0,4410.0,4551.75,26-FEB-2021
PIDILITIND,1778.0,1790.55,1675.0,1685.95,26-FEB-2021
PEL,1835.0,1964.0,1773.55,1829.25,26-FEB-2021
POLYCAB,1317.0,1387.95,1296.55,1337.1,26-FEB-2021
PFC,124.55,130.95,119.75,124.0,26-FEB-2021
POWERGRID,232.45,233.9,211.2,214.3,26-FEB-2021
PRESTIGE,297.55,311.85,280.0,298.1,26-FEB-2021
PGHH,12980.0,13150.0,12800.0,12919.1,26-FEB-2021
PNB,42.55,42.85,40.2,40.85,26-FEB-2021
RBLBANK,246.9,256.8,230.05,235.6,26-FEB-2021
RECLTD,145.35,145.6,131.3,135.5,26-FEB-2021
RELIANCE,2080.0,2152.0,1994.95,2085.8,26-FEB-2021
SBICARD,1032.4,1137.45,1012.0,1068.6,26-FEB-2021
SBILIFE,880.0,885.0,845.1,866.9,26-FEB-2021
SRF,5543.2,5595.0,5285.4,5437.95,26-FEB-2021
SANOFI,7902.0,8354.7,7871.0,8269.7,26-FEB-2021
SHREECEM,27615.0,27879.9,26169.9,26501.7,26-FEB-2021
SRTRANSFIN,1414.0,1424.9,1270.0,1282.95,26-FEB-2021
SIEMENS,1836.0,1949.0,1797.75,1850.0,26-FEB-2021
SBIN,400.6,414.9,385.65,390.15,26-FEB-2021
SAIL,65.25,77.5,65.05,76.55,26-FEB-2021
SUNPHARMA,608.0,621.35,590.0,594.6,26-FEB-2021
SUNTV,503.8,521.5,490.7,493.2,26-FEB-2021
SYNGENE,580.0,581.8,552.6,559.15,26-FEB-2021
TVSMOTOR,609.8,609.8,580.5,594.75,26-FEB-2021
TATACHEM,626.0,757.5,616.0,739.5,26-FEB-2021
TCS,3096.0,3096.0,2880.0,2894.3,26-FEB-2021
TATACONSUM,619.0,654.0,604.5,609.15,26-FEB-2021
TATAELXSI,2731.35,2754.0,2607.0,2657.85,26-FEB-2021
TATAMOTORS,312.45,334.7,302.15,322.95,26-FEB-2021
TATAPOWER,90.95,97.65,89.0,95.15,26-FEB-2021
TATASTEEL,672.9,753.0,670.85,715.15,26-FEB-2021
TECHM,998.95,1011.0,915.0,918.85,26-FEB-2021
RAMCOCEM,963.1,1013.6,931.5,968.35,26-FEB-2021
TITAN,1425.0,1474.0,1396.0,1406.9,26-FEB-2021
TORNTPHARM,2501.0,2523.0,2401.4,2428.2,26-FEB-2021
TORNTPOWER,371.0,395.75,362.05,381.8,26-FEB-2021
TRENT,799.75,844.9,763.0,808.65,26-FEB-2021
UPL,556.0,597.0,514.05,561.55,26-FEB-2021
ULTRACEMCO,6215.0,6489.0,6060.0,6115.0,26-FEB-2021
UNIONBANK,41.2,42.35,38.5,40.6,26-FEB-2021
UBL,1207.85,1220.45,1153.3,1161.35,26-FEB-2021
MCDOWELL-N,559.15,559.95,531.0,535.1,26-FEB-2021
VGUARD,234.9,236.5,221.1,225.1,26-FEB-2021
VBL,981.0,1130.0,976.6,1042.95,26-FEB-2021
VEDL,192.8,214.7,192.7,207.3,26-FEB-2021
IDEA,10.9,11.85,10.65,11.3,26-FEB-2021
VOLTAS,1001.45,1054.7,979.1,1018.15,26-FEB-2021
WHIRLPOOL,2415.0,2490.0,2377.75,2412.25,26-FEB-2021
WIPRO,430.7,432.85,408.0,410.3,26-FEB-2021
YESBANK,16.0,16.4,15.5,15.75,26-FEB-2021
ZEEL,209.0,210.8,198.05,201.0,26-FEB-2021
