SYMBOL,OPEN,HIGH,LOW,CLOSE,TIMESTAMP
MARICO,415.0,427.6,406.0,423.95,16-APR-2021
MARUTI,6739.85,6846.85,6468.8,6648.1,16-APR-2021
MFSL,875.0,893.9,838.15,872.0,16-APR-2021
MINDTREE,2221.85,2275.95,1951.0,2069.65,16-APR-2021
MOTHERSUMI,204.8,214.8,195.6,211.95,16-APR-2021
MPHASIS,1799.8,1837.45,1603.0,1708.3,16-APR-2021
MUTHOOTFIN,1209.75,1209.75,1136.65,1168.1,16-APR-2021
NATCOPHARM,935.0,948.85,891.5,922.2,16-APR-2021
NMDC,142.0,145.3,133.15,142.5,16-APR-2021
NTPC,101.5,103.0,98.05,102.45,16-APR-2021
NAVINFLUOR,3015.1,3170.0,2820.0,3135.5,16-APR-2021
NESTLEIND,17375.15,17620.0,16775.0,17252.1,16-APR-2021
NAM-INDIA,345.15,347.7,320.1,337.2,16-APR-2021
OBEROIRLTY,585.0,588.0,543.15,552.9,16-APR-2021
ONGC,100.85,107.85,97.45,107.3,16-APR-2021
OIL,118.8,120.9,112.0,118.8,16-APR-2021
PIIND,2500.1,2549.35,2355.5,2495.35,16-APR-2021
PAGEIND,29122.0,30400.0,28052.6,30217.8,16-APR-2021
PETRONET,223.15,227.6,218.15,220.55,16-APR-2021
PFIZER,4859.0,5292.0,4704.05,5218.55,16-APR-2021
PIDILITIND,1900.0,1902.3,1778.0,1823.7,16-APR-2021
PEL,1768.0,1768.0,1607.1,1720.05,16-APR-2021
POLYCAB,1381.0,1429.0,1323.2,1403.0,16-APR-2021
PFC,112.0,112.0,104.1,109.1,16-APR-2021
POWERGRID,206.65,214.8,198.5,209.85,16-APR-2021
PRESTIGE,307.5,313.75,287.85,295.15,16-APR-2021
PGHH,13299.0,14122.0,12901.0,13958.15,16-APR-2021
PNB,36.75,36.85,33.3,34.8,16-APR-2021
RBLBANK,205.0,205.8,183.0,187.75,16-APR-2021
RECLTD,130.45,132.1,122.15,127.1,16-APR-2021
RELIANCE,1959.0,1961.4,1900.25,1932.1,16-APR-2021
SBICARD,931.0,981.4,883.0,973.7,16-APR-2021
SBILIFE,900.65,919.55,868.5,914.2,16-APR-2021
SRF,6200.0,6330.0,5905.0,6127.25,16-APR-2021
SANOFI,8249.0,8259.95,7990.0,8047.7,16-APR-2021
SHREECEM,31200.0,31497.4,29514.0,30821.1,16-APR-2021
SRTRANSFIN,1410.0,1415.9,1292.95,1378.0,16-APR-2021
SIEMENS,1809.1,1873.2,1717.8,1847.75,16-APR-2021
SBIN,344.0,347.55,322.55,339.9,16-APR-2021
SAIL,91.9,95.35,83.45,91.6,16-APR-2021
SUNPHARMA,639.0,650.0,615.2,646.05,16-APR-2021
SUNTV,486.65,486.65,450.0,476.05,16-APR-2021
SYNGENE,558.0,594.0,542.2,589.4,16-APR-2021
TVSMOTOR,559.8,559.8,532.15,551.05,16-APR-2021
TATACHEM,790.0,790.0,731.0,753.1,16-APR-2021
TCS,3322.25,3338.1,3073.05,3195.15,16-APR-2021
TATACONSUM,675.0,677.9,647.15,671.3,16-APR-2021
TATAELXSI,3107.05,3115.0,2802.1,2963.8,16-APR-2021
TATAMOTORS,307.85,315.0,280.55,310.0,16-APR-2021
TATAPOWER,101.0,101.0,89.9,97.15,16-APR-2021
TATASTEEL,876.55,914.4,843.35,890.25,16-APR-2021
TECHM,1051.0,1059.05,970.3,1010.3,16-APR-2021
RAMCOCEM,1063.0,1076.0,978.3,1012.9,16-APR-2021
TITAN,1571.0,1572.65,1502.25,1549.05,16-APR-2021
TORNTPHARM,2580.0,2682.0,2528.85,2619.5,16-APR-2021
TORNTPOWER,418.0,418.0,388.45,408.7,16-APR-2021
TRENT,709.05,755.8,689.0,743.65,16-APR-2021
UPL,625.0,627.65,581.5,611.75,16-APR-2021
ULTRACEMCO,6763.3,6786.45,6393.65,6715.2,16-APR-2021
UNIONBANK,36.8,36.85,33.6,34.45,16-APR-2021
UBL,1094.0,1111.0,1051.4,1100.0,16-APR-2021
MCDOWELL-N,531.6,532.4,508.1,519.05,16-APR-2021
VGUARD,238.85,238.9,221.15,235.45,16-APR-2021
VBL,993.4,1016.1,983.45,989.35,16-APR-2021
VEDL,225.9,235.25,209.75,231.8,16-APR-2021
IDEA,9.3,9.3,8.6,8.85,16-APR-2021
VOLTAS,998.0,998.0,939.1,957.05,16-APR-2021
WHIRLPOOL,2175.0,2214.0,2124.05,2138.25,16-APR-2021
WIPRO,450.0,473.65,412.6,469.2,16-APR-2021
YESBANK,15.2,15.25,14.3,14.6,16-APR-2021
ZEEL,201.2,201.25,176.1,193.95,16-APR-2021
